index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,38.0,0,,0,0.2,20913,0,10,1.0,180.0,False,-0.00047589587398277254,0,0.2,20913,10,0,0.0,100.0,False,-0.002379479369913863,0,0.2,30010,0,0,0.0,0.0,False,0.0,0,0.2,30010,0,0,0.0,0.0,False,0.0,0,0.2,43142,0,0,0.0,0.0,False,0.0,0,0.2,43142,0,0,0.0,0.0,False,0.0,0.16666666666666666,188130,0.0,0.0,10,0,0,0,0,0.0,401,401,62,0.0,0.0,0,0,62,200,1.2905706344172359,1.2905706344172359
1,62,0,0,0,10.0,20,10.0,16.641509433962263,8,9.0,27.0,0,,38.0,0,,0,0.2,20803,1,20,1.0,342.8301886792452,False,-0.001836239740178772,8,0.28,20719,19,0,0.0,190.0,False,-0.009470327892257173,0,0.2,30010,0,0,0.0,0.0,False,0.0,0,0.2,29938,0,8,0.8,216.0,False,0.0011996001332889037,0,0.2,43142,0,0,0.0,0.0,False,0.0,0,0.2,43142,0,0,0.0,0.0,False,0.0,0.3,187754,0.0,0.0,13,0,0,23,1,1.0,20,43,48,360.0,486.0,20,42,48,200,2.205368393100798,3.495939027518034
2,48,0,0,0,10.0,20,10.0,14.576070901033972,20,9.65,27.0,0,,38.0,0,,0,0.2,20783,1,22,1.0,330.6735598227474,False,-0.0030772959638617516,12,0.392,20440,29,0,0.0,290.0,False,-0.020368343406462666,0,0.2,29960,0,5,0.5,135.0,False,0.0005831389536821059,0,0.2,29795,5,18,1.0,558.8803545051699,False,0.00214729014503783,0,0.2,43142,0,0,0.0,0.0,False,0.0,0,0.2,43142,0,0,0.0,0.0,False,0.0,0.4166666666666667,187262,0.0,0.0,11,0,0,22,2,2.0,18,40,46,297.0,201.0,19,29,46,280,1.7200194336473942,5.215958461165428
3,46,0,0,0,10.0,20,10.0,14.153192780221445,5,9.0,28.3,5,40.0,38.0,20,38.0,0,0.2,20683,1,32,1.0,462.90216896708625,False,-0.004689902227975909,5,0.43000000000000005,20275,39,0,0.0,390.0,False,-0.025841145957264552,0,0.2,30115,0,5,0.5,141.5,False,0.005856381206264578,0,0.2,29795,0,23,0.5,650.9,False,0.00368043985338223,8,0.28,42838,0,5,0.5,190.0,False,-0.004844467108618052,12,0.32000000000000006,42947,0,0,0.0,0.0,False,-0.004519957350146029,0.4166666666666667,186653,0.0,0.0,12,0,0,23,12,12.0,20,43,45,271.0,169.0,19,27,45,400,1.9132733503356576,7.129231811501086
4,45,0,0,0,10.0,20,10.0,13.482094696915064,10,9.5,30.885964912280702,12,40.583333333333336,38.0,20,38.0,0,0.2,20633,0,38,0.6,512.3195984827724,False,-0.005893504057422336,10,0.5250000000000001,19980,54,0,0.0,540.0,False,-0.03631085518488555,0,0.2,30220,0,10,1.0,308.859649122807,False,0.012143612947730907,0,0.2,30082,0,16,0.0,494.17543859649123,False,0.010632713072250728,7,0.342,42654,0,7,0.7,266.0,False,-0.008228640304112002,8,0.38800000000000007,42645,0,5,0.5,190.0,False,-0.009318065921839506,0.4666666666666666,186214,0.0,0.0,14,0,0,27,11,10.5,18,45,37,243.0,151.0,21,24,37,839,1.9769572354853153,9.106189046986401
5,37,0,0,0,10.0,20,10.0,13.149611369176284,5,9.0,30.885964912280702,0,,38.0,20,38.0,0,0.2,20563,0,45,0.7,591.7325116129327,False,-0.007335161290321803,5,0.5650000000000001,19785,67,0,0.0,670.0,False,-0.04249750154666159,0,0.2,30175,0,15,0.5,463.2894736842105,False,0.013217085532892596,0,0.2,30082,0,16,0.0,494.17543859649123,False,0.010632713072250728,3,0.36500000000000005,42895,0,0,0.0,0.0,False,-0.00572527931018497,5,0.43000000000000005,42788,0,0,0.0,0.0,False,-0.008205461035649715,0.19999999999999998,186288,0.0,0.0,18,0,0,16,5,5.0,18,34,26,153.0,176.0,11,26,26,656,1.5385609231889248,10.644749970175326
6,26,0,0,0,10.0,20,10.0,18.235422629686127,70,22.642857142857142,32.3955223880597,9,41.0,38.0,20,38.0,0,0.2,21533,2,15,1.0,293.5313394452919,False,0.03173110311343667,30,0.8600000000000001,19430,75,0,0.0,750.0,False,-0.05748822157711893,0,0.2,28590,60,25,1.0,1904.0134174826603,False,-0.015594578182561481,0,0.2,30451,0,7,0.0,226.76865671641792,False,0.01847331983866078,11,0.47200000000000003,42363,0,9,0.9,342.0,False,-0.014092995225070697,9,0.5150000000000001,42661,0,0,0.0,0.0,False,-0.011149228130360206,0.48333333333333334,185028,0.0,0.0,13,0,0,17,12,12.0,17,34,21,189.0,83.0,13,13,21,1659,1.2570142643526196,11.901764234527946
7,21,0,0,0,10.0,20,10.0,18.816173003499898,56,20.035714285714285,33.12139362240594,5,41.0,38.0,20,38.0,1,0.21000000000000002,21848,3,10,1.0,218.16173003499898,False,0.04492841883679144,40,1.2300000000000002,18980,84,0,0.0,840.0,False,-0.07676200447342121,0,0.2,27673,106,30,1.0,2988.1561470431675,False,-0.028088034870990174,0,0.2,30451,0,7,0.0,231.84975535684157,False,0.01855797659708172,0,0.461,42500,0,5,0.5,190.0,False,-0.012679059848871169,11,0.6160000000000001,42487,0,0,0.0,0.0,False,-0.015182420842798201,0.4166666666666667,183939,0.0,0.0,18,0,0,11,9,9.0,19,30,17,135.0,93.0,10,11,17,1167,1.0908993650227785,12.992663599550724
8,17,0,0,0,10.0,20,10.0,18.641335661162245,27,17.62962962962963,29.570482191037488,13,15.0,38.0,20,38.0,7,0.279,21915,8,10,1.0,266.4133566116225,False,0.04926505869251467,10,1.2900000000000003,18785,89,0,0.0,890.0,False,-0.08485223433112835,0,0.2,27392,123,27,1.0,3091.2873054809684,False,-0.03573330047515882,0,0.2,30451,0,7,0.0,206.99337533726242,False,0.018143841641740432,6,0.5210000000000001,42431,3,10,1.0,468.7114465731125,False,-0.011048265650953668,9,0.6950000000000001,42362,0,0,0.0,0.0,False,-0.018079829400584117,0.5,183336,0.0,0.0,14,0,0,8,12,10.666666666666668,22,30,18,105.0,66.0,10,7,18,547,1.2610779516398907,14.253741551190615
9,18,0,0,0,10.000000000000002,20,10.0,18.13218586367316,30,15.333333333333332,30.453633746312317,5,41.0,37.99999999999999,20,38.0,0,0.272,21825,7,20,1.0,432.6437172734632,False,0.048937412965151715,30,1.5800000000000003,18275,100,0,0.0,1000.0000000000002,False,-0.1065054965973445,0,0.2,26932,143,37,1.0,3719.687027118818,False,-0.04059168565280213,0,0.2,30656,0,2,0.0,60.907267492624634,False,0.02254094081127326,0,0.5150000000000001,42773,0,4,0.3,151.99999999999997,False,-0.006791525659450188,11,0.796,41984,0,5,0.5,189.99999999999997,False,-0.02463956237541143,0.4666666666666666,182445,0.0,0.0,16,0,0,11,9,9.0,20,31,14,150.0,84.0,10,8,14,747,1.2540424056351185,15.507783956825733
