index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,12.0,0,,18.0,0,,30.0,0,,40.0,0,,0,0.2,28881,1,10,1.0,130.0,False,-0.0015522058569901003,0,0.2,28901,9,0,0.0,90.0,False,-0.0015522058569901003,0,0.2,40851,0,0,0.0,0.0,False,0.0,0,0.2,40851.0,0,0,0.0,0.0,False,0.0,0,0.2,67733,0,0,0.0,0.0,False,0.0,0,0.2,67733,0,0,0.0,0.0,False,0.0,0,0.2,99755,0,0,0.0,0.0,False,0.0,0,0.2,99755,0,0,0.0,0.0,False,0.0,0.125,474460,0.0,0.0,9,0,0,0,0,0.0,405,405,151,0.0,0.0,0,0,151,200,4.384558583027683,4.384558583027683
1,151,0,0,0,10.0,20,10.0,12.0,0,,18.0,0,,22.0,52,15.076923076923077,40.0,0,,0,0.2,28821,0,17,0.7,204.0,False,-0.002345555517229485,0,0.2,28761,23,0,0.0,230.0,False,-0.003966748301196923,0,0.2,40851,0,0,0.0,0.0,False,0.0,0,0.2,40851.0,0,0,0.0,0.0,False,0.0,0,0.2,67733,0,0,0.0,0.0,False,0.0,52,0.7200000000000002,64878,0,0,0.0,0.0,False,-0.04215079798621056,0,0.2,99755,0,0,0.0,0.0,False,0.0,0,0.2,98971,52,0,0.0,1144.0,False,-0.002125206756553556,0.0875,470621,0.0,0.0,8,0,0,61,9,9.0,66,127,69,1828.0,405.0,111,40,69,200,7.988088746031281,12.372647329058964
2,69,0,0,0,10.0,20,10.0,12.0,0,,16.9375,3,1.0,21.257375381485254,11,15.363636363636363,40.0,0,,0,0.2,28741,0,25,0.8,300.0,False,-0.0034493463488668896,0,0.2,28641,35,0,0.0,350.0,False,-0.006036356110517057,0,0.2,40851,0,0,0.0,0.0,False,0.0,3,0.23,40788.0,0,0,0.0,0.0,False,-0.0015421899096717338,0,0.2,67730,0,3,0.3,63.77212614445576,False,0.0004264695653851713,11,0.7780000000000002,64609,0,0,0.0,0.0,False,-0.04612227422379047,0,0.2,99755,0,0,0.0,0.0,False,0.0,0,0.2,98802,63,0,0.0,1339.214649033571,False,-0.0028408869278053325,0.1375,469917,0.0,0.0,8,0,0,39,3,3.0,29,68,88,443.0,131.0,51,18,88,200,6.247532823996153,18.620180153055117
3,88,0,0,0,10.0,20,10.0,10.571428571428571,18,7.0,13.08614864864865,16,2.6875,20.615663013974068,11,15.454545454545455,40.0,0,,0,0.2,28724,0,24,0.8,253.71428571428572,False,-0.004834012526054938,9,0.29000000000000004,28449,47,0,0.0,470.0,False,-0.010589493291021351,0,0.2,40725,8,10,1.0,215.43291505791507,False,-0.000447566582728523,16,0.387,40392.0,0,0,0.0,0.0,False,-0.011235955056179775,0,0.2,67700,1,13,1.0,281.08976783031153,False,0.0015877767693022666,11,0.8770000000000002,64328,5,0,0.0,65.43074324324324,False,-0.04978791177680569,0,0.2,99675,0,5,0.5,200.0,False,0.0002004912034484487,0,0.2,98712,69,0,0.0,1422.4807479642107,False,-0.0033257443337967817,0.4125,468705,0.0,0.0,8,0,0,66,8,8.0,23,89,19,1206.0,59.0,72,16,19,263,2.639042694005184,21.2592228470603
4,19,0,0,0,10.0,20,10.0,10.820960698689955,12,12.0,9.872874601487778,22,2.090909090909091,21.031373610541117,25,22.52,40.0,20,40.0,0,0.2,28686,1,28,1.0,312.98689956331873,False,-0.005122505267784569,6,0.341,28341,56,0,0.0,560.0,False,-0.012762581490807492,0,0.2,40725,0,18,0.8,177.71174282678,False,-0.0009092587350764839,22,0.5910000000000001,39687.0,12,0,0.0,129.85152838427945,False,-0.02690446343560395,0,0.2,67918,0,11,0.3,231.34510971595228,False,0.004439085155802499,20,1.066,63774,25,0,0.0,246.82186503719444,False,-0.05662807003205823,5,0.25,99605,0,5,0.5,200.0,False,-0.0005012280086211218,10,0.30000000000000004,98225,89,0,0.0,1871.7922513381593,False,-0.005955630036899586,0.325,466961,0.0,0.0,14,0,0,10,12,12.0,18,28,27,190.0,18.0,12,7,27,702,1.5459590909886174,22.805181938048918
5,27,0,0,0,10.0,20,10.0,10.820960698689955,0,,6.351091493308599,53,1.849056603773585,21.820113898169563,35,24.142857142857142,40.0,20,40.0,0,0.2,28596,0,38,1.0,411.1965065502183,False,-0.006533122235345186,0,0.3350000000000001,28231,67,0,0.0,670.0,False,-0.014659721982684282,0,0.2,40725,0,18,0.0,114.31964687955478,False,-0.0016851527884317347,53,1.0990000000000002,37981.0,12,0,0.0,129.85152838427945,False,-0.06866598702131789,6,0.26,68259,0,0,0.0,0.0,False,0.007765786248948076,18,1.2260000000000002,63156,78,0,0.0,495.3851364780707,False,-0.06391725498296198,7,0.31500000000000006,99621,0,6,0.6,240.0,False,-0.0001403438424139141,8,0.37000000000000005,97382,118,0,0.0,2574.7734399840083,False,-0.010882795649421021,0.2,463951,0.0,0.0,12,0,0,11,13,12.142857142857142,23,34,27,241.0,27.0,18,9,27,620,1.9141432399628684,24.719325178011786
6,27,0,0,0,10.0,20,10.0,10.820960698689955,0,,6.110851489086324,10,3.5,22.455752222530187,11,29.636363636363637,40.0,20,40.0,0,0.2,28476,2,48,1.0,539.4061135371178,False,-0.008461141155235836,0,0.3350000000000001,28151,75,0,0.0,750.0,False,-0.016039460522231038,0,0.2,40725,0,18,0.0,109.99532680355382,False,-0.0017380807470617537,10,1.1460000000000004,37776.0,12,0,0.0,129.85152838427945,False,-0.07368422402897988,5,0.30400000000000005,68274,0,10,1.0,224.55752222530185,False,0.009644911064217665,6,1.2680000000000002,63036,78,0,0.0,476.64641614873324,False,-0.06582724509361214,3,0.3380000000000001,99507,1,10,1.0,422.4557522225302,False,-0.00036862436859036224,11,0.47200000000000003,97204,118,0,0.0,2649.778762258562,False,-0.012291219676915642,0.375,463149,0.0,0.0,9,0,0,11,11,10.333333333333334,23,34,23,265.0,40.0,18,9,23,360,1.629028967989143,26.34835414600093
7,23,0,0,0,10.0,20,10.0,10.98510371710984,10,12.0,4.963048390874828,38,1.736842105263158,22.152516414806342,6,16.0,40.0,20,40.0,0,0.2,28386,1,58,1.0,647.1360155923708,False,-0.009707564147625669,10,0.43500000000000005,28011,86,0,0.0,860.0,False,-0.018971404918767892,0,0.2,40725,0,18,0.0,89.33487103574691,False,-0.001990956512254863,38,1.5160000000000002,36636.0,22,0,0.0,241.6722817764165,False,-0.10022187606452217,0,0.29900000000000004,68274,0,10,0.0,221.52516414806342,False,0.009622526421006538,6,1.3220000000000003,62850,116,0,0.0,575.71361334148,False,-0.06784201487206033,0,0.3350000000000001,99787,0,4,0.1,160.0,False,0.0011227507393113127,13,0.591,96878,124,0,0.0,2746.9120354359866,False,-0.015072367122269606,0.1375,461547,0.0,0.0,10,0,0,7,9,9.0,21,28,18,161.0,28.0,13,10,18,480,1.3434208889957517,27.69177503499668
8,18,0,0,0,10.0,20,10.0,12.090449700624227,6,24.0,4.705385227071677,15,2.466666666666667,21.32203870253397,17,15.705882352941176,40.0,20,40.0,0,0.2,28400,4,62,1.0,789.6078814387021,False,-0.006767481607417817,0,0.42500000000000004,27941,93,0,0.0,930.0,False,-0.020178676140871304,0,0.2,40725,0,18,0.0,84.69693408729017,False,-0.002047723016727996,15,1.6280000000000003,36151.0,28,0,0.0,338.5325916174784,False,-0.11090875876211749,0,0.29900000000000004,68274,0,10,0.0,213.2203870253397,False,0.009561221170074623,17,1.4860000000000002,62328,131,0,0.0,616.4054647463896,False,-0.07524836147264706,5,0.385,99891,0,0,0.0,0.0,False,0.0013633401834494512,11,0.6880000000000002,96435,141,0,0.0,3006.40745705729,False,-0.018212583544397278,0.125,460145,0.0,0.0,9,0,0,7,12,11.5,18,25,21,133.0,24.0,10,8,21,464,1.3299968439969234,29.021771878993604
9,21,0,0,0,10.000000000000002,20,10.0,12.082650329178538,6,12.0,5.711299368851116,47,8.51063829787234,24.31805189029187,76,29.0,40.0,20,40.0,0,0.2,28392,2,66,1.0,817.4549217257835,False,-0.006563158881622212,0,0.42500000000000004,27821,105,0,0.0,1050.0000000000002,False,-0.02224828395019144,0,0.2,40725,0,18,0.0,102.80338863932009,False,-0.0018261072110924567,47,2.0830000000000006,34864.0,34,0,0.0,410.8101111920703,False,-0.1415288473820461,0,0.29900000000000004,68433,1,15,1.0,370.48207772322917,False,0.01306956784523957,71,2.1790000000000007,60471,167,0,0.0,953.7869945981364,False,-0.10017430946069024,11,0.49000000000000005,97607,60,10,1.0,1859.083113417512,False,-0.012214509982369184,9,0.7670000000000001,96213,147,0,0.0,3574.753627872905,False,-0.017589325708621577,0.375,454526,0.0,0.0,9,0,0,7,17,17.0,18,25,19,159.0,42.0,12,9,19,492,1.406964503985364,30.42873638297897
