index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,27.0,0,,38.0,0,,0,0.2,29241,0,10,1.0,160.0,False,-0.0006816400259023209,0,0.2,29241,10,0,0.0,100.0,False,-0.0017041000647558026,0,0.2,43802,0,0,0.0,0.0,False,0.0,0,0.2,43802.0,0,0,0.0,0.0,False,0.0,0,0.2,67381,0,0,0.0,0.0,False,0.0,0,0.2,67381,0,0,0.0,0.0,False,0.0,0.16666666666666666,280848,0.0,0.0,4,0,0,0,0,0.0,332,332,94,0.0,0.0,0,0,94,200,1.3103697011247277,1.3103697011247277
1,94,0,0,0,10.0,20,10.0,13.636363636363637,10,3.0,27.0,0,,38.0,0,,0,0.2,29131,1,20,1.0,282.72727272727275,False,-0.0023392646343466128,10,0.30000000000000004,28991,19,0,0.0,190.0,False,-0.008690910330254592,0,0.2,43772,0,10,1.0,270.0,False,0.002397150815031277,0,0.2,43802.0,0,0,0.0,0.0,False,0.0,0,0.2,67381,0,0,0.0,0.0,False,0.0,0,0.2,67381,0,0,0.0,0.0,False,0.0,0.3333333333333333,280458,0.0,0.0,5,0,0,69,1,1.0,29,98,45,1308.0,28.0,88,6,45,200,6.881709166802466,8.192078867927194
2,45,0,0,0,10.0,20,10.0,13.262135922330097,2,4.0,15.853658536585366,37,2.2972972972972974,38.0,0,,0,0.2,29051,0,29,0.9,384.6019417475728,False,-0.003329778437211132,2,0.31000000000000005,28841,31,0,0.0,310.0,False,-0.011758290446815037,0,0.2,43764,0,12,0.2,190.2439024390244,False,0.001304094589733559,37,0.5700000000000001,41955.0,0,0,0.0,0.0,False,-0.042167024336788275,0,0.2,67334,14,10,1.0,601.9512195121952,False,0.0037692466682908233,0,0.2,67343,3,10,1.0,427.5609756097561,False,0.0026087545124720223,0.5166666666666667,278288,0.0,0.0,5,0,0,43,6,6.0,9,52,28,216.0,9.0,42,3,28,200,7.074433272704482,15.266512140631676
3,28,0,0,0,10.0,20,10.0,13.262135922330097,0,,14.740099009900991,7,3.0,38.0,20,38.0,0,0.2,28961,0,38,0.9,503.9611650485437,False,-0.004363157952207733,0,0.30800000000000005,28731,42,0,0.0,420.0,False,-0.01363280051804642,0,0.2,43764,0,12,0.0,176.8811881188119,False,0.0011515591539063943,7,0.6030000000000002,41752.0,0,0,0.0,0.0,False,-0.04680151591251541,0,0.2,67503,11,15,1.0,732.1410891089109,False,0.007243444658797867,5,0.25,67676,0,3,0.3,114.0,False,0.005224024576661076,0.36666666666666664,278387,0.0,0.0,8,0,0,19,3,3.0,9,28,25,121.0,42.0,19,9,25,770,2.2191767133772373,17.485688854008913
4,25,0,0,0,10.0,20,10.0,13.262135922330097,0,,14.740099009900991,0,,38.0,20,38.0,0,0.2,28871,0,47,0.9,623.3203883495146,False,-0.005396537467204334,0,0.30800000000000005,28621,53,0,0.0,530.0,False,-0.015507310589277802,0,0.2,43764,0,12,0.0,176.8811881188119,False,0.0011515591539063943,0,0.5960000000000001,41752.0,0,0,0.0,0.0,False,-0.04680151591251541,0,0.2,67883,1,15,1.0,584.740099009901,False,0.011789229152208428,7,0.31500000000000006,67717,0,0,0.0,0.0,False,0.004986568914085573,0.31666666666666665,278608,0.0,0.0,7,0,0,14,2,1.5,11,25,23,165.0,28.0,15,10,23,580,1.4527331916615367,18.93842204567045
5,23,0,0,0,10.0,20,10.0,13.262135922330097,0,,13.378344895936571,8,1.0,38.0,20,38.0,0,0.2,28771,0,57,1.0,755.9417475728155,False,-0.006544736928311599,0,0.30800000000000005,28521,63,0,0.0,630.0,False,-0.017211410654033605,0,0.2,43764,0,12,0.0,160.54013875123886,False,0.0009650260119542405,8,0.6760000000000002,41480.0,0,0,0.0,0.0,False,-0.05301127802383453,0,0.2,68377,0,3,0.1,114.0,False,0.015627550793250324,7,0.37800000000000006,67640,0,8,0.8,304.0,False,0.006099642332408246,0.3166666666666667,278553,0.0,0.0,7,0,0,11,4,4.0,7,18,26,68.0,40.0,8,15,26,694,1.277494452893734,20.215916498564184
6,26,0,0,0,10.0,20,10.0,13.262135922330097,0,,14.938614656411124,22,20.09090909090909,38.0,20,38.0,0,0.2,28701,0,64,0.7,848.7766990291262,False,-0.007348476551086747,0,0.30800000000000005,28391,76,0,0.0,760.0,False,-0.01942674073821615,0,0.2,44174,0,2,0.0,29.877229312822248,False,0.008833811576101865,12,0.7880000000000003,41079.0,0,0,0.0,0.0,False,-0.062166111136477784,8,0.28,67951,12,10,1.0,559.2633758769334,False,0.012609365962785779,1,0.38100000000000006,67937,0,0,0.0,0.0,False,0.008251584274498746,0.2833333333333333,278233,0.0,0.0,6,0,0,9,6,4.9,8,17,25,69.0,67.0,7,19,25,876,1.2991658998653293,21.515082398429513
7,25,0,0,0,10.0,20,10.0,13.262135922330097,0,,14.776882269398213,1,1.0,38.0,20,38.0,0,0.2,28611,0,73,0.9,968.1359223300971,False,-0.008381856066083349,0,0.30800000000000005,28281,87,0,0.0,870.0,False,-0.02130125080944753,0,0.2,44174,0,2,0.0,29.553764538796425,False,0.008830119224450891,1,0.786,41048.0,0,0,0.0,0.0,False,-0.06287384137710607,2,0.29200000000000004,68316,3,10,1.0,424.3306468081946,False,0.01702505637203515,8,0.4600000000000001,67849,0,0,0.0,0.0,False,0.006945578130333477,0.31666666666666665,278279,0.0,0.0,7,0,0,9,4,3.5,12,21,16,122.0,53.0,11,14,16,504,1.1716072363778949,22.686689634807408
8,16,0,0,0,10.0,20,10.0,13.262135922330097,0,,13.823051662853041,34,11.647058823529411,38.0,20,38.0,0,0.2,28461,5,83,1.0,1150.7572815533981,False,-0.010382105559568516,0,0.30800000000000005,28231,92,0,0.0,920.0,False,-0.022153300841825433,0,0.2,44174,0,2,0.0,27.646103325706083,False,0.00880834326429966,34,1.1250000000000002,39838.0,0,0,0.0,0.0,False,-0.09049815076937126,0,0.29000000000000004,68636,3,10,1.0,421.4691549885591,False,0.021752935953670626,10,0.552,67393,14,10,1.0,573.5227232799425,False,0.004433911067511254,0.5,276733,0.0,0.0,7,0,0,7,5,5.0,8,15,7,22.0,28.0,5,11,7,580,1.0656404811888933,23.7523301159963
9,7,0,0,0,10.000000000000002,20,10.0,13.262135922330097,0,,14.325477576824493,57,15.210526315789474,37.99999999999999,20,38.0,0,0.2,28361,5,93,1.0,1283.378640776699,False,-0.011530305020675905,0,0.30800000000000005,28131,102,0,0.0,1020.0000000000002,False,-0.023857400906581235,0,0.2,44214,0,1,0.0,14.325477576824493,False,0.009569488580165621,56,1.6510000000000002,38059.0,0,0,0.0,0.0,False,-0.13111273457832975,1,0.30000000000000004,69009,0,3,0.3,113.99999999999997,False,0.02500704946498271,0,0.542,66868,61,11,1.0,1291.854132186294,False,0.001972767784585427,0.3833333333333333,274642,0.0,0.0,9,0,0,6,4,3.25,7,13,5,35.0,9.0,4,3,5,848,0.7440619077533484,24.49639202374965
