index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,37.0,0,,54.0,0,,0,0.2,47672,0,10,1.0,180.0,False,-0.00020932763962153562,0,0.2,47672,10,0,0.0,100.0,False,-0.0010466381981076782,0,0.2,70226,0,0,0.0,0.0,False,0.0,0,0.2,70226,0,0,0.0,0.0,False,0.0,0,0.2,95543,0,0,0.0,0.0,False,0.0,0,0.2,95543,0,0,0.0,0.0,False,0.0,0,0.2,143633,0,0,0.0,0.0,False,0.0,0,0.2,143633,0,0,0.0,0.0,False,0.0,0.125,714148,0.0,0.0,8,0,0,0,0,0.0,620,620,81,0.0,0.0,0,0,81,200,3.512048613280058,3.512048613280058
1,81,0,0,0,10.0,20,10.0,18.0,0,,22.58823529411765,6,12.0,34.15853658536585,37,30.7027027027027,54.0,0,,0,0.2,47542,3,20,1.0,390.0,False,-0.0007326467386753747,0,0.2,47602,17,0,0.0,170.0,False,-0.001779284936783053,0,0.2,70226,0,0,0.0,0.0,False,0.0,6,0.26,70124,0,0,0.0,0.0,False,-0.001452453507248028,0,0.2,95471,0,6,0.6,204.9512195121951,False,0.0003189727113038522,37,0.5700000000000001,94036,0,0,0.0,0.0,False,-0.01577300273175429,0,0.2,143633,0,0,0.0,0.0,False,0.0,0,0.2,142497,37,0,0.0,1263.8658536585365,False,-0.0035094099069902874,0.2,711131,0.0,0.0,9,0,0,19,6,6.0,70,89,62,1156.0,99.0,73,8,62,200,6.2993582505732775,9.811406863853335
2,62,0,0,0,10.0,20,10.0,15.307692307692308,20,9.25,18.403162055335965,30,12.0,32.11849710982659,30,27.1,54.0,0,,0,0.2,47487,3,25,1.0,412.69230769230774,False,-0.0016464423962539545,15,0.35000000000000003,47247,27,0,0.0,270.0,False,-0.008163777945239889,0,0.2,70041,10,10,1.0,337.1085436302827,False,-0.00023418289785633576,30,0.554,69215,0,0,0.0,0.0,False,-0.014396377410076041,0,0.2,95399,0,12,0.6,385.4219653179191,False,0.0005098330872901053,30,0.8330000000000002,92634,24,0,0.0,441.67588932806314,False,-0.028135625376385167,0,0.2,143453,0,9,0.9,486.0,False,0.0004386178663677567,0,0.2,141864,58,0,0.0,1862.8728323699424,False,-0.005831275429845744,0.4375,707340,0.0,0.0,9,0,0,23,11,11.0,48,71,51,874.0,85.0,54,8,51,245,6.826923336833715,16.63833020068705
3,51,0,0,0,10.0,20,10.0,13.479041916167665,25,9.2,17.250270075621174,15,12.0,32.04764142078557,13,31.53846153846154,54.0,0,,0,0.2,47447,2,30,1.0,424.37125748502996,False,-0.0023615166050716314,20,0.5350000000000001,46772,38,0,0.0,380.0,False,-0.016955538809344386,0,0.2,69946,10,20,1.0,479.7958206741001,False,-0.0005710433409698524,15,0.6740000000000002,68761,15,0,0.0,202.18562874251498,False,-0.019421684071835903,0,0.2,95399,0,12,0.0,384.5716970494268,False,0.0005053834244760212,13,0.9330000000000003,92220,39,0,0.0,672.7605329492258,False,-0.031259430136434715,0,0.2,143453,0,9,0.0,486.0,False,0.0004386178663677567,0,0.2,141454,71,0,0.0,2275.3825408757752,False,-0.0072497875109628195,0.25,705452,0.0,0.0,10,0,0,11,7,7.0,40,51,30,574.0,111.0,34,17,30,250,3.465942356735468,20.10427255742252
4,30,0,0,0,10.0,20,10.0,14.345439537763106,46,15.760869565217394,16.984362931918614,4,12.0,30.913886151012296,28,27.035714285714285,54.0,20,54.0,0,0.2,47860,2,17,1.0,263.8724721419728,False,0.004603873316398426,23,0.7450000000000001,46234,48,0,0.0,480.0,False,-0.027170727622875323,0,0.2,69851,10,30,1.0,652.9852833351895,False,-0.0006907321836985158,4,0.6990000000000001,68063,51,0,0.0,731.6174164259183,False,-0.025591537205408764,0,0.2,95399,0,12,0.0,370.96663381214756,False,0.00043418478492482983,28,1.2000000000000002,91146,43,0,0.0,730.3276060725004,False,-0.04219917939528535,0,0.2,143705,0,10,0.9,540.0,False,0.002381068417424965,12,0.32000000000000006,140607,90,0,0.0,2782.2497535911066,False,-0.011382308544724818,0.3625,702865,0.0,0.0,11,0,0,13,14,14.0,22,35,28,293.0,63.0,19,11,28,1145,2.425217098556459,22.529489655978978
5,28,0,0,0,10.0,20,10.0,15.80811970142196,39,19.897435897435898,16.78251537841636,3,12.0,29.851707990143236,45,27.22222222222222,54.0,20,54.0,8,0.28,48294,0,6,0.6,94.84871820853176,False,0.011919625703430223,14,0.8620000000000001,45856,64,0,0.0,640.0,False,-0.03340869128359709,0,0.2,69416,20,40,1.0,987.4630091650936,False,-0.004503581229422827,3,0.7250000000000001,67671,70,0,0.0,1106.5683790995372,False,-0.028503913229433978,0,0.2,95399,0,12,0.0,358.2204958817188,False,0.0003674811125970322,45,1.6220000000000003,88868,46,0,0.0,771.9957074071525,False,-0.06582378767985536,0,0.2,143991,0,11,1.0,594.0,False,0.004560233372553661,11,0.41800000000000004,139342,125,0,0.0,3731.4634987679046,False,-0.0168851743722963,0.325,698837,0.0,0.0,12,0,0,11,15,14.533333333333333,22,33,22,298.0,74.0,17,11,22,946,2.2036295533180237,24.733119209297
6,22,0,0,0,10.0,20,10.0,15.813483305412998,36,15.833333333333334,15.693101992114741,24,12.666666666666666,29.57851518655156,44,28.704545454545453,54.0,20,54.0,8,0.35200000000000004,48392,0,9,0.9,142.32134974871698,False,0.014467903267067695,22,1.068,45329,75,0,0.0,750.0,False,-0.04328895587373357,0,0.2,69498,24,34,1.0,913.0890670618131,False,-0.0038654553366145724,8,0.802,67091,92,0,0.0,1454.840464097996,False,-0.034283310568037476,0,0.2,95735,0,6,0.0,177.47109111930936,False,0.002938316209033161,38,1.9570000000000005,86759,70,0,0.0,1098.517139448032,False,-0.08618885141010839,1,0.21000000000000002,143699,23,10,1.0,1220.3058492906857,False,0.004707504018194585,8,0.48700000000000004,138815,136,0,0.0,4022.678065371012,False,-0.019540502303192854,0.3625,695318,0.0,0.0,17,0,0,15,14,12.904761904761905,19,34,21,251.0,60.0,17,5,21,1230,2.0543290926143527,26.787448301911354
7,21,0,0,0,10.0,20,10.0,16.057158514443625,33,17.181818181818183,15.462053118212012,17,14.352941176470589,30.56796081087211,29,36.241379310344826,54.0,20,54.0,6,0.404,48560,0,9,0.9,144.5144266299926,False,0.01800756119306278,18,1.2260000000000002,44930,86,0,0.0,860.0,False,-0.050489826676714394,0,0.2,69571,21,35,1.0,878.3721879407365,False,-0.003073133967898471,8,0.8740000000000001,66463,118,0,0.0,1894.7447047043477,False,-0.04009380639147642,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,23,2.1490000000000005,85994,87,0,0.0,1345.198621284445,False,-0.09290477260874973,3,0.23900000000000002,143713,27,10,1.0,1365.3349418935468,False,0.005309834584996223,7,0.5490000000000002,138148,151,0,0.0,4615.762082441688,False,-0.02211970061740091,0.3625,693450,0.0,0.0,16,0,0,10,11,10.15,23,33,26,280.0,57.0,17,4,26,1162,2.0984092224389315,28.885857524350286
8,26,0,0,0,10.0,20,10.0,15.695824320875166,9,9.0,14.638629958938832,33,12.424242424242424,30.205257406292006,28,27.928571428571427,54.0,20,54.0,0,0.398,48470,0,18,0.9,282.524837775753,False,0.017568082116885965,9,1.298,44703,97,0,0.0,970.0,False,-0.054090262078204804,0,0.2,69631,11,40,1.0,758.1992658871802,False,-0.0030743651504629697,28,1.1460000000000001,65556,127,0,0.0,1993.3696887511462,False,-0.0523070537354317,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,28,2.406000000000001,84657,120,0,0.0,1756.63559507266,False,-0.10474532098074861,1,0.24600000000000002,144063,26,10,1.0,1325.3366925635921,False,0.007607362836408093,9,0.6320000000000001,137402,170,0,0.0,5134.893759069641,False,-0.025506346873386983,0.3625,690553,0.0,0.0,13,0,0,11,13,12.333333333333334,23,34,19,321.0,81.0,19,7,19,692,2.022618501447141,30.908476025797427
9,19,0,0,0,10.000000000000002,20,10.0,15.357189818521947,10,10.0,14.540231145197465,7,13.0,29.749926413385644,18,25.11111111111111,54.0,20,54.0,0,0.398,48390,3,23,1.0,383.21536582600476,False,0.016947326528363966,5,1.3390000000000002,44573,104,0,0.0,1040.0000000000002,False,-0.056078874654609395,0,0.2,69531,11,50,1.0,895.9406452636147,False,-0.003517638443997824,7,1.1880000000000004,65444,127,0,0.0,1950.3631069522874,False,-0.05420810592264773,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,18,2.5580000000000007,84035,127,0,0.0,1846.6093554400782,False,-0.11078462391049018,0,0.24500000000000002,144405,24,11,1.0,1307.9982339212554,False,0.009928074446405923,11,0.7330000000000001,136854,180,0,0.0,5354.986754409416,False,-0.028555461647360333,0.375,689303,0.0,0.0,12,0,0,9,10,10.0,19,28,19,202.0,63.0,13,6,19,736,1.8320594225078821,32.74053544830531
