index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,27.0,0,,45.0,0,,50.0,0,,0,0.2,45672,12,0,0.0,120.0,False,-0.001310272536687631,0,0.2,45712,8,0,0.0,80.0,False,-0.0008735150244584207,0,0.2,62709,0,0,0.0,0.0,False,0.0,0,0.2,62709,0,0,0.0,0.0,False,0.0,0,0.2,90184,0,0,0.0,0.0,False,0.0,0,0.2,90184,0,0,0.0,0.0,False,0.0,0,0.2,116386,0,0,0.0,0.0,False,0.0,0,0.2,116386,0,0,0.0,0.0,False,0.0,0.0,629942,0.0,0.0,5,0,0,0,0,0.0,238,238,78,0.0,0.0,0,0,78,200,2.8904091130243614,2.8904091130243614
1,78,0,0,0,10.0,20,10.0,22.0,0,,27.0,0,,45.0,0,,50.0,0,,0,0.2,45572,22,0,0.0,220.0,False,-0.002402166317260657,0,0.2,45612,18,0,0.0,180.0,False,-0.0019654088050314465,0,0.2,62709,0,0,0.0,0.0,False,0.0,0,0.2,62709,0,0,0.0,0.0,False,0.0,0,0.2,90184,0,0,0.0,0.0,False,0.0,0,0.2,90184,0,0,0.0,0.0,False,0.0,0,0.2,116386,0,0,0.0,0.0,False,0.0,0,0.2,116386,0,0,0.0,0.0,False,0.0,0.0,629742,0.0,0.0,4,0,0,50,0,0.0,29,79,48,1038.0,143.0,69,9,48,200,5.399563156010117,8.289972269034479
2,48,0,0,0,10.0,20,10.0,21.58695652173913,1,3.0,22.560606060606062,21,13.047619047619047,45.0,0,,50.0,0,,1,0.21000000000000002,45439,33,0,0.0,330.0,False,-0.004105520614954577,0,0.2,45522,27,0,0.0,270.0,False,-0.00294811320754717,1,0.21000000000000002,62688,0,1,0.1,22.560606060606062,False,-0.00015499684207523782,20,0.4,62189,0,0,0.0,0.0,False,-0.008292270646956578,0,0.2,89924,10,10,1.0,675.6060606060606,False,0.0008627143429324999,0,0.2,90170,0,1,0.1,45.0,False,9.425175197374257e-05,0,0.2,116386,0,0,0.0,0.0,False,0.0,0,0.2,116386,0,0,0.0,0.0,False,0.0,0.15000000000000002,628704,0.0,0.0,4,0,0,22,4,4.0,20,42,33,427.0,110.0,32,16,33,200,3.2060093589825556,11.495981628017034
3,33,0,0,0,10.0,20,10.0,17.222846441947564,12,2.1666666666666665,23.914596273291924,5,40.0,42.529411764705884,6,24.0,50.0,0,,4,0.24900000000000003,45229,44,0,0.0,440.0,False,-0.007490391334730957,8,0.28,45232,36,0,0.0,360.0,False,-0.008298392732354996,4,0.24900000000000003,62755,0,5,0.5,119.57298136645962,False,0.001686942714494456,0,0.38000000000000006,62168,7,0,0.0,120.55992509363294,False,-0.007665885876878632,0,0.2,89924,0,20,1.0,850.5882352941177,False,0.0018328541387281903,5,0.25,89844,0,5,0.5,212.64705882352942,False,-0.0025911078527037818,0,0.2,116386,0,0,0.0,0.0,False,0.0,0,0.2,116242,0,6,0.6,300.0,False,5.155259223617961e-05,0.325,627780,0.0,0.0,5,0,0,13,5,4.633333333333333,17,30,24,282.0,68.0,20,13,24,200,2.4361284429905936,13.932110071007628
4,24,0,0,0,10.0,20,10.0,13.801670488044545,13,1.1538461538461537,25.017041901188243,6,35.666666666666664,40.07750472589793,7,24.0,50.0,20,50.0,7,0.31500000000000006,44899,58,0,0.0,580.0,False,-0.013168238993710692,6,0.332,45010,42,0,0.0,420.0,False,-0.012491264849755416,1,0.255,62933,0,3,0.3,75.05112570356474,False,0.004170462977432017,0,0.38000000000000006,62157,17,0,0.0,234.62839829675727,False,-0.006931792898174441,0,0.2,89924,0,20,0.0,801.5500945179587,False,0.001560975863334774,2,0.265,89690,0,6,0.6,240.46502835538757,False,-0.0041444988670086,11,0.31000000000000005,116200,0,0,0.0,0.0,False,-0.0015981303593215678,3,0.23,116341,0,7,0.7,350.0,False,0.0011169728317838915,0.19999999999999998,627154,0.0,0.0,6,0,0,9,12,10.428571428571429,10,19,34,99.0,67.0,10,14,34,400,2.1885489930282347,16.120659064035863
5,34,0,0,0,10.0,20,10.0,11.205101844998214,18,3.2777777777777777,26.022292492605878,6,35.666666666666664,38.01666361472258,7,24.0,50.0,20,50.0,1,0.31800000000000006,44805,65,0,0.0,650.0,False,-0.014456673654786862,17,0.49600000000000005,44400,55,0,0.0,550.0,False,-0.024392907058001397,2,0.274,63065,0,2,0.2,52.044584985211756,False,0.006091985081768257,1,0.39,62084,33,0,0.0,369.7683608849411,False,-0.007018383638034832,0,0.2,89924,0,20,0.0,760.3332722944516,False,0.0013324607041962071,1,0.273,89590,0,6,0.6,228.0999816883355,False,-0.00532189755561773,12,0.41900000000000004,115986,0,0,0.0,0.0,False,-0.0034368394824119738,1,0.23700000000000002,116514,0,7,0.7,350.0,False,0.0026034059079270704,0.18749999999999997,626368,0.0,0.0,6,0,0,8,11,8.792857142857144,20,28,27,273.0,110.0,18,16,27,400,2.2221847690525465,18.34284383308841
6,27,0,0,0,10.0,20,10.0,11.142017684139779,1,7.0,27.145765147666847,5,40.0,43.873995974995104,7,85.0,50.0,20,50.0,1,0.32700000000000007,44676,76,0,0.0,760.0,False,-0.01607267645003494,0,0.4790000000000001,44310,64,0,0.0,640.0,False,-0.02537561146051712,3,0.30200000000000005,63162,0,1,0.1,27.145765147666847,False,0.0074402858054479154,0,0.389,62084,33,0,0.0,367.6865835766127,False,-0.007034982350407378,0,0.2,90519,0,13,0.0,570.3619476749363,False,0.0068768403911721844,0,0.272,89390,0,11,0.5,482.61395572494615,False,-0.006128504192955761,8,0.4870000000000001,115289,7,0,0.0,307.1179718249657,False,-0.008106138316356877,5,0.28600000000000003,116819,0,0,0.0,0.0,False,0.0037203787397109616,0.075,626249,0.0,0.0,8,0,0,12,5,4.314285714285714,11,23,26,158.0,52.0,14,13,26,1045,2.1402547669713385,20.483098600059748
7,26,0,0,0,10.0,20,10.0,9.208949708542836,19,3.1052631578947367,28.051205868858617,6,36.5,44.87942765674664,15,48.266666666666666,49.99999999999999,20,50.0,11,0.43600000000000005,44251,88,0,0.0,880.0,False,-0.02404350104821803,8,0.5590000000000002,44041,72,0,0.0,720.0,False,-0.03037648497554158,4,0.3390000000000001,63186,3,10,1.0,308.1389078142147,False,0.010063459055432308,1,0.399,62060,39,0,0.0,359.14903863317056,False,-0.0074857752584703025,0,0.2,91051,0,6,0.0,269.2765659404798,False,0.011106607413401871,0,0.272,89363,0,9,0.6,403.9148489107198,False,-0.006864217328402311,9,0.5690000000000002,114626,14,0,0.0,628.311987194453,False,-0.012422834416534353,11,0.39100000000000007,116426,0,8,0.8,399.99999999999994,False,0.0020621036894471843,0.3,625004,0.0,0.0,7,0,0,10,12,11.8,11,21,25,193.0,83.0,13,13,25,924,1.5605211870279163,22.043619787087664
8,25,0,0,0,10.0,20,10.0,7.588742928371741,19,1.5263157894736843,28.051205868858617,0,,40.655755349820325,20,28.2,49.99999999999999,20,50.0,14,0.5650000000000001,43746,99,0,0.0,990.0,False,-0.03387054507337526,5,0.6010000000000001,43831,81,0,0.0,810.0,False,-0.03397973445143256,0,0.3350000000000001,63166,3,20,1.0,583.7903461622876,False,0.011942387425746638,0,0.398,62051,48,0,0.0,364.2596605618436,False,-0.0075885466156225935,0,0.2,91051,0,6,0.0,243.93453209892195,False,0.010966105584687465,11,0.382,89285,0,0,0.0,0.0,False,-0.009968508826399361,6,0.6200000000000001,114176,26,0,0.0,1057.0496390953285,False,-0.014447400722186005,6,0.44000000000000006,116565,0,8,0.8,399.99999999999994,False,0.0032564054095853452,0.225,623871,0.0,0.0,6,0,0,10,9,7.583333333333333,12,22,26,175.0,70.0,12,13,26,500,2.4295896380208433,24.473209425108507
9,26,0,0,0,10.000000000000002,20,10.0,7.1317597567227,8,2.5,25.914478907398166,21,20.238095238095237,42.35022180148262,13,51.61538461538461,50.0,20,50.0,8,0.6310000000000001,43438,109,0,0.0,1090.0000000000002,False,-0.039504716981132074,0,0.5960000000000001,43731,91,0,0.0,910.0000000000001,False,-0.03507162823200559,0,0.3350000000000001,63346,1,25,1.0,654.9937324416768,False,0.015380517409316704,16,0.558,61663,48,0,0.0,342.3244683226896,False,-0.013950752935601789,0,0.2,91426,0,1,0.0,42.35022180148262,False,0.014006643206120216,8,0.451,88724,11,10,1.0,708.5614859962061,False,-0.012260703195709838,10,0.7140000000000002,113355,39,0,0.0,1651.658650257822,False,-0.018947044102135015,2,0.45400000000000007,116947,0,0,0.0,0.0,False,0.004820167374082794,0.25,622630,0.0,0.0,7,0,0,11,9,8.285714285714285,12,23,26,183.0,83.0,13,13,26,925,1.7433339539566077,26.216543379065115
