index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,25.0,0,,33.0,0,,0,0.2,29888,0,10,1.0,190.0,False,-0.00016673336001067092,0,0.2,29888,10,0,0.0,100.0,False,-0.0016673336001067093,0,0.2,41609,0,0,0.0,0.0,False,0.0,0,0.2,41609,0,0,0.0,0.0,False,0.0,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.2,52854,0,0,0.0,0.0,False,0.0,0.16666666666666666,248702,0.0,0.0,10,0,0,131,0,0.0,433,564,68,0.0,0.0,0,0,68,200,1.057606196962297,1.057606196962297
1,68,0,0,0,10.0,20,10.0,19.0,0,,25.0,0,,33.0,0,,0,0.2,29808,0,18,0.8,342.0,False,-0.00030012004801920766,0,0.2,29768,22,0,0.0,220.0,False,-0.0036681339202347604,0,0.2,41609,0,0,0.0,0.0,False,0.0,0,0.2,41609,0,0,0.0,0.0,False,0.0,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.2,52854,0,0,0.0,0.0,False,0.0,0.13333333333333333,248502,0.0,0.0,8,0,0,42,0,0.0,27,69,58,871.0,198.0,51,17,58,200,2.5940344590344466,3.6516406559967436
2,58,0,0,0,10.0,20,10.0,20.017543859649123,12,23.833333333333332,25.0,0,,33.0,0,,0,0.2,29978,1,18,1.0,370.3157894736842,False,0.005840932864373864,2,0.22000000000000003,29637,31,0,0.0,310.0,False,-0.006535947712418301,0,0.2,41607,0,1,0.1,25.0,False,0.0002523492513638876,0,0.2,41325,1,10,1.0,270.0175438596491,False,-0.0035807452250757182,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.2,52854,0,0,0.0,0.0,False,0.0,0.35000000000000003,248255,0.0,0.0,10,0,0,26,2,2.0,23,49,44,471.0,127.0,33,25,44,480,2.308941234019585,5.9605818900163285
3,44,0,0,0,10.0,20,10.0,15.719167904903417,16,1.9375,25.0,0,,33.0,10,33.0,0,0.2,29878,1,28,1.0,450.1367013372957,False,0.0038371465475739407,16,0.37800000000000006,29114,41,0,0.0,410.0,False,-0.02230892356942777,0,0.2,41590,0,8,0.7,200.0,False,0.001946694224807133,0,0.2,41311,0,20,1.0,500.0,False,-0.0011535965776634863,0,0.2,52854,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,52730,0,0,0.0,0.0,False,-0.0023460854429182276,0.45,247477,0.0,0.0,9,0,0,22,9,9.0,17,39,48,336.0,110.0,21,23,48,200,2.1556330180028453,8.116214908019174
4,48,0,0,0,10.0,20,10.0,17.57226614550946,52,19.73076923076923,22.833333333333332,9,12.0,33.0,11,33.0,0,0.2,30384,2,16,1.0,301.15625832815135,False,0.018226561596774517,30,0.662,28549,50,0,0.0,500.0,False,-0.03964919301053755,1,0.21000000000000002,41358,2,10,1.0,263.47786562435226,False,-0.002866232478257613,0,0.2,40595,30,30,1.0,1212.1679843652837,False,-0.009803552304005361,0,0.2,52854,0,0,0.0,0.0,False,0.0,11,0.4,52478,0,9,0.9,297.0,False,-0.004304309985999168,0.65,246218,0.0,0.0,11,0,0,25,11,10.11111111111111,15,40,31,251.0,68.0,22,26,31,816,2.382030243985355,10.498245152004529
5,31,0,0,0,10.0,20,10.0,15.721767717154318,45,11.555555555555555,22.833333333333332,0,,33.00000000000001,9,33.0,0,0.2,30590,5,14,1.0,270.1047480401604,False,0.024578243764841957,33,0.9620000000000002,27582,57,0,0.0,570.0,False,-0.07072829131652661,0,0.20900000000000002,41007,9,20,1.0,598.1625761210555,False,-0.0072801247792417525,0,0.2,40426,48,40,1.0,1667.9781837567405,False,-0.008387870607840341,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.389,52775,0,0,0.0,0.0,False,-0.001494683467665645,0.5,245234,0.0,0.0,14,0,0,18,4,4.0,13,31,31,169.0,43.0,15,16,31,833,1.5784205099917017,12.07666566199623
6,31,0,0,0,10.0,20,10.0,16.61745846220582,26,21.153846153846153,20.397832817337463,16,13.0,33.0,14,33.0,0,0.2,30751,5,15,1.0,299.2618769330873,False,0.03043320456404374,17,1.0990000000000002,27380,67,0,0.0,670.0,False,-0.07579698546085101,0,0.20900000000000002,40954,8,14,1.0,418.50932714037106,False,-0.010712714471143565,0,0.2,40137,55,50,1.0,1933.8518562881932,False,-0.012138577515823566,0,0.2,52854,0,0,0.0,0.0,False,0.0,14,0.5290000000000001,52354,6,10,1.0,452.3869969040248,False,-0.005180431027887915,0.6666666666666666,244430,0.0,0.0,13,0,0,16,7,7.0,10,26,25,124.0,153.0,10,21,25,669,1.305327837006189,13.38199349900242
7,25,0,0,0,10.0,20,10.0,15.336777946600254,23,7.434782608695652,20.397832817337463,0,,33.0,12,33.0,0,0.2,30641,6,25,1.0,443.41944866500637,False,0.029168658274393234,23,1.3120000000000003,26767,76,0,0.0,760.0,False,-0.09473789515806323,0,0.20900000000000002,40954,0,22,0.8,448.7523219814242,False,-0.010349295561279802,0,0.2,39966,68,60,1.0,2266.770869409065,False,-0.012247700384423216,0,0.2,52854,0,0,0.0,0.0,False,0.0,2,0.5350000000000001,52672,0,6,0.6,198.0,False,-0.0015703636432436523,0.5666666666666667,243854,0.0,0.0,11,0,0,19,5,4.5,11,30,25,135.0,60.0,10,15,25,464,1.3635393810109235,14.745532880013343
8,25,0,0,0,10.0,20,10.0,16.97800142452912,27,26.0,18.737423476177806,17,13.058823529411764,33.0,13,33.0,0,0.2,31247,5,11,1.0,236.7580156698203,False,0.0459310059968957,3,1.3190000000000002,26592,87,0,0.0,870.0,False,-0.09873949579831932,0,0.20900000000000002,40828,2,15,1.0,315.0173549917253,False,-0.014984530330076143,0,0.2,39612,73,70,1.0,2551.013747323072,False,-0.01733983336149545,0,0.2,52854,0,0,0.0,0.0,False,0.0,7,0.603,52577,7,10,1.0,461.16196433324467,False,-0.0008782498549472335,0.6666666666666666,243710,0.0,0.0,14,0,0,16,5,4.666666666666666,10,26,26,144.0,60.0,10,15,26,1283,1.480887311976403,16.226420191989746
9,26,0,0,0,10.000000000000002,20,10.0,16.548912373776602,5,3.0,19.263475801850525,13,22.0,33.0,9,33.0,0,0.2,31147,5,21,1.0,397.52715984930865,False,0.0452768967561909,5,1.3660000000000003,26392,97,0,0.0,970.0000000000002,False,-0.10374149659863946,0,0.20900000000000002,41003,0,17,0.7,327.4790886314589,False,-0.01062896141902643,0,0.2,39708,63,72,1.0,2429.5517372811637,False,-0.016492204363465126,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,52588,10,11,1.0,555.6347580185052,False,0.00022358532957307095,0.6166666666666667,243692,0.0,0.0,14,0,0,16,1,1.0,13,29,30,161.0,87.0,12,14,30,783,1.3493856790009886,17.575805870990735
10,30,0,0,0,10.000000000000002,20,10.0,17.49103483912559,12,29.0,23.688201147080377,74,28.027027027027028,33.0,10,33.0,0,0.2,31405,4,19,1.0,372.3296619433862,False,0.05346021178377,0,1.3610000000000002,26282,108,0,0.0,1080.0000000000002,False,-0.10557556355875683,41,0.6190000000000001,41223,0,0,0.0,0.0,False,-0.009276839145377202,0,0.2,39984,65,66,1.0,2700.338540250468,False,-0.0066050789462560435,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,50844,74,11,1.0,2115.926884883948,False,-0.018012573458168334,0.5,242592,0.0,0.0,16,0,0,17,1,0.7068965517241379,14,31,32,238.0,89.0,15,15,32,1502,1.325899944989942,18.901705815980677
11,32,0,0,0,10.000000000000002,20,10.0,18.939709606620607,46,23.434782608695652,23.005486619199917,10,14.0,33.0,10,33.0,17,0.37000000000000005,31830,6,10,1.0,249.39709606620607,False,0.0655828514083334,10,1.4610000000000003,26017,116,0,0.0,1160.0000000000002,False,-0.11307856475923703,0,0.5780000000000001,40696,13,10,1.0,476.27109107806706,False,-0.016219194271935477,0,0.2,39573,78,66,1.0,2995.6594661836016,False,-0.012933987043865523,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,51034,74,11,1.0,2065.4060098207938,False,-0.014895693705104636,0.6666666666666666,242004,0.0,0.0,15,0,0,17,4,3.888888888888889,16,33,40,210.0,103.0,18,14,40,1156,1.621647904976271,20.523353720956948
