simulation,time,seller,buyer,product,quantity,price
0,6,m_4,f1_0,p0,1,1.5
0,7,f2_0,c_3,p2,1,10.5
0,9,m_4,f1_0,p0,1,1.5
0,9,m_1,f1_0,p0,1,1.0
0,9,f1_0,f2_0,p1,1,6.0
0,10,m_3,f1_0,p0,1,1.5
0,10,f1_0,f2_0,p1,1,6.0
0,11,m_1,f1_0,p0,1,1.5
0,11,m_0,f1_0,p0,1,1.0
0,11,f1_0,f2_0,p1,1,6.0
0,12,m_2,f1_0,p0,1,1.5
0,12,m_3,f1_0,p0,1,1.5
0,13,f1_0,f2_0,p1,1,6.0
0,13,f1_0,f2_0,p1,1,6.0
0,14,m_3,f1_0,p0,1,1.5
0,14,f1_0,f2_0,p1,1,6.0
0,14,f2_0,c_2,p2,2,21.0
0,15,m_2,f1_0,p0,1,1.0
0,15,f1_0,f2_0,p1,1,6.0
0,15,f2_0,c_0,p2,1,10.5
0,15,f2_0,c_3,p2,2,21.0
0,15,f2_0,c_1,p2,4,42.0
0,15,f2_0,c_2,p2,2,21.0
0,16,m_2,f1_0,p0,2,3.0
0,16,m_3,f1_0,p0,1,1.5
0,16,f1_0,f2_0,p1,1,6.0
0,16,f2_0,c_2,p2,3,31.5
0,17,m_3,f1_0,p0,1,1.5
0,17,f1_0,f2_0,p1,1,6.0
0,17,f2_0,c_3,p2,2,20.0
0,17,f2_0,c_4,p2,1,10.5
0,18,m_4,f1_0,p0,1,1.5
0,18,m_3,f1_0,p0,1,1.0
0,18,f1_0,f2_0,p1,1,6.0
0,18,f1_0,f2_0,p1,1,6.0
0,18,f2_0,c_2,p2,3,31.5
0,19,f1_0,f2_0,p1,1,6.0
0,19,f2_0,c_0,p2,3,31.5
0,20,m_4,f1_0,p0,1,1.0
0,20,f2_0,c_0,p2,3,31.5
0,21,m_4,f1_0,p0,1,1.5
0,21,m_2,f1_0,p0,2,3.0
0,21,f1_0,f2_0,p1,1,6.0
0,21,f2_0,c_1,p2,1,10.0
0,21,f2_0,c_3,p2,2,20.0
0,22,m_4,f1_0,p0,2,3.0
0,22,f1_0,f2_0,p1,3,18.0
0,22,f2_0,c_3,p2,1,10.0
0,22,f2_0,c_1,p2,1,10.0
0,23,m_0,f1_0,p0,1,1.5
0,23,f2_0,c_1,p2,3,31.5
0,24,f1_0,f2_0,p1,3,18.0
0,24,f2_0,c_3,p2,2,21.0
0,24,f2_0,c_4,p2,1,10.0
0,25,f1_0,f2_0,p1,1,6.0
0,25,f1_0,f2_0,p1,1,6.0
0,25,f2_0,c_0,p2,3,31.5
0,26,m_4,f1_0,p0,1,1.0
0,26,f1_0,f2_0,p1,1,6.0
0,26,f2_0,c_1,p2,3,31.5
0,27,m_4,f1_0,p0,1,1.5
0,27,f1_0,f2_0,p1,1,6.0
0,27,f2_0,c_1,p2,2,21.0
0,27,f2_0,c_3,p2,1,10.0
0,28,m_2,f1_0,p0,1,1.0
0,28,f1_0,f2_0,p1,1,6.0
0,28,f2_0,c_0,p2,3,31.5
0,28,f2_0,c_4,p2,1,6.5
0,29,f2_0,c_2,p2,1,10.0
0,29,f2_0,c_1,p2,1,10.0
0,30,f1_0,f2_0,p1,1,6.0
0,30,f2_0,c_1,p2,1,10.0
0,30,f2_0,c_4,p2,1,10.0
0,33,m_0,f1_0,p0,1,1.5
0,33,f1_0,f2_0,p1,1,6.0
