index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,39.0,0,,52.0,0,,0,0.2,18202,8,0,0.0,80.0,False,-0.002187944426211574,0,0.2,18162,12,0,0.0,120.0,False,-0.0032819166393173614,0,0.2,29772,0,0,0.0,0.0,False,0.0,0,0.2,29772,0,0,0.0,0.0,False,0.0,0,0.2,41524,0,0,0.0,0.0,False,0.0,0,0.2,41524,0,0,0.0,0.0,False,0.0,0,0.2,56149,0,0,0.0,0.0,False,0.0,0,0.2,56149,0,0,0.0,0.0,False,0.0,0.0,291254,0.0,0.0,8,0,0,0,0,0.0,237,237,120,0.0,0.0,0,0,120,200,2.169530556013342,2.169530556013342
1,120,0,0,0,10.0,20,10.0,14.181818181818182,10,6.0,28.0,0,,39.0,0,,52.0,0,,10,0.30000000000000004,18012,14,0,0.0,140.0,False,-0.010939722131057872,0,0.2,18022,26,0,0.0,260.0,False,-0.007110819385187616,0,0.2,29712,0,10,1.0,280.0,False,0.002687088539567379,0,0.2,29772,0,0,0.0,0.0,False,0.0,0,0.2,41524,0,0,0.0,0.0,False,0.0,0,0.2,41524,0,0,0.0,0.0,False,0.0,0,0.2,56149,0,0,0.0,0.0,False,0.0,0,0.2,56149,0,0,0.0,0.0,False,0.0,0.125,290864,0.0,0.0,11,0,0,17,1,1.0,40,57,47,639.0,496.0,41,79,47,200,3.211523712030612,5.381054268043954
2,47,0,0,0,10.0,20,10.0,11.956204379562044,19,6.157894736842105,28.0,0,,39.808510638297875,2,58.0,52.0,0,,6,0.35000000000000003,17802,24,0,0.0,240.0,False,-0.019691499835904167,13,0.33000000000000007,17752,36,0,0.0,360.0,False,-0.019144513729351276,0,0.2,29645,0,19,0.9,532.0,False,0.00466881633749832,0,0.2,29722,0,10,1.0,280.0,False,0.003022974607013301,2,0.22000000000000003,41546,0,0,0.0,0.0,False,0.0005298140834216357,0,0.2,41524,0,0,0.0,0.0,False,0.0,0,0.2,56033,0,2,0.2,104.0,False,-0.0011398243958040215,0,0.2,56149,0,0,0.0,0.0,False,0.0,0.2625,290173,0.0,0.0,9,0,0,13,5,5.0,33,46,45,389.0,166.0,26,21,45,200,1.7200958220055327,7.101150090049487
3,45,0,0,0,10.0,20,10.0,9.842880523731587,30,5.5,27.1875,3,15.0,41.38012958963283,4,58.0,52.0,0,,12,0.464,17478,32,0,0.0,320.0,False,-0.03522590526200634,18,0.4970000000000001,17355,48,0,0.0,480.0,False,-0.037577945520183786,0,0.2,29573,6,29,1.0,847.4947831423896,False,0.007548951752357792,0,0.2,29674,4,17,1.0,501.5590220949264,False,0.005131650915204276,2,0.23800000000000002,41523,0,3,0.3,124.14038876889849,False,0.001470720411917131,2,0.22000000000000003,41546,0,0,0.0,0.0,False,0.0005298140834216357,0,0.2,55801,0,6,0.4,312.0,False,-0.0034194731874120643,0,0.2,56149,0,0,0.0,0.0,False,0.0,0.3375,289099,0.0,0.0,9,0,0,17,7,7.0,19,36,47,224.0,138.0,17,28,47,245,1.5633359029889107,8.664485993038397
4,47,0,0,0,10.0,20,10.0,9.794707664171,5,9.0,28.827800829875518,5,43.0,44.61170113657538,12,55.833333333333336,52.0,20,52.0,0,0.45200000000000007,17358,44,0,0.0,440.0,False,-0.03850782190132371,5,0.5290000000000001,17225,56,0,0.0,560.0,False,-0.04250082047915983,0,0.2,29573,0,35,0.6,1008.9730290456431,False,0.010260866402083211,0,0.2,29844,0,21,0.9,605.3838174273859,False,0.012585379172164856,4,0.276,41604,0,5,0.5,223.0585056828769,False,0.004612495251937089,5,0.268,41491,0,0,0.0,0.0,False,-0.0007947211251324535,0,0.2,55997,0,2,0.2,104.0,False,-0.0017809756184437836,14,0.34,55244,10,0,0.0,446.1170113657538,False,-0.012145211745839131,0.275,288336,0.0,0.0,13,0,0,14,11,10.5,25,39,45,244.0,136.0,19,28,45,797,1.5479371590190567,10.212423152057454
5,45,0,0,0,10.0,20,10.0,9.794707664171,0,,27.660405234276062,4,15.0,43.92091007583966,8,39.75,52.0,20,52.0,0,0.45200000000000007,17258,54,0,0.0,540.0,False,-0.041242752434088176,0,0.524,17125,66,0,0.0,660.0,False,-0.0452357510119243,0,0.2,29573,0,35,0.0,968.1141831996622,False,0.009574670549503976,0,0.2,29904,0,17,0.0,470.2268889826931,False,0.012330829117672571,2,0.29200000000000004,41762,0,0,0.0,0.0,False,0.0057316250842886045,1,0.273,41450,0,4,0.4,175.68364030335863,False,0.00033334505711579026,9,0.29000000000000004,55936,0,0,0.0,0.0,False,-0.003793478067285259,9,0.41600000000000004,54766,18,0,0.0,790.5763813651138,False,-0.017590906504433616,0.05,287774,0.0,0.0,8,0,0,9,11,9.619047619047619,22,31,39,179.0,132.0,12,33,39,260,1.3120082709938288,11.524431423051283
6,39,0,0,0,10.0,20,10.0,9.365966654494121,13,6.769230769230769,29.270286721800087,5,43.0,40.7956528334302,8,21.0,52.0,20,52.0,3,0.4820000000000001,17104,64,0,0.0,640.0,False,-0.04693140794223827,10,0.6240000000000001,16900,76,0,0.0,760.0,False,-0.05480800787659994,0,0.2,29573,0,35,0.0,1024.460035263003,False,0.010520959882826152,0,0.2,30031,3,22,1.0,672.0442078430843,False,0.019985963452960602,0,0.29000000000000004,41547,0,5,0.5,203.97826416715102,False,0.0030100455660238435,4,0.31200000000000006,41430,0,0,0.0,0.0,False,-0.0022637510837106253,11,0.39100000000000007,55541,0,8,0.8,416.0,False,-0.007123902473775134,9,0.4970000000000001,54598,18,0,0.0,734.3217510017437,False,-0.021083886168927833,0.2875,286724,0.0,0.0,9,0,0,3,14,13.5,26,29,34,140.0,131.0,10,29,34,415,1.0982846160186455,12.622716039069928
7,34,0,0,0,10.0,20,10.0,8.8859515126712,12,5.583333333333333,30.49525040833121,5,41.0,44.16374884354147,7,69.57142857142857,52.0,20,52.0,7,0.5490000000000002,16885,74,0,0.0,740.0,False,-0.05617547314298217,5,0.6640000000000001,16750,86,0,0.0,860.0,False,-0.06027786894212887,0,0.2,29573,0,35,0.0,1067.3337642915924,False,0.01124099429483397,0,0.2,30169,5,27,1.0,867.8015185882987,False,0.02790879884771426,0,0.29000000000000004,41547,0,5,0.0,220.81874421770735,False,0.0032128256456230185,7,0.37800000000000006,41355,0,5,0.5,220.81874421770735,False,-0.00141100635514762,3,0.41000000000000003,55804,0,2,0.2,104.0,False,-0.005218258562040286,9,0.5780000000000001,54059,23,0,0.0,1015.7662234014538,False,-0.028177116035891493,0.2125,286142,0.0,0.0,13,0,0,4,13,13.0,22,26,26,110.0,136.0,9,25,26,821,1.0080344279995188,13.630750467069447
8,26,0,0,0,10.0,20,10.0,8.32335908493931,12,4.333333333333333,31.587446834083245,5,41.0,49.86329106699424,13,73.46153846153847,52.0,20,52.0,7,0.6120000000000001,16667,82,0,0.0,820.0,False,-0.06591182583962367,5,0.7090000000000001,16580,98,0,0.0,980.0,False,-0.0662947161142107,0,0.2,29573,0,35,0.0,1105.5606391929136,False,0.011882988028901493,0,0.2,30322,7,32,1.0,1069.061812285239,False,0.03642788210878072,0,0.29000000000000004,41702,0,5,0.5,249.3164553349712,False,0.007288754158257609,3,0.401,41809,0,0,0.0,0.0,False,0.006863500626143917,5,0.4570000000000001,55838,0,0,0.0,0.0,False,-0.005538834173360167,13,0.6990000000000001,52791,36,0,0.0,1795.0784784117927,False,-0.043820206251119466,0.1875,285282,0.0,0.0,11,0,0,6,14,13.333333333333334,27,33,24,219.0,93.0,14,12,24,1150,1.0117467049858533,14.6424971720553
9,24,0,0,0,10.000000000000002,20,10.0,7.91117782097616,11,4.636363636363637,35.06906157185806,19,43.0,52.5856493453453,9,70.77777777777777,52.0,20,52.0,6,0.665,16425,95,0,0.0,950.0000000000001,False,-0.07559347992560989,5,0.754,16460,105,0,0.0,1050.0000000000002,False,-0.07094409801991029,0,0.2,30390,0,16,0.0,561.1049851497289,False,0.030181126312470274,0,0.2,30271,8,42,1.0,1536.1900085858476,False,0.04255995580723248,3,0.32000000000000006,42118,0,0,0.0,0.0,False,0.014304980252384164,1,0.40800000000000003,41023,9,10,1.0,841.4780476001756,False,-0.0019328816154491851,10,0.552,55528,0,2,0.2,104.0,False,-0.010133751268945128,10,0.7860000000000003,52083,43,0,0.0,2261.182921849848,False,-0.052278910382643984,0.275,284298,0.0,0.0,10,0,0,10,16,15.2,24,34,23,204.0,91.0,15,9,23,1095,0.959334300016053,15.601831472071353
