index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,44.0,0,,56.0,0,,0,0.2,39007,0,8,0.8,152.0,False,-0.00010233581497684652,0,0.2,38967,12,0,0.0,120.0,False,-0.0015350372246526979,0,0.2,60194,0,0,0.0,0.0,False,0.0,0,0.2,60194,0,0,0.0,0.0,False,0.0,0,0.2,91333,0,0,0.0,0.0,False,0.0,0,0.2,91333,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0.1,637438,0.0,0.0,8,0,0,8,0,0.0,1054,1062,135,0.0,0.0,0,0,135,200,5.059985174972098,5.059985174972098
1,135,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,44.0,0,,56.0,0,,0,0.2,38937,0,15,0.7,285.0,False,-0.00019187965308158723,0,0.2,38837,25,0,0.0,250.0,False,-0.0031979942180264537,0,0.2,60194,0,0,0.0,0.0,False,0.0,0,0.2,60194,0,0,0.0,0.0,False,0.0,0,0.2,91333,0,0,0.0,0.0,False,0.0,0,0.2,91333,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0.0875,637238,0.0,0.0,12,0,0,50,0,0.0,46,96,58,1250.0,453.0,74,61,58,200,5.21411006100243,10.274095235974528
2,58,0,0,0,10.0,20,10.0,19.915254237288135,14,22.857142857142858,26.7,5,15.0,44.0,0,,56.0,0,,0,0.2,39127,1,13,1.0,268.89830508474574,False,0.004463099049360983,2,0.22000000000000003,38720,34,0,0.0,340.0,False,-0.005040038887609692,5,0.25,60079,0,2,0.2,53.4,False,-0.0014669236136492492,0,0.2,59894,2,10,1.0,306.8305084745763,False,-0.002435205265686109,0,0.2,91258,0,5,0.5,220.0,False,0.0003832130774199906,0,0.2,91333,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0.3375,636821,0.0,0.0,16,0,0,27,3,3.0,28,55,52,470.0,145.0,32,26,52,500,3.272183150984347,13.546278386958875
3,52,0,0,0,10.0,20,10.0,21.232980332829047,13,26.615384615384617,25.96875,3,15.0,44.0,0,,56.0,0,,0,0.2,39373,1,10,1.0,222.32980332829047,False,0.010161048472999869,0,0.21800000000000003,38620,44,0,0.0,440.0,False,-0.006319236574820273,1,0.255,60090,0,0,0.0,0.0,False,-0.0017277469515234076,0,0.2,59548,5,20,1.0,625.5399016641452,False,-0.005535934630825781,0,0.2,91258,0,5,0.0,220.0,False,0.0003832130774199906,0,0.2,91288,0,3,0.3,132.0,False,0.00022992784645199435,0,0.2,128205,0,0,0.0,0.0,False,0.0,0,0.2,128205,0,0,0.0,0.0,False,0.0,0.2875,636587,0.0,0.0,12,0,0,22,1,0.3333333333333333,24,46,55,307.0,111.0,23,29,55,546,3.2269136670511216,16.773192054009996
4,55,0,0,0,10.0,20,10.0,21.787318002449314,14,24.142857142857142,25.96875,0,,44.0,0,,56.0,20,56.0,3,0.23,39542,0,10,1.0,217.87318002449314,False,0.014427727633541663,1,0.228,38497,55,0,0.0,550.0,False,-0.008058945429426664,0,0.254,59762,3,10,1.0,325.04945400734795,False,-0.0044767796291379424,0,0.2,59538,0,26,0.6,675.1875,False,-0.005289667574841346,0,0.2,91258,0,5,0.0,220.0,False,0.0003832130774199906,0,0.2,91288,0,3,0.0,132.0,False,0.00022992784645199435,12,0.32000000000000006,127913,0,0,0.0,0.0,False,-0.0022776022776022776,8,0.28,128054,0,0,0.0,0.0,False,-0.0011778011778011779,0.325,635852,0.0,0.0,13,0,0,23,14,13.272727272727273,24,47,34,336.0,102.0,26,29,34,220,3.3625905140070245,20.13578256801702
5,34,0,0,0,10.0,20,10.0,22.198812093684882,14,24.142857142857142,25.03919491525424,4,15.0,44.0,0,,56.0,20,56.0,2,0.24700000000000003,39703,1,10,1.0,231.98812093684882,False,0.018727302184061795,2,0.24700000000000003,38380,64,0,0.0,640.0,False,-0.009900990099009901,0,0.254,59802,0,11,0.5,275.43114406779665,False,-0.00422441485806061,0,0.2,59220,2,36,1.0,945.8086411365223,False,-0.008324678197689787,0,0.2,91258,0,5,0.0,220.0,False,0.0003832130774199906,0,0.2,91228,0,7,0.4,308.0,False,0.0005364983083879869,11,0.41800000000000004,127666,0,0,0.0,0.0,False,-0.004204204204204204,9,0.36200000000000004,127874,0,0,0.0,0.0,False,-0.0025818025818025816,0.3625,635131,0.0,0.0,13,0,0,14,13,12.09090909090909,22,36,32,250.0,51.0,16,18,32,260,3.65998740401119,23.79576997202821
6,32,0,0,0,10.0,20,10.0,21.09874197967913,44,19.295454545454547,25.698647103658537,10,28.5,44.0,3,44.0,55.99999999999999,20,56.0,11,0.35500000000000004,39939,0,10,1.0,210.9874197967913,False,0.024496474784414093,23,0.4750000000000001,37971,75,0,0.0,750.0,False,-0.018957709724460817,0,0.254,59359,22,16,1.0,875.3506772114774,False,-0.006600735312394276,0,0.2,59099,4,41,1.0,1138.0394991687165,False,-0.008738084367472499,0,0.2,91258,0,5,0.0,220.0,False,0.0003832130774199906,0,0.2,91075,0,14,1.0,616.0,False,0.0005474472534571294,12,0.5270000000000001,127381,0,0,0.0,0.0,False,-0.006427206427206427,8,0.43300000000000005,127587,3,0,0.0,132.0,False,-0.004305604305604306,0.5,633669,0.0,0.0,17,0,0,16,14,13.166666666666668,20,36,26,171.0,75.0,12,20,26,617,2.046218076022342,25.841988048050553
7,26,0,0,0,10.0,20,10.0,20.599434464154104,27,18.666666666666668,26.59258467992542,30,28.0,46.385892116182575,5,67.0,56.0,20,56.0,0,0.3440000000000001,39869,0,17,0.8,350.1903858906198,False,0.024486279145120058,26,0.7120000000000002,37747,87,0,0.0,870.0,False,-0.023153478138511527,14,0.394,59713,13,10,1.0,533.7184948332576,False,-0.003557509927623535,0,0.2,58605,20,51,1.0,1768.2105079592784,False,-0.011710382197899516,0,0.2,91258,0,5,0.0,231.92946058091286,False,0.000448520581722523,0,0.2,90570,20,19,1.0,1413.1836438059772,False,-0.0006176100434346346,12,0.6350000000000001,126759,0,5,0.5,280.0,False,-0.010186810186810186,8,0.5050000000000001,127434,3,0,0.0,139.15767634854774,False,-0.005471090533331188,0.5375,631955,0.0,0.0,13,0,0,22,13,12.466666666666667,17,39,23,128.0,36.0,14,12,23,545,2.1996934200287797,28.041681468079332
8,23,0,0,0,10.0,20,10.0,20.75115729478042,36,21.25,27.6701020412265,30,30.166666666666668,55.108256252141146,15,80.33333333333333,56.0,20,56.0,0,0.3440000000000001,40049,1,16,1.0,342.0185167164867,False,0.028986856457600855,25,0.9360000000000002,37557,96,0,0.0,960.0,False,-0.026863151431422212,15,0.53,59613,14,10,1.0,567.2172225391909,False,-0.004940548704694952,0,0.2,58335,35,56,1.0,2275.8162196259987,False,-0.01197946456768121,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,90535,40,19,1.0,2153.860950439742,False,0.00305399445129215,4,0.663,126648,0,5,0.5,280.0,False,-0.011052611052611053,11,0.6070000000000001,126308,13,0,0.0,716.4073312778349,False,-0.012002623410639799,0.5625,630638,0.0,0.0,19,0,0,13,11,9.933333333333334,20,33,30,156.0,76.0,12,11,30,2068,2.0402942200307734,30.081975688110106
9,30,0,0,0,10.000000000000002,20,10.0,20.916703028079223,36,21.555555555555557,27.6701020412265,0,,57.35806888881166,5,81.0,56.0,20,56.0,0,0.3440000000000001,40258,2,15,1.0,333.75054542118835,False,0.03422813909255242,25,1.161,37305,105,0,0.0,1050.0000000000002,False,-0.03215902985647402,0,0.5150000000000001,59613,4,20,1.0,637.0688529368468,False,-0.004360327832202138,0,0.2,57559,61,66,1.0,3102.1456194337816,False,-0.01800722979504784,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,90940,30,24,1.0,2206.6967145682747,False,0.007777565143859679,7,0.7290000000000001,126804,0,0,0.0,0.0,False,-0.010927810927810928,8,0.676,125752,18,0,0.0,1032.4452399986098,False,-0.015106878670884116,0.5,629824,0.0,0.0,18,0,0,14,11,11.0,25,39,28,200.0,57.0,16,14,28,1204,2.642707262013573,32.72468295012368
10,28,0,0,0,10.000000000000002,20,10.0,21.139716764955725,35,22.142857142857142,28.374955635656956,5,41.0,56.60109169737376,2,37.0,56.0,20,56.0,0,0.3440000000000001,40507,0,13,0.9,274.81631794442444,False,0.03984465830000286,24,1.3760000000000003,37079,118,0,0.0,1180.0000000000002,False,-0.036278046409292095,0,0.5150000000000001,59294,5,30,1.0,956.9472528944874,False,-0.007002797181658556,0,0.2,57308,75,71,1.0,3600.1006075033233,False,-0.018040829588469597,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,90809,25,32,1.0,2520.608825207384,False,0.008061756567765194,13,0.8520000000000001,126473,0,0,0.0,0.0,False,-0.01350961350961351,7,0.738,125585,20,0,0.0,1132.0218339474752,False,-0.016021130868735693,0.4875,628648,0.0,0.0,14,0,0,13,10,10.0,23,36,30,193.0,42.0,14,14,30,798,2.2085261460160837,34.93320909613976
