index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,32.0,0,,42.0,0,,57.0,0,,0,0.2,45760,9,0,0.0,90.0,False,-0.0009814612868047983,0,0.2,45740.0,11,0,0.0,110.0,False,-0.0011995637949836423,0,0.2,87443,0,0,0.0,0.0,False,0.0,0,0.2,87443,0,0,0.0,0.0,False,0.0,0,0.2,131819,0,0,0.0,0.0,False,0.0,0,0.2,131819.0,0,0,0.0,0.0,False,0.0,0,0.2,160475,0,0,0.0,0.0,False,0.0,0,0.2,160475,0,0,0.0,0.0,False,0.0,0.0,850974,0.0,0.0,10,0,0,0,0,0.0,1319,1319,118,0.0,0.0,0,0,118,200,9.429857109033037,9.429857109033037
1,118,0,0,0,10.0,20,10.0,17.0,0,,32.0,0,,33.578947368421055,12,2.0,57.0,0,,0,0.2,45650,20,0,0.0,200.0,False,-0.0021810250817884407,0,0.2,45650.0,20,0,0.0,200.0,False,-0.0021810250817884407,0,0.2,87443,0,0,0.0,0.0,False,0.0,0,0.2,87443,0,0,0.0,0.0,False,0.0,0,0.2,131819,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,131189.0,0,0,0.0,0.0,False,-0.004779280680326812,0,0.2,160475,0,0,0.0,0.0,False,0.0,0,0.2,160451,12,0,0.0,402.94736842105266,False,0.0011059273046302165,0.0,850120,0.0,0.0,10,0,0,24,2,2.0,107,131,84,1598.0,51.0,114,4,84,200,17.711735891993158,27.141593001026195
2,84,0,0,0,10.0,20,10.0,16.040816326530614,4,5.25,30.775510204081634,4,17.0,22.365699873896595,28,1.8214285714285716,57.0,0,,2,0.22000000000000003,45556,27,0,0.0,270.0,False,-0.0034678298800436204,2,0.22000000000000003,45481.0,33,0,0.0,330.0,False,-0.004449291166848419,0,0.2,87432,0,2,0.2,61.55102040816327,False,0.00022615315352953147,4,0.24000000000000002,87349,0,2,0.2,61.55102040816327,False,-0.0007230366043699002,0,0.2,131751,0,4,0.4,89.46279949558638,False,-0.00017651932006914806,28,0.5880000000000001,129236.0,0,0,0.0,0.0,False,-0.01959505078933993,0,0.2,160475,0,0,0.0,0.0,False,0.0,0,0.2,160400,40,0,0.0,894.6279949558639,False,0.0023200747622865447,0.1,847680,0.0,0.0,10,0,0,32,9,9.0,39,71,56,608.0,181.0,49,35,56,200,8.425652812991757,35.56724581401795
3,56,0,0,0,10.0,20,10.0,13.607843137254903,12,4.666666666666667,30.775510204081634,0,,18.355391936787285,40,11.2,57.0,0,,1,0.228,45434,38,0,0.0,380.0,False,-0.004929116684841876,11,0.32800000000000007,45182.0,42,0,0.0,420.0,False,-0.009989094874591058,0,0.2,87383,1,12,1.0,382.91396558623455,False,0.0015033448394166694,0,0.23600000000000002,87342,0,3,0.1,92.32653061224491,False,-0.0006271140593744012,0,0.2,131751,0,4,0.0,73.42156774714914,False,-0.00023736499386607174,40,0.9600000000000002,126316.0,0,0,0.0,0.0,False,-0.0417466374346642,0,0.2,160467,0,4,0.4,228.0,False,0.0006605390247702135,0,0.2,159960,76,0,0.0,1395.0097871958337,False,0.0011372792871033738,0.1875,843835,0.0,0.0,10,0,0,11,11,11.0,53,64,34,651.0,66.0,44,12,34,200,4.064473595004529,39.63171940902248
4,34,0,0,0,10.0,20,10.0,12.036644814254498,9,3.2222222222222223,30.775510204081634,0,,14.926245685155411,31,3.8387096774193554,57.0,20,57.0,1,0.23700000000000002,45292,51,0,0.0,510.0,False,-0.006608505997818975,8,0.397,44953.0,49,0,0.0,490.0,False,-0.014220283533260632,0,0.2,87371,0,15,0.3,461.6326530612245,False,0.0018162268738561875,0,0.23600000000000002,87325,0,10,0.7,307.7551020408163,False,0.00041029643333845024,0,0.2,131751,0,4,0.0,59.704982740621645,False,-0.0002893930968197683,31,1.2300000000000002,124090.0,0,0,0.0,0.0,False,-0.058633429171818935,3,0.23,160607,0,5,0.5,285.0,False,0.0017105468141455054,13,0.33000000000000007,159576,102,0,0.0,1522.477059885852,False,-0.000858460632852907,0.1875,840965,0.0,0.0,12,0,0,15,18,17.6,25,40,35,272.0,86.0,20,14,35,314,3.3312817189726047,42.963001127995085
5,35,0,0,0,10.0,20,10.0,10.459631927273806,14,4.428571428571429,34.5748502994012,6,62.5,14.294223021531797,9,6.0,57.0,20,57.0,5,0.28600000000000003,45137,60,0,0.0,600.0,False,-0.00900763358778626,9,0.4790000000000001,44656.0,60,0,0.0,600.0,False,-0.01949836423118866,0,0.2,87387,2,24,1.0,850.7156710401764,False,0.0042239840298261494,0,0.23600000000000002,87622,0,7,0.2,242.0239520958084,False,0.00343094331219079,0,0.2,131751,0,4,0.0,57.17689208612719,False,-0.00029898234667951197,9,1.2890000000000001,123319.0,6,0,0.0,207.4491017964072,False,-0.0636954873660231,1,0.23700000000000002,160881,0,0,0.0,0.0,False,0.002529989094874591,14,0.4570000000000001,159132,111,0,0.0,1586.6587553900295,False,-0.0034252726113412316,0.15,839885,0.0,0.0,15,0,0,13,16,15.5,29,42,38,325.0,53.0,22,13,38,803,3.2678786069736816,46.23087973496877
6,38,0,0,0,10.0,20,10.0,8.171759276869453,47,5.212765957446808,38.43309656363985,7,63.285714285714285,13.317657654269043,18,7.111111111111111,57.0,20,57.0,18,0.461,44834,69,0,0.0,690.0,False,-0.014634678298800436,29,0.76,43802.0,71,0,0.0,710.0,False,-0.0369247546346783,0,0.2,87146,35,34,1.0,1592.736857854186,False,0.005710787929589442,0,0.23600000000000002,88061,0,4,0.4,153.7323862545594,False,0.007946504501529911,0,0.2,131751,0,4,0.0,53.27063061707617,False,-0.00031379910856135253,18,1.4600000000000002,121918.0,13,0,0.0,499.6302553273181,False,-0.07321543079780864,13,0.36600000000000005,160555,0,0,0.0,0.0,False,0.0004985200186945007,7,0.5130000000000001,158887,129,0,0.0,1717.9778374007064,False,-0.004542832723475041,0.175,836954,0.0,0.0,13,0,0,19,20,20.0,25,44,38,278.0,63.0,23,15,38,643,5.111607038998045,51.34248677396681
7,38,0,0,0,10.0,20,10.0,7.753869913345901,10,3.7,41.592443561028425,15,51.46666666666667,10.93823426992819,40,3.85,57.0,20,57.0,3,0.4730000000000001,44677,81,0,0.0,810.0,False,-0.016750272628135224,7,0.8010000000000002,43576.0,79,0,0.0,790.0,False,-0.0409814612868048,0,0.2,87586,31,34,1.0,1654.5130483886894,False,0.011095874160245389,1,0.24600000000000002,88318,0,4,0.4,166.3697742441137,False,0.01095782266301542,0,0.2,131751,0,4,0.0,43.75293707971276,False,-0.0003499004806602299,40,1.842,118004.0,28,0,0.0,1164.588419708796,False,-0.10038542084332,9,0.44300000000000006,160291,0,10,1.0,570.0,False,0.0006293815236018071,11,0.6160000000000001,158606,159,0,0.0,1739.179248918582,False,-0.006227825988725333,0.3,832809,0.0,0.0,13,0,0,15,18,17.2,25,40,31,252.0,77.0,19,19,31,662,2.607636436005123,53.950123209971935
8,31,0,0,0,10.0,20,10.0,6.889617619015255,16,1.6875,42.33456456513713,2,63.0,11.534511229691308,46,13.391304347826088,57.0,20,57.0,1,0.48000000000000004,44545,93,0,0.0,930.0,False,-0.0183206106870229,15,0.9440000000000002,43137.0,87,0,0.0,870.0,False,-0.049683751363140675,0,0.2,87705,28,42,1.0,1970.9610050681865,False,0.01426621344800716,0,0.24500000000000002,88298,0,13,0.9,550.3493393467827,False,0.012924701458931988,0,0.2,131813,0,3,0.0,34.60353368907393,False,8.573700941840354e-05,45,2.2520000000000007,114707.0,30,0,0.0,1270.0369369541138,False,-0.12499701508525288,0,0.43400000000000005,160313,29,10,1.0,904.5008256610479,False,0.0018086955153795293,10,0.7050000000000001,158361,166,0,0.0,1914.728864128757,False,-0.0072075748118748725,0.3625,828879,0.0,0.0,18,0,0,13,12,12.0,28,41,30,189.0,55.0,17,14,30,958,2.389928611984942,56.34005182195688
9,30,0,0,0,10.000000000000002,20,10.0,6.893819594654169,4,7.0,41.606213065747134,3,29.0,10.05948946217849,71,6.52112676056338,57.00000000000001,20,57.0,3,0.5090000000000001,44399,104,0,0.0,1040.0000000000002,False,-0.020305343511450382,1,0.9390000000000003,43027.0,96,0,0.0,960.0000000000002,False,-0.05110141766630316,0,0.2,87782,20,49,1.0,2176.580832114693,False,0.016322523427345272,0,0.24500000000000002,88280,0,15,0.2,624.093195986207,False,0.013140521230894448,0,0.2,131813,0,3,0.0,30.17846838653547,False,6.89523831409972e-05,71,2.9170000000000007,108011.0,33,0,0.0,1373.0050311696555,False,-0.1754033749642705,1,0.44400000000000006,160481,78,10,1.0,1354.6401780499223,False,0.00425810929443812,9,0.7850000000000001,158107,178,0,0.0,1790.5891242677712,False,-0.00917716428020643,0.275,821900,0.0,0.0,16,0,0,10,14,14.0,28,38,36,217.0,65.0,17,13,36,857,2.7775120559963398,59.117563877953216
