index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,30721,7,0,0.0,70.0,False,-0.0011366957877301808,0,0.2,30661,13,0,0.0,130.0,False,-0.002111006462927479,0,0.2,47177,0,0,0.0,0.0,False,0.0,0,0.2,47177,0,0,0.0,0.0,False,0.0,0,0.2,70158,0,0,0.0,0.0,False,0.0,0,0.2,70158,0,0,0.0,0.0,False,0.0,0.0,296052,0.0,0.0,11,0,0,1,0,0.0,867,868,106,0.0,0.0,0,0,106,200,11.19201444403734,11.19201444403734
1,106,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,30651,14,0,0.0,140.0,False,-0.0022733915754603617,0,0.2,30531,26,0,0.0,260.0,False,-0.004222012925854958,0,0.2,47177,0,0,0.0,0.0,False,0.0,0,0.2,47177,0,0,0.0,0.0,False,0.0,0,0.2,70158,0,0,0.0,0.0,False,0.0,0,0.2,70158,0,0,0.0,0.0,False,0.0,0.0,295852,0.0,0.0,11,0,0,13,0,0.0,32,45,16,301.0,434.0,22,84,16,200,8.247068516036961,19.439082960074302
2,16,0,0,0,10.0,20,10.0,12.352941176470589,23,3.260869565217391,26.0,0,,36.0,0,,6,0.26,30463,25,0,0.0,250.0,False,-0.006592835568835049,17,0.37000000000000005,30033,35,0,0.0,350.0,False,-0.018934104121334155,0,0.2,47115,8,10,1.0,358.8235294117647,False,0.0024887501262454387,0,0.2,47164,0,5,0.5,130.0,False,0.0011022320198401765,0,0.2,70158,0,0,0.0,0.0,False,0.0,0,0.2,70158,0,0,0.0,0.0,False,0.0,0.25,295091,0.0,0.0,12,0,0,9,7,7.0,24,33,16,121.0,61.0,8,8,16,200,3.0680733129847795,22.50715627305908
3,16,0,0,0,10.0,20,10.0,11.607142857142856,6,4.0,26.0,0,,36.0,20,36.0,1,0.264,30351,35,0,0.0,350.0,False,-0.008606410964242799,5,0.403,29843,45,0,0.0,450.0,False,-0.02348088727225488,0,0.2,47115,0,18,0.8,468.0,False,0.0036458443733175063,0,0.2,47140,0,11,0.6,286.0,False,0.002246857578904975,12,0.32000000000000006,69962,0,0,0.0,0.0,False,-0.0027936942330169046,8,0.28,70064,0,0,0.0,0.0,False,-0.0013398329484876992,0.2333333333333333,294475,0.0,0.0,11,0,0,10,14,14.0,19,29,18,98.0,34.0,8,8,18,200,2.985142544959672,25.492298818018753
4,18,0,0,0,10.0,20,10.0,10.797189981673792,5,1.0,26.0,0,,36.0,20,36.0,0,0.263,30281,42,0,0.0,420.0,False,-0.009743106751972978,5,0.44800000000000006,29613,58,0,0.0,580.0,False,-0.02883959598584002,0,0.2,47115,0,18,0.0,468.0,False,0.0036458443733175063,0,0.2,47135,0,16,0.5,416.0,False,0.00351866375564364,15,0.4580000000000001,69686,0,0,0.0,0.0,False,-0.006727671826448872,5,0.322,70015,0,0,0.0,0.0,False,-0.0020382565067419253,0.08333333333333333,293845,0.0,0.0,13,0,0,8,11,11.0,21,29,17,101.0,62.0,8,10,17,200,3.4960682300152257,28.98836704803398
5,17,0,0,0,10.0,20,10.0,10.797189981673792,0,,26.0,0,,36.0,20,36.0,0,0.263,30191,51,0,0.0,510.0,False,-0.011204572764768926,0,0.44300000000000006,29503,69,0,0.0,690.0,False,-0.03062583222370173,0,0.2,47115,0,18,0.0,468.0,False,0.0036458443733175063,0,0.2,47135,0,16,0.0,416.0,False,0.00351866375564364,12,0.5630000000000001,69495,0,0,0.0,0.0,False,-0.009450098349439835,8,0.397,69919,0,0,0.0,0.0,False,-0.003406596539240001,0.0,293358,0.0,0.0,11,0,0,15,12,12.0,21,36,22,161.0,23.0,13,4,22,200,3.6731460799928755,32.661513128026854
6,22,0,0,0,10.0,20,10.0,10.169099981519128,6,4.0,29.384615384615383,7,51.142857142857146,36.0,20,36.0,1,0.273,30129,56,0,0.0,560.0,False,-0.01240622259751226,5,0.49300000000000005,29263,84,0,0.0,840.0,False,-0.03598454093728687,0,0.2,47115,0,18,0.0,528.9230769230769,False,0.004291530586123302,0,0.2,47469,0,15,0.6,440.7692307692308,False,0.010860898645200354,12,0.671,69316,0,0,0.0,0.0,False,-0.01200148236836854,8,0.46900000000000003,69459,7,0,0.0,205.69230769230768,False,-0.008497303887708372,0.09999999999999999,292751,0.0,0.0,13,0,0,12,11,11.0,22,34,14,145.0,75.0,13,9,14,558,4.438561365997884,37.10007449402474
7,14,0,0,0,10.0,20,10.0,10.169099981519128,0,,33.49838187702265,15,46.333333333333336,36.0,20,36.0,0,0.272,30019,67,0,0.0,670.0,False,-0.014192458835373973,0,0.4880000000000001,29173,93,0,0.0,930.0,False,-0.037446006950082815,0,0.2,47115,0,18,0.0,602.9708737864078,False,0.005076317631328963,0,0.2,48164,0,0,0.0,0.0,False,0.02092121160735104,9,0.7490000000000001,69012,0,5,0.5,180.0,False,-0.015051740357478834,11,0.5710000000000002,68786,17,0,0.0,569.4724919093851,False,-0.015497359589003596,0.08333333333333333,292269,0.0,0.0,13,0,0,13,11,11.0,22,35,14,151.0,6.0,12,2,14,895,3.0939534089993685,40.19402790302411
8,14,0,0,0,10.0,20,10.0,9.426268987398931,8,4.0,33.897604998264484,2,45.0,36.0,20,36.0,3,0.30200000000000005,29862,79,0,0.0,790.0,False,-0.017342730018511904,5,0.538,28993,101,0,0.0,1010.0,False,-0.04199279010100354,0,0.2,47115,0,18,0.0,610.1568899687607,False,0.005152477796052689,2,0.22000000000000003,48159,0,8,0.8,271.18083998611587,False,0.023689306653518857,5,0.79,69101,0,1,0.1,36.0,False,-0.014809430143390633,10,0.6600000000000001,68596,18,0,0.0,610.1568899687607,False,-0.017915584181641755,0.15,291826,0.0,0.0,14,0,0,9,14,13.5,16,25,15,66.0,64.0,5,9,15,344,2.8741037159925327,43.06813161901664
9,15,0,0,0,10.000000000000002,20,10.0,8.855440511212722,6,3.1666666666666665,36.61285111729336,15,46.0,36.0,20,36.0,1,0.30900000000000005,29750,89,0,0.0,890.0000000000001,False,-0.019356305413919653,5,0.5830000000000001,28798,111,0,0.0,1110.0000000000002,False,-0.04670195836445715,0,0.2,47615,0,8,0.0,292.9028089383469,False,0.012388481770124743,0,0.21800000000000003,48330,0,9,0.6,329.51566005564024,False,0.02793220912791865,8,0.8650000000000002,68844,0,5,0.5,180.0,False,-0.017446335414350467,11,0.76,67930,28,0,0.0,1025.159831284214,False,-0.024450812228938787,0.18333333333333335,291267,0.0,0.0,12,0,0,11,15,14.666666666666666,21,32,12,126.0,18.0,9,6,12,890,2.6351382190478034,45.70326983806444
