index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,33.0,0,,43.0,0,,0,0.2,41521,1,10,1.0,180.0,False,-0.0004804112320146045,0,0.2,41541,9,0,0.0,90.0,False,-0.0010809252720328602,0,0.2,52039,0,0,0.0,0.0,False,0.0,0,0.2,52039,0,0,0.0,0.0,False,0.0,0,0.2,73375,0,0,0.0,0.0,False,0.0,0,0.2,73375,0,0,0.0,0.0,False,0.0,0,0.2,95231,0,0,0.0,0.0,False,0.0,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.125,524352,0.0,0.0,7,0,0,123,0,0.0,396,519,68,0.0,0.0,0,0,68,200,1.293119459412992,1.293119459412992
1,68,0,0,0,10.0,20,10.0,17.0,0,,23.0,0,,33.0,0,,43.0,0,,0,0.2,41411,2,20,1.0,360.0,False,-0.000960822464029209,0,0.2,41451,18,0,0.0,180.0,False,-0.0021618505440657203,0,0.2,52039,0,0,0.0,0.0,False,0.0,0,0.2,52039,0,0,0.0,0.0,False,0.0,0,0.2,73375,0,0,0.0,0.0,False,0.0,0,0.2,73375,0,0,0.0,0.0,False,0.0,0,0.2,95231,0,0,0.0,0.0,False,0.0,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.125,524152,0.0,0.0,7,0,0,40,0,0.0,35,75,32,1134.0,60.0,63,5,32,200,3.113859700039029,4.406979159452021
2,32,0,0,0,10.0,20,10.0,18.68421052631579,12,25.0,22.76086956521739,1,12.0,30.166666666666668,9,16.0,43.0,0,,0,0.2,41631,0,18,1.0,336.3157894736842,False,0.00403924706917537,0,0.2,41331,30,0,0.0,300.0,False,-0.0036030842401095337,1,0.21000000000000002,52023,0,0,0.0,0.0,False,-0.0003074617114087511,0,0.2,51739,12,0,0.0,224.21052631578948,False,-0.003610652334635692,9,0.29000000000000004,73168,0,0,0.0,0.0,False,-0.0028211243611584325,0,0.2,73363,0,1,0.1,30.166666666666668,False,4.202157864842907e-05,0,0.2,95087,0,9,0.9,387.0,False,0.0005197887242599573,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.25,523573,0.0,0.0,7,0,0,22,2,2.0,10,32,35,222.0,50.0,19,13,35,500,2.6666100723668933,7.073589231818914
3,35,0,0,0,10.0,20,10.0,19.79935794542536,11,25.0,22.507075471698116,1,12.0,30.166666666666668,0,,43.0,0,,0,0.2,41836,0,14,0.7,277.19101123595505,False,0.00825335700843076,0,0.2,41201,43,0,0.0,430.0,False,-0.0051644207441569985,0,0.20900000000000002,52023,0,0,0.0,0.0,False,-0.0003074617114087511,1,0.21000000000000002,51448,23,0,0.0,455.38523274478325,False,-0.006981444371098771,0,0.281,73156,0,1,0.1,30.166666666666668,False,-0.0027791027825100037,0,0.2,73363,0,1,0.0,30.166666666666668,False,4.202157864842907e-05,0,0.2,95087,0,9,0.0,387.0,False,0.0005197887242599573,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.09999999999999999,523345,0.0,0.0,6,0,0,25,1,1.0,11,36,34,339.0,66.0,23,12,34,475,2.0740183871239424,9.147607618942857
4,34,0,0,0,10.0,20,10.0,21.16668857631129,20,25.0,21.98381474103586,2,12.0,30.58708708708709,18,31.72222222222222,43.0,9,43.0,6,0.26,42120,0,9,0.9,190.5001971868016,False,0.014034015483495522,0,0.2,41091,54,0,0.0,540.0,False,-0.006485551632197161,1,0.21900000000000003,51757,10,0,0.0,211.6668857631129,False,-0.003385279446538983,1,0.21900000000000003,51182,33,0,0.0,698.5007230182727,False,-0.009757098301098529,4,0.32100000000000006,73208,0,0,0.0,0.0,False,-0.002275979557069847,12,0.32000000000000006,73184,0,2,0.2,61.17417417417418,False,-0.0021862066495797502,0,0.2,94903,8,10,1.0,674.6966966966968,False,9.816497094794005e-05,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2625,522676,0.0,0.0,11,0,0,21,7,6.1,11,32,37,282.0,63.0,19,15,37,837,2.0014953017234802,11.149102920666337
5,37,0,0,0,10.0,20,10.0,22.09892442213944,22,25.0,21.715027999138492,1,12.0,31.73897403816078,4,49.0,43.0,11,43.0,13,0.384,42296,0,9,0.9,198.89031979925497,False,0.018362402053749154,0,0.2,40981,65,0,0.0,650.0,False,-0.007806682520237323,0,0.21800000000000003,51482,21,0,0.0,464.07741286492825,False,-0.006244572216367191,1,0.228,50891,44,0,0.0,972.3526745741353,False,-0.012717839749282844,4,0.35700000000000004,73236,0,1,0.1,31.73897403816078,False,-0.0016780989844077528,0,0.30800000000000005,73184,0,2,0.0,63.47794807632156,False,-0.002170508019922831,1,0.21000000000000002,95129,2,10,1.0,493.4779480763216,False,0.0015198724578988172,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.25,522430,0.0,0.0,10,0,0,21,5,3.6818181818181817,13,34,38,303.0,137.0,21,16,38,587,2.2566014220938087,13.405704342760146
6,38,0,0,0,10.0,20,10.0,22.48723410608881,9,26.0,21.16661492085714,2,12.0,33.906737253226744,8,49.5,43.00000000000001,11,43.0,0,0.37100000000000005,42460,0,7,0.7,157.41063874262167,False,0.021803591539268988,0,0.2,40851,78,0,0.0,780.0,False,-0.009368019024284788,1,0.228,51466,21,0,0.0,472.231916227865,False,-0.006473684004036797,1,0.23700000000000002,50641,53,0,0.0,1191.823407622707,False,-0.015413215015443139,7,0.42300000000000004,73327,0,1,0.1,33.906737253226744,False,-0.00042312274444146236,0,0.30800000000000005,73172,0,3,0.1,101.72021175968024,False,-0.002073456819354853,1,0.21900000000000003,95155,0,10,1.0,430.00000000000006,False,0.0014596087408511934,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2375,522303,0.0,0.0,10,0,0,21,5,4.25,10,31,37,297.0,103.0,19,19,37,821,1.8838003613054752,15.289504704065621
7,37,0,0,0,10.0,20,10.0,22.93867375464297,12,26.0,20.887881218634682,1,12.0,35.55164182528967,9,46.333333333333336,43.00000000000001,13,43.0,5,0.42100000000000004,42567,0,10,1.0,229.38673754642969,False,0.0252382447880958,0,0.2,40751,88,0,0.0,880.0,False,-0.0105690471043213,0,0.227,51154,33,0,0.0,756.976233903218,False,-0.00973331315068298,1,0.24600000000000002,50625,53,0,0.0,1215.7497089960775,False,-0.015490788552853806,4,0.45600000000000007,73371,0,1,0.1,35.55164182528967,False,0.00018774542981462024,1,0.31800000000000006,73333,0,0,0.0,0.0,False,-0.0005724020442930153,3,0.24800000000000003,95144,0,9,0.9,387.00000000000006,False,0.0011183333158320296,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.25,522176,0.0,0.0,9,0,0,22,6,4.416666666666667,12,34,34,333.0,138.0,21,16,34,630,2.012673948891461,17.302178652957082
8,34,0,0,0,10.0,20,10.0,23.293003141801027,11,26.0,20.32532105853869,2,12.0,35.967602383543195,14,37.785714285714285,43.00000000000001,11,43.0,1,0.42600000000000005,42762,0,7,0.7,163.0510219926072,False,0.029125543729343607,0,0.2,40621,101,0,0.0,1010.0,False,-0.012130383608368763,1,0.23700000000000002,50852,44,0,0.0,1024.8921382392452,False,-0.012962469126623842,1,0.255,50609,53,0,0.0,1234.5291665154543,False,-0.015617813884630268,3,0.48200000000000004,73442,0,1,0.1,35.967602383543195,False,0.001158211941284832,10,0.4170000000000001,73208,0,1,0.1,35.967602383543195,False,-0.0020308851626333964,2,0.265,94984,4,10,1.0,573.8704095341728,False,0.0004193508916958095,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2375,521709,0.0,0.0,8,0,0,19,9,7.040909090909091,13,32,41,285.0,71.0,19,15,41,415,2.9121435787528753,20.214322231709957
9,41,0,0,0,10.000000000000002,20,10.0,23.293003141801027,0,,19.530874164770317,3,12.0,36.86424842259922,5,49.0,43.00000000000001,11,43.0,0,0.42500000000000004,42662,0,17,1.0,395.98105341061745,False,0.029521042653438804,0,0.2,40521,111,0,0.0,1110.0000000000002,False,-0.013331411688405275,1,0.24600000000000002,50836,44,0,0.0,1024.8921382392452,False,-0.013269930838032594,2,0.274,50576,53,0,0.0,1234.5291665154543,False,-0.016251953664410818,0,0.4790000000000001,73467,0,2,0.2,73.72849684519844,False,0.001756241886509032,3,0.43700000000000006,73275,0,1,0.1,36.86424842259922,False,-0.0011116575916689222,1,0.273,95161,0,9,0.9,387.00000000000006,False,0.001296846615072823,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.275,521729,0.0,0.0,10,0,0,23,5,4.75,12,35,42,336.0,102.0,22,19,42,679,2.4121224377304316,22.62644466944039
