index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,30.0,0,,42.0,0,,0,0.2,17445,8,0,0.0,80.0,False,-0.002282453637660485,0,0.2,17405,12,0,0.0,120.0,False,-0.0034236804564907277,0,0.2,28113,0,0,0.0,0.0,False,0.0,0,0.2,28113,0,0,0.0,0.0,False,0.0,0,0.2,37387,0,0,0.0,0.0,False,0.0,0,0.2,37387.0,0,0,0.0,0.0,False,0.0,0,0.2,49873,0,0,0.0,0.0,False,0.0,0,0.2,49873,0,0,0.0,0.0,False,0.0,0.0,265596,0.0,0.0,10,0,0,0,0,0.0,562,562,97,0.0,0.0,0,0,97,200,1.6327497530146502,1.6327497530146502
1,97,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,30.0,0,,42.0,0,,0,0.2,17365,16,0,0.0,160.0,False,-0.00456490727532097,0,0.2,17285,24,0,0.0,240.0,False,-0.0068473609129814554,0,0.2,28113,0,0,0.0,0.0,False,0.0,0,0.2,28113,0,0,0.0,0.0,False,0.0,0,0.2,37387,0,0,0.0,0.0,False,0.0,0,0.2,37387.0,0,0,0.0,0.0,False,0.0,0,0.2,49873,0,0,0.0,0.0,False,0.0,0,0.2,49873,0,0,0.0,0.0,False,0.0,0.0,265396,0.0,0.0,8,0,0,19,0,0.0,50,69,36,757.0,260.0,53,44,36,200,3.7265080499928445,5.359257803007495
2,36,0,0,0,10.0,20,10.0,14.5625,3,8.0,20.80327868852459,16,17.4375,19.513513513513512,29,3.2413793103448274,42.0,0,,3,0.23,17215,28,0,0.0,280.0,False,-0.009700427960057061,0,0.2,17205,32,0,0.0,320.0,False,-0.00912981455064194,0,0.2,28089,0,3,0.3,62.40983606557377,False,0.00025628421131819993,16,0.36000000000000004,27870,0,0,0.0,0.0,False,-0.008643687973535374,0,0.2,37339,0,4,0.4,78.05405405405405,False,-0.00024000248677276504,29,0.49000000000000005,35686.0,12,0,0.0,249.63934426229508,False,-0.042158513062531176,0,0.2,49853,1,10,1.0,439.5135135135135,False,0.004005308619027536,0,0.2,49799,8,10,1.0,576.1081081081081,False,0.00429198271718271,0.33749999999999997,263056,0.0,0.0,8,0,0,15,14,14.0,29,44,25,333.0,123.0,24,12,25,200,1.7368509030202404,7.096108706027735
3,25,0,0,0,10.0,20,10.0,10.93512658227848,20,3.1,20.168437025796663,11,17.0,16.772058823529413,15,4.6,42.0,0,,4,0.267,17072,38,0,0.0,380.0,False,-0.01500713266761769,16,0.36000000000000004,16796,42,0,0.0,420.0,False,-0.029614835948644794,0,0.2,28040,8,13,1.0,349.67069399358445,False,0.003622357877024561,11,0.45400000000000007,27717,2,0,0.0,21.87025316455696,False,-0.013697039569513143,0,0.2,37284,0,9,0.5,150.94852941176472,False,-0.0007362381387679924,15,0.6110000000000001,34965.0,18,0,0.0,363.03186646433994,False,-0.05992682126856472,0,0.2,49841,0,14,0.4,588.0,False,0.005253343492470876,0,0.2,49742,10,20,1.0,1007.7205882352941,False,0.00747619541871655,0.3625,261457,0.0,0.0,8,0,0,14,12,12.0,19,33,10,181.0,78.0,13,12,10,200,1.2284997660317458,8.32460847205948
4,10,0,0,0,10.0,20,10.0,10.93512658227848,0,,19.303685031808907,24,17.166666666666668,16.891737366285504,35,17.142857142857142,42.0,20,42.0,0,0.263,16952,50,0,0.0,500.0,False,-0.018430813124108415,0,0.3440000000000001,16716,50,0,0.0,500.0,False,-0.03189728958630528,0,0.2,28077,0,20,0.8,386.07370063617816,False,0.0055859157798203935,23,0.673,27256,2,0,0.0,21.87025316455696,False,-0.03009514720654939,0,0.2,37399,0,14,1.0,236.48432312799707,False,0.00348362162152614,30,0.8960000000000001,33447.0,32,0,0.0,617.717921017885,False,-0.0971230919702318,0,0.2,50169,0,10,1.0,420.0,False,0.010145770256451386,0,0.2,49654,25,24,1.0,1430.2934341571377,False,0.009948202776624006,0.475,259670,0.0,0.0,16,0,0,11,11,11.0,13,24,16,88.0,12.0,6,4,16,1307,0.885842302988749,9.21045077504823
5,16,0,0,0,10.0,20,10.0,10.93512658227848,0,,20.209357605996775,10,27.0,14.15848459199348,30,5.266666666666667,42.0,20,42.0,0,0.263,16882,57,0,0.0,570.0,False,-0.02042796005706134,0,0.3440000000000001,16586,63,0,0.0,630.0,False,-0.035606276747503565,0,0.2,28292,0,15,0.0,303.1403640899516,False,0.011758623485397354,5,0.7000000000000002,27181,2,0,0.0,21.87025316455696,False,-0.0327629521366529,0,0.2,37440,0,13,0.5,184.06029969591523,False,0.003879159864336809,24,1.106,32107.0,37,0,0.0,747.7462314218807,False,-0.1312254763497756,0,0.2,50565,0,8,0.8,336.0,False,0.01724379925009524,0,0.2,49940,37,24,1.0,1531.8639299037586,False,0.0167010599914158,0.2875,258993,0.0,0.0,23,0,0,12,7,7.0,15,27,19,142.0,15.0,11,5,19,1351,1.1374996600206941,10.347950435068924
6,19,0,0,0,10.0,20,10.0,10.93512658227848,0,,20.630591735561236,6,26.0,13.481740587088911,43,11.674418604651162,42.0,20,42.0,0,0.263,16802,65,0,0.0,650.0,False,-0.022710413694721827,0,0.3440000000000001,16466,75,0,0.0,750.0,False,-0.03902995720399429,0,0.2,28388,0,12,0.0,247.56710082673482,False,0.01418502295782624,3,0.7250000000000001,27163,2,0,0.0,21.87025316455696,False,-0.033403225319877744,0,0.2,37784,0,6,0.3,80.89044352253347,False,0.011700463309740375,33,1.4120000000000001,30337.0,40,0,0.0,825.2236694224495,False,-0.17753198077644036,5,0.25,50591,20,10,1.0,689.6348117417782,False,0.021310476728307704,0,0.2,49990,40,27,1.0,1673.2696234835564,False,0.019121264246020495,0.2875,257521,0.0,0.0,20,0,0,13,8,8.0,16,29,25,120.0,35.0,9,10,25,1366,0.9806209089583717,11.328571344027296
7,25,0,0,0,10.0,20,10.0,10.93512658227848,0,,19.681000396677387,11,13.272727272727273,14.50238725708322,6,38.666666666666664,41.99999999999999,20,42.0,0,0.263,16682,77,0,0.0,770.0,False,-0.026134094151212553,0,0.3440000000000001,16386,83,0,0.0,830.0,False,-0.04131241084165478,0,0.2,28388,0,12,0.0,236.17200476012863,False,0.013982357001389509,11,0.8320000000000001,26979,2,0,0.0,21.87025316455696,False,-0.03994824008173169,0,0.2,37906,0,10,0.9,145.0238725708322,False,0.015821326564993625,1,1.3890000000000002,30265.0,42,0,0.0,826.6020166604502,False,-0.17943935035359282,0,0.24500000000000002,50779,16,10,1.0,652.0381961133314,False,0.024703127906014522,0,0.2,50410,30,27,1.0,1569.0716177124964,False,0.02649802115084815,0.3625,257795,0.0,0.0,20,0,0,14,4,4.0,15,29,17,148.0,47.0,11,14,17,1270,1.0560322219971567,12.384603566024452
8,17,0,0,0,10.0,20,10.0,10.93512658227848,0,,18.914444973690845,14,14.714285714285714,14.94281728143394,12,19.833333333333332,42.0,20,42.0,0,0.263,16592,86,0,0.0,860.0,False,-0.0287018544935806,0,0.3440000000000001,16276,94,0,0.0,940.0,False,-0.044450784593437945,0,0.2,28388,0,12,0.0,226.97333968429012,False,0.013818755374458312,14,0.9610000000000001,26740,2,0,0.0,21.87025316455696,False,-0.04844964512566154,0,0.2,38006,0,15,1.0,224.1422592215091,False,0.019554153304912263,7,1.458,29929.0,46,0,0.0,870.0644687897789,False,-0.1878451805602244,0,0.24500000000000002,51199,6,10,1.0,509.6569036886036,False,0.03169707961911863,0,0.2,50592,32,27,1.0,1612.170153005886,False,0.030579373137829012,0.375,257722,0.0,0.0,19,0,0,12,7,7.0,14,26,13,70.0,48.0,5,12,13,1260,0.8660377120249905,13.250641278049443
9,13,0,0,0,10.000000000000002,20,10.0,10.93512658227848,0,,17.986215703423703,16,13.25,16.596071132328333,30,23.8,42.00000000000001,20,42.0,0,0.263,16512,94,0,0.0,940.0000000000001,False,-0.030984308131241083,0,0.3440000000000001,16156,106,0,0.0,1060.0000000000002,False,-0.04787446504992867,0,0.2,28388,0,12,0.0,215.83458844108443,False,0.013620648604579394,16,1.1070000000000002,26430,2,0,0.0,21.87025316455696,False,-0.05947657217008939,0,0.2,38278,4,15,1.0,320.8859297986198,False,0.028123223711432048,20,1.6510000000000002,29241.0,48,0,0.0,863.3383537643377,False,-0.20633725153443258,0,0.24500000000000002,51001,14,11,1.0,694.3449958525968,False,0.02957857955058452,0,0.2,50916,34,26,1.0,1656.2664184991636,False,0.03751795980289093,0.375,256922,0.0,0.0,21,0,0,11,7,7.0,13,24,17,61.0,33.0,7,6,17,1480,0.9600860510254279,14.21072732907487
