index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,33.0,0,,50.0,0,,0,0.2,33913,1,10,1.0,160.0,False,-0.0008817564588660612,0,0.2,33933,9,0,0.0,90.0,False,-0.0013226346882990918,0,0.2,48418,0,0,0.0,0.0,False,0.0,0,0.2,48418,0,0,0.0,0.0,False,0.0,0,0.2,72626,0,0,0.0,0.0,False,0.0,0,0.2,72626,0,0,0.0,0.0,False,0.0,0,0.2,103116,0,0,0.0,0.0,False,0.0,0,0.2,103116,0,0,0.0,0.0,False,0.0,0.125,516166,0.0,0.0,12,0,0,165,0,0.0,525,690,108,0.0,0.0,0,0,108,200,2.471551410970278,2.471551410970278
1,108,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,30.166666666666668,9,16.0,50.0,0,,0,0.2,33803,2,20,1.0,320.0,False,-0.0017635129177321223,0,0.2,33843,18,0,0.0,180.0,False,-0.0026452693765981836,0,0.2,48418,0,0,0.0,0.0,False,0.0,0,0.2,48418,0,0,0.0,0.0,False,0.0,0,0.2,72626,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,72419,0,0,0.0,0.0,False,-0.0028502189298598296,0,0.2,102972,0,9,0.9,450.0,False,0.0007855231001978355,0,0.2,103116,0,0,0.0,0.0,False,0.0,0.2375,515615,0.0,0.0,10,0,0,26,1,1.0,65,91,43,1141.0,429.0,69,39,43,200,8.594150899967644,11.065702310937922
2,43,0,0,0,10.0,20,10.0,15.0,0,,18.36842105263158,12,4.75,28.811355311355314,6,17.833333333333332,50.0,0,,0,0.2,33683,4,30,1.0,490.0,False,-0.0027922287864091937,0,0.2,33763,26,0,0.0,260.0,False,-0.0038209446550862653,8,0.28,48241,0,0,0.0,0.0,False,-0.003655665248461316,4,0.24000000000000002,48322,0,0,0.0,0.0,False,-0.001982733694080714,0,0.2,72620,0,4,0.4,115.24542124542126,False,0.0007108020629349835,6,0.341,72232,8,0,0.0,146.94736842105263,False,-0.0044133824772048654,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,103009,0,6,0.6,300.0,False,0.00041700609022848054,0.25,514842,0.0,0.0,9,0,0,19,6,6.0,40,59,31,463.0,40.0,36,7,31,200,3.614608199975919,14.680310510913841
3,31,0,0,0,10.0,20,10.0,14.872340425531915,2,12.0,12.755146262188514,41,5.73170731707317,26.104299974404917,29,21.517241379310345,50.0,0,,0,0.2,33593,3,40,1.0,624.8936170212766,False,-0.003455109528535348,2,0.22000000000000003,33641,37,0,0.0,370.0,False,-0.005790200746553802,21,0.48200000000000004,47726,2,0,0.0,29.74468085106383,False,-0.013985039852419992,20,0.43600000000000005,47731,0,0,0.0,0.0,False,-0.014188937998265108,0,0.2,72766,1,10,1.0,273.7981460062377,False,0.0038126713987156374,25,0.5850000000000001,71120,38,0,0.0,484.69555796316354,False,-0.01739944676862858,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102385,19,16,1.0,1295.9816995136935,False,-0.0008050074696764861,0.375,511934,0.0,0.0,13,0,0,19,12,12.0,24,43,17,232.0,45.0,20,11,17,396,2.097089156974107,16.77739966788795
4,17,0,0,0,10.0,20,10.0,14.872340425531915,0,,10.716697390123215,20,2.25,23.769076642259193,25,17.2,50.0,8,50.0,0,0.2,33493,3,50,1.0,773.6170212765958,False,-0.0042086673533109804,0,0.21800000000000003,33541,47,0,0.0,470.0,False,-0.007259794844663904,6,0.5210000000000001,47591,2,0,0.0,29.74468085106383,False,-0.016773259109720995,14,0.556,47327,0,0,0.0,0.0,False,-0.02253294229418811,0,0.2,72925,0,2,0.2,47.53815328451839,False,0.0044442634406722135,15,0.7100000000000002,70676,57,0,0.0,610.8517512370233,False,-0.022644426574250056,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102355,34,18,1.0,1708.1486058368125,False,0.0009026174688545779,0.275,510880,0.0,0.0,17,0,0,15,6,6.0,15,30,21,102.0,64.0,8,9,21,760,1.4782575650024228,18.25565723289037
5,21,0,0,0,10.0,20,10.0,19.559241706161135,21,29.0,9.401306570900958,15,1.2666666666666666,23.536540618676952,26,22.76923076923077,50.0,9,50.0,0,0.2,34012,2,39,1.0,782.8104265402843,False,0.011180825126242246,0,0.21800000000000003,33431,58,0,0.0,580.0,False,-0.008876348352585016,12,0.6350000000000001,46945,12,0,0.0,234.71090047393363,False,-0.027998772145958813,3,0.5720000000000001,46943,11,0,0.0,215.1516587677725,False,-0.028242062262301457,2,0.22000000000000003,73037,0,2,0.2,47.073081237353904,False,0.005983209052111856,22,0.9150000000000003,69992,70,0,0.0,658.0914599630671,False,-0.031737315424482535,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102213,50,19,1.0,2126.8270309338477,False,0.0015556607652247975,0.275,509545,0.0,0.0,18,0,0,15,7,6.5,18,33,20,170.0,62.0,12,9,20,1259,1.5874344480107538,19.843091680901125
6,20,0,0,0,10.0,20,10.0,19.70198966692316,34,19.941176470588236,8.255291963064868,28,4.285714285714286,23.8712260612815,13,26.46153846153846,50.0,8,50.0,0,0.2,34220,6,37,1.0,788.973617676157,False,0.017384910467568272,22,0.43800000000000006,33233,64,0,0.0,640.0,False,-0.013814184522234959,22,0.8430000000000002,45980,34,0,0.0,669.8676486753875,False,-0.043435626743407584,6,0.629,46446,23,0,0.0,453.1457623392327,False,-0.03604913707361689,2,0.23800000000000002,73150,0,5,0.5,119.35613030640751,False,0.008036764590548875,9,0.9830000000000001,69644,93,0,0.0,767.7421525650327,False,-0.03577408811882079,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102269,53,21,1.0,2315.1749812479193,False,0.003012020352069149,0.3125,507914,0.0,0.0,15,0,0,18,11,10.5,16,34,25,136.0,54.0,12,8,25,948,1.5090079660294577,21.352099646930583
7,25,0,0,0,10.0,20,10.0,21.56459915125849,31,26.483870967741936,7.897205519247408,7,2.142857142857143,23.392200661032216,28,21.642857142857142,50.0,10,50.0,0,0.2,34951,5,16,1.0,395.03358642013586,False,0.03308105673250644,0,0.41600000000000004,33123,75,0,0.0,750.0,False,-0.015430738030156071,6,0.881,45134,60,0,0.0,1293.8759490755094,False,-0.0544644972006743,1,0.6330000000000001,46304,28,0,0.0,603.8087762352377,False,-0.037426073193489645,0,0.23600000000000002,73341,0,2,0.1,46.78440132206443,False,0.010167050376738873,24,1.2140000000000002,68751,99,0,0.0,781.8233464054935,False,-0.04797301691952267,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102163,71,21,1.0,2710.846246933287,False,0.0039026254263803558,0.2625,506739,0.0,0.0,20,0,0,18,6,6.0,15,33,21,186.0,94.0,13,12,21,1721,1.5532450979808345,22.905344744911417
8,21,0,0,0,10.0,20,10.0,23.32570480828626,31,29.096774193548388,7.154556416720311,25,3.96,22.896298073598977,18,19.666666666666668,50.0,10,50.0,15,0.35000000000000003,35459,6,10,1.0,293.25704808286264,False,0.04651643076863972,0,0.41600000000000004,33033,84,0,0.0,840.0,False,-0.016753372718455162,7,0.9450000000000001,44473,77,0,0.0,1796.079270238042,False,-0.06293032270810399,18,0.812,45404,42,0,0.0,979.679601948023,False,-0.05213268204027403,0,0.23600000000000002,73423,0,8,0.8,183.17038458879182,False,0.012235083748167301,16,1.35,68160,116,0,0.0,829.9285443395561,False,-0.055779414091788417,0,0.2,102972,0,9,0.0,450.0,False,0.0007855231001978355,0,0.2,102309,79,21,1.0,2858.807547814319,False,0.006035957309313439,0.35,505233,0.0,0.0,18,0,0,16,10,9.333333333333332,17,33,20,117.0,70.0,11,10,20,1218,1.6351228099665605,24.540467554877978
9,20,0,0,0,10.000000000000002,20,10.0,22.39599260402571,15,15.0,6.767196405089187,12,2.9166666666666665,23.53845822248864,9,32.22222222222222,50.00000000000001,18,50.0,0,0.3350000000000001,35349,7,20,1.0,517.9198520805143,False,0.046584955060995616,15,0.5660000000000001,32898,93,0,0.0,930.0000000000001,False,-0.019398642095053348,11,1.0480000000000003,43961,92,0,0.0,2060.4313195703653,False,-0.07077500805929228,1,0.8040000000000003,45379,42,0,0.0,940.6316893690798,False,-0.053052256502033525,0,0.23600000000000002,73612,0,10,0.6,235.3845822248864,False,0.015196930728835982,5,1.3840000000000001,68031,122,0,0.0,825.5979614208809,False,-0.057585451756802714,0,0.2,102972,0,9,0.0,450.00000000000006,False,0.0007855231001978355,0,0.2,102919,78,13,1.0,2485.999741354114,False,0.01014391433605897,0.325,505121,0.0,0.0,22,0,0,14,5,5.0,18,32,21,170.0,61.0,13,7,21,1300,1.5670465900329873,26.107514144910965
