index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,29.0,0,,40.0,0,,56.0,0,,0,0.2,39777,9,0,0.0,90.0,False,-0.0011287531040710362,0,0.2,39757,1,10,1.0,180.0,False,-0.0005016680462537939,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,93687,0,0,0.0,0.0,False,0.0,0,0.2,93687.0,0,0,0.0,0.0,False,0.0,0,0.2,132699,0,0,0.0,0.0,False,0.0,0,0.2,132699,0,0,0.0,0.0,False,0.0,0.125,676680,0.0,0.0,7,0,0,0,0,0.0,679,679,114,0.0,0.0,0,0,114,200,5.058970469981432,5.058970469981432
1,114,0,0,0,10.0,20,10.0,17.0,0,,29.0,0,,29.107692307692307,20,4.6,56.0,0,,0,0.2,39687,18,0,0.0,180.0,False,-0.0022575062081420724,0,0.2,39647,2,20,1.0,360.0,False,-0.0010033360925075878,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,93687,0,0,0.0,0.0,False,0.0,20,0.4,92525.0,0,0,0.0,0.0,False,-0.01240300148366369,0,0.2,132699,0,0,0.0,0.0,False,0.0,0,0.2,132607,20,0,0.0,582.1538461538462,False,0.0015002141920959203,0.125,675226,0.0,0.0,7,0,0,40,5,5.0,83,123,80,1575.0,46.0,108,6,80,200,10.673730053938925,15.732700523920357
2,80,0,0,0,10.0,20,10.0,17.0,0,,29.0,0,,19.997948717948717,39,6.333333333333333,56.0,0,,0,0.2,39567,30,0,0.0,300.0,False,-0.003762510346903454,0,0.2,39567,0,30,1.0,510.0,False,-0.0011287531040710362,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,72187,0,0,0.0,0.0,False,0.0,0,0.2,93687,0,0,0.0,0.0,False,0.0,39,0.77,89738.0,0,0,0.0,0.0,False,-0.0421509921333803,0,0.2,132619,0,10,1.0,560.0,False,0.001507170363001982,0,0.2,132440,49,0,0.0,979.8994871794871,False,0.0017404030444067822,0.25,671992,0.0,0.0,6,0,0,30,5,5.0,30,60,41,581.0,190.0,46,34,41,200,5.419162076897919,21.151862600818276
3,41,0,0,0,10.0,20,10.0,15.426666666666666,30,13.066666666666666,26.636363636363637,10,16.0,18.043746835443038,11,2.4545454545454546,56.0,0,,19,0.39,39071,43,0,0.0,430.0,False,-0.014573456743672712,0,0.2,39772,0,26,0.7,401.0933333333333,False,0.0026474695027634107,10,0.30000000000000004,71990,0,5,0.5,133.1818181818182,False,-0.00180654537394667,0,0.2,71802,15,10,1.0,497.76363636363635,False,-0.001885632895371458,0,0.2,93687,0,0,0.0,0.0,False,0.0,11,0.841,89009.0,10,0,0.0,266.3636363636364,False,-0.048510659769425604,0,0.2,132598,0,15,0.5,840.0,False,0.0024039367289881612,0,0.2,132434,55,0,0.0,992.406075949367,False,0.001742311833357347,0.3375,670363,0.0,0.0,8,0,0,18,9,9.0,24,42,35,285.0,82.0,27,14,35,475,2.6419192627072334,23.79378186352551
4,35,0,0,0,10.0,20,10.0,16.53885350318471,11,23.363636363636363,26.636363636363637,0,,13.27224109589041,48,4.4375,56.0,20,56.0,1,0.38100000000000006,38947,54,0,0.0,540.0,False,-0.0163042115032483,0,0.2,39932,0,25,0.9,413.4713375796178,False,0.00681605510296251,0,0.29000000000000004,71990,0,5,0.0,133.1818181818182,False,-0.00180654537394667,0,0.2,71545,16,20,1.0,797.3489287782281,False,-0.0033707666977556305,0,0.2,93687,0,0,0.0,0.0,False,0.0,48,1.3100000000000003,85006.0,10,0,0.0,266.3636363636364,False,-0.0912380392350932,0,0.2,133334,0,9,0.8,504.0,False,0.00668430055991379,6,0.26,132183,95,0,0.0,1260.862904109589,False,0.0008623384656613262,0.3375,666624,0.0,0.0,12,0,0,11,9,9.0,23,34,38,235.0,81.0,20,15,38,1234,4.708938349969685,28.502720213495195
5,38,0,0,0,10.0,20,10.0,15.948457919498168,25,14.28,26.636363636363637,0,,11.25885172274017,31,3.2580645161290325,56.0,20,56.0,12,0.5,38632,63,0,0.0,630.0,False,-0.023076730127674517,0,0.2,40115,1,22,1.0,360.8660742289597,False,0.010746558233990077,0,0.29000000000000004,71709,7,15,1.0,511.18465998194176,False,-0.0030809933922870143,0,0.2,71469,14,30,1.0,1022.3693199638835,False,-0.0028649942512926144,0,0.2,93687,0,0,0.0,0.0,False,0.0,31,1.5720000000000003,82885.0,10,0,0.0,266.3636363636364,False,-0.11387725278659981,0,0.2,133697,5,11,1.0,672.2942586137009,False,0.010053935065877368,12,0.374,131913,111,0,0.0,1249.732541224159,False,-0.0012142799070672628,0.5,664107,0.0,0.0,12,0,0,13,13,13.0,24,37,27,281.0,87.0,22,16,27,941,2.673057763837278,31.175777977332473
6,27,0,0,0,10.0,20,10.0,18.510224476662753,46,23.304347826086957,28.38738738738739,6,42.833333333333336,9.828360165428393,32,3.625,55.99999999999999,20,56.0,4,0.5280000000000001,38462,72,0,0.0,720.0,False,-0.02621215541676073,20,0.4,40581,2,10,1.0,205.10224476662754,False,0.020481880311619044,0,0.29000000000000004,71175,18,25,1.0,1042.8687252646143,False,-0.006795761527251309,0,0.2,71188,29,34,1.0,1501.967680994391,False,-0.003435745487453474,0,0.2,93687,0,0,0.0,0.0,False,0.0,32,1.8610000000000004,80446.0,16,0,0.0,454.1981981981982,False,-0.13890828931336155,0,0.2,134145,0,8,0.5,447.99999999999994,False,0.012584872531066549,12,0.4820000000000001,131537,143,0,0.0,1405.4555036562601,False,-0.0034610076049697517,0.4375,661221,0.0,0.0,14,0,0,13,10,9.88888888888889,20,33,20,229.0,27.0,18,9,20,1439,2.4294747384265065,33.60525271575898
7,20,0,0,0,10.0,20,10.0,18.659817554911992,17,19.705882352941178,27.225165562913908,18,24.0,9.238701678513285,11,1.0,56.0,20,56.0,5,0.5740000000000001,38286,81,0,0.0,810.0,False,-0.029498081119723078,2,0.4,40741,3,10,1.0,216.59817554911993,False,0.024639403210037412,0,0.29000000000000004,71607,8,17,1.0,612.1063550088323,False,-0.0037949606230426266,0,0.2,70853,36,44,1.0,1869.6607167450436,False,-0.005529661041842423,0,0.2,93687,0,0,0.0,0.0,False,0.0,11,1.9390000000000003,79497.0,34,0,0.0,925.6556291390729,False,-0.146521632514975,0,0.2,134593,0,0,0.0,0.0,False,0.014272903337628769,12,0.5900000000000001,131256,154,0,0.0,1422.760058491046,False,-0.005513379684507701,0.375,660520,0.0,0.0,11,0,0,8,8,7.166666666666667,17,25,18,94.0,27.0,11,9,18,1080,1.8145790407434106,35.41983175650239
8,18,0,0,0,10.0,20,10.0,18.616269862325822,20,18.35,27.857792496663535,40,28.825,8.266726895903124,34,4.029411764705882,56.0,20,56.0,9,0.659,38106,87,0,0.0,870.0,False,-0.033260591466626535,1,0.40800000000000003,40866,7,10,1.0,256.1626986232582,False,0.028271034923912742,0,0.29000000000000004,71502,12,20,1.0,780.5510882811806,False,-0.0040827913039662295,0,0.2,71744,32,21,1.0,1180.7342780243605,False,0.0020414636847656013,0,0.2,93687,0,0,0.0,0.0,False,0.0,34,2.2680000000000007,75943.0,74,0,0.0,2061.4766447531015,False,-0.17839467244786844,10,0.30000000000000004,134389,0,0,0.0,0.0,False,0.012735589567366748,10,0.6780000000000002,130912,188,0,0.0,1554.1446564297873,False,-0.007610665278450607,0.375,657149,0.0,0.0,8,0,0,7,16,15.09090909090909,16,23,24,123.0,57.0,9,9,24,1353,1.8159714126959443,37.235803169198334
9,24,0,0,0,10.000000000000002,20,10.0,16.884063500805937,36,10.722222222222221,28.7160549034875,4,48.25,8.658340559894715,27,11.037037037037036,56.0,20,56.0,22,0.8700000000000001,37576,96,0,0.0,960.0000000000002,False,-0.045426041588281035,4,0.44700000000000006,41036,8,10,1.0,248.8406350080594,False,0.03244338218336045,0,0.29000000000000004,71141,38,29,1.0,1474.360005231763,False,-0.00427805556934248,0,0.2,71912,22,28,1.0,1175.4989343153807,False,0.0043324901596919945,0,0.2,93687,0,0,0.0,0.0,False,0.0,27,2.504000000000001,74224.0,78,0,0.0,2239.852282472025,False,-0.19579102606299692,9,0.38000000000000006,134165,0,7,0.7,392.0,False,0.01252458571654647,11,0.7780000000000002,130445,208,0,0.0,1800.9348364581006,False,-0.010200020963013572,0.4625,654186,0.0,0.0,10,0,0,12,12,12.0,21,33,31,238.0,41.0,17,7,31,653,2.198780070990324,39.43458324018866
