index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,25.0,0,,37.0,0,,50.0,0,,0,0.2,47059,1,10,1.0,180.0,False,-0.0004240072929254383,0,0.2,47079,0,9,0.9,153.0,False,-0.00028620492272467084,0,0.2,64464.0,0,0,0.0,0.0,False,0.0,0,0.2,64464,0,0,0.0,0.0,False,0.0,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0.2375,671168,0.0,0.0,9,0,0,208,0,0.0,664,872,314,0.0,0.0,0,0,314,200,8.100746288022492,8.100746288022492
1,314,0,0,0,10.0,20,10.0,17.0,0,,25.0,0,,37.0,0,,50.0,0,,0,0.2,46949,2,20,1.0,360.0,False,-0.0008480145858508766,0,0.2,46989,0,18,0.9,306.0,False,-0.0005724098454493417,0,0.2,64464.0,0,0,0.0,0.0,False,0.0,0,0.2,64464,0,0,0.0,0.0,False,0.0,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0.2375,670968,0.0,0.0,9,0,0,67,0,0.0,123,190,118,3021.0,609.0,175,139,118,200,17.356103822006844,25.456850110029336
2,118,0,0,0,10.0,20,10.0,16.659574468085108,2,9.0,25.0,0,,37.0,0,,50.0,0,,0,0.2,46848,3,29,1.0,513.1276595744681,False,-0.00136607030491985,0,0.2,46908,0,26,0.9,433.1489361702128,False,-0.0009418374762003484,0,0.2,64464.0,0,0,0.0,0.0,False,0.0,0,0.2,64446,0,2,0.2,50.0,False,0.00010858773889302556,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,90407,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0.2625,670768,0.0,0.0,10,0,0,50,0,0.0,28,78,112,481.0,249.0,61,57,112,218,10.69310273899464,36.149952849023975
3,112,0,0,0,10.0,20,10.0,19.26438569206843,22,24.272727272727273,24.48936170212766,2,13.0,37.0,0,,50.0,0,,0,0.2,47282,3,17,1.0,357.49455676516334,False,0.006185148686268093,0,0.2,46808,0,36,1.0,693.5178849144635,False,-0.00030191561285528967,2,0.22000000000000003,64204.0,9,0,0.0,173.37947122861587,False,-0.002688481390942091,0,0.2,64137,3,12,1.0,351.66549750173715,False,-0.0023449871439739237,0,0.2,90394,0,1,0.1,37.0,False,6.083599721260522e-05,0,0.2,90394,0,1,0.1,37.0,False,6.083599721260522e-05,0,0.2,133644,0,0,0.0,0.0,False,0.0,0,0.2,133644,0,0,0.0,0.0,False,0.0,0.4,670507,0.0,0.0,11,0,0,46,2,2.0,18,64,82,654.0,219.0,48,64,82,734,7.296363839006517,43.44631668803049
4,82,0,0,0,10.0,20,10.0,21.171233630461103,33,24.515151515151516,23.970654627539503,2,13.0,37.80434782608695,1,74.0,50.0,9,50.0,4,0.24000000000000002,47597,4,10,1.0,251.71233630461103,False,0.011741952726415783,0,0.2,47018,0,33,0.9,698.6507098052164,False,0.004204569842536515,2,0.23800000000000002,63619.0,31,0,0.0,656.3082425442942,False,-0.008017589332462313,0,0.2,63878,4,22,1.0,612.0393363277135,False,-0.004343204452657989,0,0.2,90381,0,2,0.1,75.6086956521739,False,0.0001305689584443752,0,0.2,90455,0,1,0.1,37.80434782608695,False,0.0007400109937619909,0,0.2,133644,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,133429,1,0,0.0,37.80434782608695,False,-0.0014673148520468193,0.3875,670021,0.0,0.0,12,0,0,25,6,5.4,19,44,83,343.0,165.0,29,53,83,833,7.552055416977964,50.99837210500846
5,83,0,0,0,10.0,20,10.0,21.76794995458079,25,23.72,23.970654627539503,0,,40.5272373540856,10,51.8,50.0,9,50.0,4,0.276,47759,1,10,1.0,227.6794995458079,False,0.014921659347726303,0,0.2,47163,3,32,1.0,726.5743985465853,False,0.0075746189080389825,0,0.23600000000000002,63619.0,31,0,0.0,674.8064485920045,False,-0.007874112306155343,0,0.2,63285,19,32,1.0,1180.6519972182991,False,-0.00913182553659173,4,0.24000000000000002,90427,0,0,0.0,0.0,False,0.00022122180804583715,3,0.23,90619,0,0,0.0,0.0,False,0.002344951165285874,0,0.2,133644,0,0,0.0,0.0,False,0.0,9,0.37100000000000005,132763,11,0,0.0,445.79961089494157,False,-0.004924277891656453,0.375,669279,0.0,0.0,10,0,0,29,7,5.583333333333334,25,54,65,533.0,291.0,37,46,65,475,4.3153832500102,55.31375535501866
6,65,0,0,0,10.0,20,10.0,22.253737466259143,17,25.0,23.702226572057747,1,13.0,41.99736094194073,3,64.66666666666667,50.0,11,50.0,7,0.342,47907,4,10,1.0,262.53737466259145,False,0.018428813147009525,0,0.2,47093,0,42,1.0,934.656973582884,False,0.008296306616452347,1,0.24600000000000002,63177.0,48,0,0.0,1068.179398380439,False,-0.011679546736314547,0,0.2,63285,9,42,1.0,1195.7771532227575,False,-0.009014510787239673,0,0.23600000000000002,90427,0,0,0.0,0.0,False,0.00022122180804583715,3,0.257,90664,0,1,0.1,41.99736094194073,False,0.0030749685364073243,0,0.2,133644,0,0,0.0,0.0,False,0.0,11,0.4720000000000001,132352,14,0,0.0,587.9630531871702,False,-0.007467738719332029,0.3875,668549,0.0,0.0,9,0,0,26,9,9.0,18,44,51,393.0,152.0,28,37,51,450,4.4402576550492086,59.754013010067865
7,51,0,0,0,10.0,20,10.0,23.00767673809183,33,25.333333333333332,23.935490754571685,71,24.056338028169016,44.531377954351974,5,67.0,49.99999999999999,8,50.0,12,0.45500000000000007,48075,7,10,1.0,300.07676738091834,False,0.02238839881469733,0,0.2,47309,0,38,0.7,874.2917160474896,False,0.012235702644188873,71,0.9550000000000001,60385.0,70,0,0.0,1610.5373716664283,False,-0.05078386873552345,0,0.2,63010,10,52,1.0,1474.7222866186457,False,-0.011116884721560489,5,0.28600000000000003,89792,20,10,1.0,924.0235946349535,False,-0.0016922163403555218,0,0.254,89706,31,11,1.0,1231.845370889594,False,-0.0009410478674793814,0,0.2,133644,0,0,0.0,0.0,False,0.0,8,0.541,131899,19,0,0.0,846.0961811326875,False,-0.009891591911598297,0.5875,663820,0.0,0.0,10,0,0,17,11,10.09090909090909,21,38,49,336.0,99.0,21,30,49,486,4.1067401230102405,63.860753133078106
8,49,0,0,0,10.0,20,10.0,23.277023256688956,12,26.0,23.801085112878557,35,23.428571428571427,44.531377954351974,0,,50.0,6,50.0,0,0.44300000000000006,47945,10,20,1.0,565.5404651337791,False,0.022446315007036127,0,0.2,47551,0,33,0.7,768.1417674707355,False,0.016240982080081554,35,1.2340000000000002,59658.0,82,0,0.0,1908.7159070484945,False,-0.059748728693158254,0,0.2,63010,0,62,1.0,1475.6672769984705,False,-0.01110955512380187,0,0.281,89042,40,20,1.0,1842.6709636021817,False,-0.004907413344087462,0,0.254,89636,26,21,1.0,1553.987149976234,False,6.62954747764167e-05,0,0.2,133644,0,0,0.0,0.0,False,0.0,6,0.5930000000000001,131830,19,0,0.0,846.0961811326875,False,-0.010407888939523232,0.5875,662316,0.0,0.0,9,0,0,25,4,4.0,18,43,50,384.0,77.0,26,23,50,512,3.409639061021153,67.27039219409926
9,50,0,0,0,10.000000000000002,20,10.0,22.336949137347297,35,19.114285714285714,23.46087851993431,66,22.848484848484848,47.51399578142776,5,74.0,50.00000000000001,12,50.0,5,0.49300000000000005,48115,13,10,1.0,353.369491373473,False,0.02380132599136594,0,0.2,47741,0,30,0.7,670.1084741204189,False,0.019229880579622473,66,1.8590000000000004,57432.0,84,0,0.0,1876.303727537173,False,-0.09453102718154958,0,0.2,62359,23,72,1.0,2202.9330835942583,False,-0.015567347018535517,0,0.281,88542,70,25,1.0,2830.1113909310957,False,-0.004976874628451916,0,0.254,88998,42,31,1.0,2458.2907670615014,False,-0.001989388172035932,0,0.2,133644,0,0,0.0,0.0,False,0.0,12,0.7070000000000001,131206,24,0,0.0,1140.3358987542663,False,-0.013976175889848234,0.5875,658037,0.0,0.0,11,0,0,16,12,11.130434782608695,21,37,47,345.0,201.0,22,28,47,830,3.4486142929526977,70.71900648705196
