index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,36.0,0,,47.0,0,,0,0.2,20817,0,10,1.0,190.0,False,-0.000239040015298561,0,0.2,20817,10,0,0.0,100.0,False,-0.00239040015298561,0,0.2,30396,0,0,0.0,0.0,False,0.0,0,0.2,30396,0,0,0.0,0.0,False,0.0,0,0.2,40201.0,0,0,0.0,0.0,False,0.0,0,0.2,40201,0,0,0.0,0.0,False,0.0,0,0.2,52751,0,0,0.0,0.0,False,0.0,0,0.2,52751,0,0,0.0,0.0,False,0.0,0.125,288330,0.0,0.0,6,0,0,121,0,0.0,380,501,120,0.0,0.0,0,0,120,200,2.8871690100058913,2.8871690100058913
1,120,0,0,0,10.0,20,10.0,19.0,0,,26.0,0,,28.305084745762713,14,3.5714285714285716,47.0,0,,0,0.2,20717,0,20,1.0,380.0,False,-0.000478080030597122,0,0.2,20717,20,0,0.0,200.0,False,-0.00478080030597122,0,0.2,30396,0,0,0.0,0.0,False,0.0,0,0.2,30396,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,39859.0,0,0,0.0,0.0,False,-0.008507251063406383,5,0.25,39991,0,0,0.0,0.0,False,-0.005223750652968832,0,0.2,52751,0,0,0.0,0.0,False,0.0,0,0.2,52701,4,10,1.0,583.2203389830509,False,0.0045802007448489486,0.25,287528,0.0,0.0,6,0,0,28,2,2.0,99,127,80,1549.0,63.0,113,7,80,200,7.259939684998244,10.147108695004135
2,80,0,0,0,10.0,20,10.0,19.0,0,,25.448979591836736,4,19.25,22.619392185238787,16,3.7500000000000004,47.0,0,,0,0.2,20597,2,30,1.0,590.0,False,-0.001195200076492805,0,0.2,20637,28,0,0.0,280.0,False,-0.006693120428359707,4,0.24000000000000002,30345,0,0,0.0,0.0,False,-0.0016778523489932886,0,0.2,30396,0,0,0.0,0.0,False,0.0,15,0.43100000000000005,39120.0,0,0,0.0,0.0,False,-0.026889878361234795,1,0.255,39872,4,0,0.0,101.79591836734694,False,-0.006917789130029701,0,0.2,52691,6,10,1.0,605.7163531114327,False,0.004603859198038281,0,0.2,52701,0,14,0.4,658.0,False,0.005288999260677523,0.3,286359,0.0,0.0,6,0,0,11,8,8.0,48,59,30,539.0,138.0,46,34,30,200,4.632077860005666,14.779186555009801
3,30,0,0,0,10.0,20,10.0,17.431372549019606,6,5.666666666666667,21.036605657237935,16,8.875,13.416532701582199,56,3.1964285714285716,47.0,0,,0,0.2,20557,0,36,0.7,627.5294117647059,False,-0.0022104170826431537,5,0.25,20389,43,0,0.0,430.0,False,-0.014963904957689917,16,0.3960000000000001,29853,1,0,0.0,17.431372549019606,False,-0.017577454721854503,0,0.2,30367,0,5,0.5,105.18302828618968,False,0.0007761387729667058,34,0.7560000000000002,36790.0,8,0,0.0,168.29284525790348,False,-0.08275549308154141,22,0.47400000000000003,38572,12,0,0.0,252.43926788685522,False,-0.03738166627836546,0,0.2,52512,52,20,1.0,1637.6597004822743,False,0.010991826699799707,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.275,281741,0.0,0.0,8,0,0,9,25,25.0,22,31,22,202.0,43.0,17,13,22,210,1.2663952439907007,16.0455817990005
4,22,0,0,0,10.0,20,10.0,15.203059805285116,26,11.26923076923077,20.235138087065064,10,15.9,11.954639056905672,33,7.242424242424242,47.0,9,47.0,0,0.2,20487,0,43,0.7,653.73157162726,False,-0.004930640827383063,26,0.5050000000000001,19782,56,0,0.0,560.0,False,-0.040875842616053926,10,0.48000000000000004,29480,10,0,0.0,152.03059805285116,False,-0.02763471183621447,0,0.2,30245,7,15,1.0,409.9484899429717,False,0.0017757022296185935,28,1.002,35174.0,11,0,0.0,222.5865189577157,False,-0.12227822045524096,5,0.502,38288,19,0,0.0,384.4676236542362,False,-0.04280406428130856,0,0.2,52696,75,21,1.0,1883.5979292679253,False,0.01681103608716352,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.3375,278853,0.0,0.0,9,0,0,11,17,17.0,15,26,16,146.0,36.0,13,9,16,623,1.1511935550370254,17.196775354037527
5,16,0,0,0,10.0,20,10.0,16.42472366916529,14,22.071428571428573,19.798593769618165,14,18.0,11.71964065611427,9,8.444444444444445,47.0,11,47.0,0,0.2,20696,0,41,0.8,673.4136704357768,False,0.005531712732126342,4,0.5190000000000001,19590,68,0,0.0,680.0,False,-0.047186499019935935,11,0.5800000000000001,28977,19,0,0.0,312.06974971414047,False,-0.04155037258662098,0,0.2,30290,2,22,1.0,468.41851026993027,False,0.004217964703742707,0,0.974,35042.0,18,0,0.0,356.37468785312694,False,-0.12389773030704306,9,0.587,37811,26,0,0.0,514.7634380100723,False,-0.053048886370860436,0,0.2,53137,74,20,1.0,1807.253408552456,False,0.02444743614862707,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.35,278244,0.0,0.0,13,0,0,13,9,9.0,9,22,16,114.0,21.0,9,7,16,1081,0.9508947730064392,18.147670127043966
6,16,0,0,0,10.0,20,10.0,17.51976001154117,47,19.170212765957448,19.798593769618165,0,,10.500470648307626,17,1.8235294117647058,47.00000000000001,14,47.0,0,0.2,21277,0,28,1.0,490.55328032315276,False,0.028937067464817,24,0.7550000000000001,18994,78,0,0.0,780.0,False,-0.0732896686905388,0,0.5690000000000001,28689,35,0,0.0,613.1916004039409,False,-0.04607198972884693,0,0.2,29677,23,32,1.0,1036.509480893228,False,-0.006604331476292501,7,1.0440000000000003,34762.0,18,0,0.0,356.37468785312694,False,-0.13086273117766817,10,0.6780000000000002,37347,26,0,0.0,514.7634380100723,False,-0.06459088781361062,0,0.2,53764,81,16,1.0,1602.5381225129179,False,0.03439307427833523,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,277211,0.0,0.0,13,0,0,11,6,6.0,14,25,13,101.0,15.0,11,5,13,1539,0.9464396690018475,19.094109796045814
7,13,0,0,0,10.0,20,10.0,19.28686224500246,16,31.0,25.900793889249538,37,36.54054054054054,10.336562916035563,7,7.428571428571429,47.0,14,47.0,0,0.2,21663,1,22,1.0,434.31096939005414,False,0.04604654035927846,0,0.7310000000000001,18904,87,0,0.0,870.0,False,-0.07544102882822584,10,0.669,28232,40,0,0.0,771.4744898000984,False,-0.05850318315238681,0,0.2,30680,24,15,1.0,851.3966022188022,False,0.023348411011626585,3,1.0670000000000002,34156.0,28,0,0.0,725.222228898987,False,-0.141349441196749,4,0.7080000000000002,36347,53,0,0.0,1372.7420761302255,False,-0.07879478027747792,0,0.2,54370,78,12,1.0,1370.2519074507738,False,0.04367928482351778,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.375,277053,0.0,0.0,18,0,0,10,4,4.0,10,20,20,81.0,18.0,7,6,20,2676,0.8737213740241714,19.967831170069985
8,20,0,0,0,10.0,20,10.0,21.825949660336192,34,30.029411764705884,26.432622372327394,31,28.0,9.819781350149212,11,4.2727272727272725,47.0,11,47.0,8,0.28,22312,3,10,1.0,248.25949660336192,False,0.07262655965490665,4,0.7710000000000001,18800,95,0,0.0,950.0,False,-0.07850074102404743,19,0.8490000000000002,27234,53,0,0.0,1156.7753319978183,False,-0.08499843183317177,0,0.2,30757,35,13,1.0,1107.532328952023,False,0.030094952114620738,4,1.1040000000000003,33254.0,52,0,0.0,1374.4963633610246,False,-0.15571134594461541,7,0.7740000000000002,35937,60,0,0.0,1585.9573423396437,False,-0.08634166634735889,0,0.2,54840,79,11,1.0,1292.7627266617878,False,0.0518545878434702,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.375,275835,0.0,0.0,15,0,0,10,10,9.470588235294118,18,28,14,167.0,18.0,14,6,14,1815,0.936891129007563,20.904722299077548
9,14,0,0,0,10.000000000000002,20,10.0,21.354565246540652,17,17.764705882352942,26.598253253590904,23,27.391304347826086,9.752939429761762,5,8.2,47.00000000000001,13,47.0,0,0.272,22433,7,11,1.0,304.90021771194716,False,0.07976526790916354,8,0.8470000000000002,18582,101,0,0.0,1010.0000000000002,False,-0.08748864559927332,12,0.9500000000000002,26990,53,0,0.0,1131.7919580666546,False,-0.09343676868557282,0,0.2,30901,42,12,1.0,1216.070779397798,False,0.036617824374881563,1,1.11,33147.0,59,0,0.0,1569.2969419618635,False,-0.1559501387781167,4,0.8070000000000002,35240,76,0,0.0,2021.4672472729087,False,-0.09826288839490417,2,0.22000000000000003,55298,74,10,1.0,1191.7175178023704,False,0.05957913137004393,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,275292,0.0,0.0,13,0,0,12,8,8.0,11,23,18,91.0,15.0,9,5,18,1424,0.9769756410387345,21.881697940116283
