index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,23.0,0,,33.0,0,,43.0,0,,0,0.2,24450,0,6,0.6,138.0,False,0.0003671970624235006,0,0.2,24440,0,7,0.7,161.0,False,0.0004283965728274174,0,0.2,35217,0,0,0.0,0.0,False,0.0,0,0.2,35217.0,0,0,0.0,0.0,False,0.0,0,0.2,49923,0,0,0.0,0.0,False,0.0,0,0.2,49923,0,0,0.0,0.0,False,0.0,0.21666666666666665,219170,0.0,0.0,3,0,0,35,0,0.0,109,144,76,0.0,0.0,0,0,76,130,1.0185956780333072,1.0185956780333072
1,76,0,0,0,10.0,13,10.0,23.0,0,,26.166666666666668,33,16.848484848484848,43.0,0,,0,0.2,24390,0,12,0.6,276.0,False,0.0007343941248470012,0,0.2,24370,0,14,0.7,322.0,False,0.0008567931456548348,0,0.2,35217,0,0,0.0,0.0,False,0.0,33,0.53,33811.0,0,0,0.0,0.0,False,-0.03992390038901667,0,0.2,49923,0,0,0.0,0.0,False,0.0,0,0.2,49367,33,0,0.0,863.5,False,-0.0024888328025158744,0.21666666666666665,217078,0.0,0.0,3,0,0,39,4,4.0,40,79,40,1206.0,102.0,67,9,40,130,3.9972829860053025,5.01587866403861
2,40,0,0,0,10.0,16,10.0,24.6,10,31.8,23.52777777777778,27,16.666666666666668,43.0,0,,0,0.2,24330,0,18,0.6,442.8,False,0.0016891064871481622,0,0.2,24588,0,14,1.0,344.40000000000003,False,0.010208078335373346,0,0.2,35205,0,1,0.1,23.52777777777778,False,-6.704464068759242e-06,27,0.7670000000000001,32497.0,9,0,0.0,221.4,False,-0.07409205781298803,0,0.2,49779,0,9,0.9,387.0,False,0.0009915269515053183,0,0.2,49061,51,0,0.0,1199.9166666666667,False,-0.005248916664997381,0.43333333333333335,215460,0.0,0.0,7,0,0,20,3,3.0,20,40,38,435.0,121.0,30,10,38,478,3.360246946045663,8.376125610084273
3,38,0,0,0,10.000000000000002,14,10.0,26.30909090909091,11,34.0,20.58496171111698,64,16.5625,43.0,20,43.0,0,0.2,24290,0,22,0.4,578.8,False,0.002831497348021275,0,0.2,24862,0,13,1.0,342.0181818181818,False,0.021338600200289288,17,0.37000000000000005,34336,1,10,1.0,232.1587080202607,False,-0.021720210295876154,46,1.2000000000000002,30065.0,9,0,0.0,236.78181818181818,False,-0.14293122897774066,0,0.2,50037,0,3,0.0,129.0,False,0.003575506279670693,14,0.34,47747,115,0,0.0,2367.2705967784527,False,-0.01987790600746693,0.39999999999999997,211337,0.0,0.0,7,0,0,15,11,10.9,18,33,32,354.0,210.0,23,15,32,772,2.8698609160492197,11.245986526133493
4,32,0,0,0,10.000000000000004,10,10.0,26.30909090909091,0,,20.157648225699802,27,18.0,43.0,20,43.0,0,0.2,24290,0,22,0.0,578.8,False,0.002831497348021275,0,0.2,24762,0,23,1.0,605.1090909090909,False,0.022625644449389894,0,0.35300000000000004,34336,0,11,0.1,221.73413048269782,False,-0.02186821520171084,27,1.4240000000000002,29098.0,9,0,0.0,236.78181818181818,False,-0.17038955876165182,10,0.30000000000000004,49836,0,10,1.0,430.0,False,0.002563948480660217,7,0.3960000000000001,47357,132,0,0.0,2660.809565792374,False,-0.024750019371909043,0.35000000000000003,209679,0.0,0.0,3,0,0,16,8,7.571428571428571,14,30,18,315.0,141.0,20,12,18,100,1.8638618579716422,13.109848384105135
5,18,0,0,0,10.000000000000004,9,10.0,26.30909090909091,0,,18.774242004659854,87,16.4367816091954,43.0,20,43.0,0,0.2,24290,0,22,0.0,578.8,False,0.002831497348021275,0,0.2,24672,0,32,0.9,841.8909090909091,False,0.023783984273580323,7,0.42300000000000004,34351,0,0,0.0,0.0,False,-0.02459039668341994,69,2.087,24173.0,9,0,0.0,236.78181818181818,False,-0.3102367916321405,0,0.29000000000000004,49753,17,11,1.0,792.1621140792175,False,0.004528595177365265,11,0.49900000000000005,46242,192,0,0.0,3604.654464894692,False,-0.037631407718940295,0.31666666666666665,203481,0.0,0.0,5,0,0,13,11,10.875,10,23,17,237.0,72.0,14,4,17,637,1.33083362900652,14.440682013111655
6,17,0,0,0,10.000000000000002,11,10.0,28.64378777703156,20,35.0,18.278393288815845,59,16.508474576271187,43.0,20,43.0,0,0.2,24710,0,10,0.0,286.4378777703156,False,0.014003220680749018,0,0.2,24842,1,34,1.0,983.888784419073,False,0.033616662268850996,7,0.4860000000000001,33770,2,10,1.0,240.07150844222159,False,-0.03767965033304617,52,2.5380000000000007,20853.0,17,0,0.0,486.9443922095365,False,-0.4009577137148318,0,0.29000000000000004,50100,14,10,1.0,685.8975060434218,False,0.01041501418227487,9,0.5780000000000001,45283,244,0,0.0,4459.927962471066,False,-0.04827506397380905,0.5,199558,0.0,0.0,8,0,0,12,9,9.0,9,21,17,198.0,78.0,11,6,17,1283,1.022536301985383,15.463218315097038
7,17,0,0,0,10.000000000000002,7,10.0,29.572965894887208,17,33.23529411764706,18.25719359957424,20,18.0,43.0,20,43.0,0,0.2,24710,0,10,0.0,295.7296589488721,False,0.014192771500384919,0,0.2,25337,0,25,0.8,739.3241473721802,False,0.0488234220190163,0,0.47900000000000004,33205,9,20,1.0,631.3005650454697,False,-0.048168490146158496,20,2.686000000000001,20265.0,17,0,0.0,502.74042021308253,False,-0.41742992844062404,2,0.31000000000000005,50370,12,10,1.0,649.0863231948908,False,0.01545466341360585,8,0.649,44977,256,0,0.0,4673.841561491005,False,-0.05226206796976339,0.4666666666666666,198864,0.0,0.0,7,0,0,9,5,4.285714285714286,13,22,17,216.0,60.0,12,5,17,850,0.996833891957067,16.460052207054105
8,17,0,0,0,10.000000000000002,12,10.0,30.262276209665778,11,35.0,18.170725670986737,26,17.384615384615383,43.00000000000001,20,43.0,0,0.2,24710,0,10,0.0,302.62276209665777,False,0.01433338967965443,0,0.2,25602,2,24,1.0,746.2946290319787,False,0.05977753221199473,0,0.47900000000000004,33529,0,11,0.9,199.87798238085412,False,-0.045093591413509694,8,2.746000000000001,19696.0,28,0,0.0,847.3437338706418,False,-0.42869432754251297,0,0.30800000000000005,50800,2,10,1.0,466.34145134197354,False,0.022237660510606036,10,0.7410000000000001,44373,282,0,0.0,5124.14463921826,False,-0.05985072372234987,0.48333333333333334,198710,0.0,0.0,9,0,0,10,4,4.0,11,21,16,198.0,48.0,11,6,16,1259,0.9723256179713644,17.43237782502547
9,16,0,0,0,10.000000000000002,10,10.0,31.401144000064182,28,34.57142857142857,21.192618150964996,106,27.92452830188679,43.0,20,43.0,0,0.2,24908,0,4,0.0,125.60457600025673,False,0.018800582945741735,0,0.2,26272,2,12,1.0,396.8137280007702,False,0.07998396017953431,12,0.5990000000000002,33251,1,10,1.0,243.32732550971414,False,-0.05237062603984275,83,3.568000000000001,15379.0,45,0,0.0,1413.0514800028882,False,-0.5432454286281783,0,0.30800000000000005,49073,52,13,1.0,1661.0161438501798,False,-0.0003904398388500107,13,0.861,43226,328,0,0.0,6951.178753516519,False,-0.0645275849456511,0.5,192109,0.0,0.0,11,0,0,8,9,8.5,12,20,19,162.0,51.0,9,7,19,1712,0.8116788659826852,18.244056691008154
10,19,0,0,0,10.000000000000002,12,10.0,32.075835704488064,22,35.0,22.838475048971,104,27.71153846153846,43.00000000000001,20,43.0,0,0.2,24908,0,4,0.0,128.30334281795226,False,0.018855637348387497,10,0.30000000000000004,26642,4,10,1.0,360.75835704488065,False,0.0943443157291898,19,0.7770000000000001,32679,2,10,1.0,292.5364218986861,False,-0.06791412638926257,75,4.235000000000001,12332.0,56,0,0.0,1796.2467994513315,False,-0.6243256552311195,0,0.30800000000000005,47490,104,10,1.0,2805.201405092984,False,-0.020639771196713074,7,0.9180000000000004,42402,370,0,0.0,8450.23576811927,False,-0.06601931205937878,0.5,186453,0.0,0.0,8,0,0,10,8,7.575757575757576,12,22,21,201.0,66.0,12,7,21,1358,0.9378399649867788,19.181896655994933
11,21,0,0,0,10.0,13,10.0,32.575434805826845,23,34.869565217391305,24.59273509187399,77,33.03896103896104,43.0,20,43.0,0,0.2,24942,0,3,0.0,97.72630441748053,False,0.0196190596576394,12,0.41000000000000003,26921,7,10,1.0,395.7543480582684,False,0.10644133716969131,0,0.758,32677,5,11,1.0,433.3972600397481,False,-0.06597101882557069,68,4.840000000000001,10424.0,66,0,0.0,2149.978697184572,False,-0.6734818596532275,0,0.30800000000000005,45626,166,10,1.0,4512.394025251082,False,-0.040879013428168576,10,1.0110000000000001,42003,375,0,0.0,9222.275659452747,False,-0.06627931354833698,0.5,182593,0.0,0.0,11,0,0,10,9,9.0,15,25,18,245.0,63.0,15,6,18,1394,1.0022487030364573,20.18414535903139
12,18,0,0,0,10.0,8,10.0,32.71369559770734,7,35.0,25.438335014203385,85,29.44705882352941,43.00000000000001,20,43.0,0,0.2,24942,0,3,0.0,98.14108679312203,False,0.019627521150410426,0,0.398,27086,5,13,1.0,475.27804277019544,False,0.11479555370808231,0,0.758,32722,2,12,1.0,370.68741136585527,False,-0.06558356175475118,76,5.532000000000002,7686.0,66,0,0.0,2159.1039094486846,False,-0.751098845593766,1,0.31800000000000006,43907,228,10,1.0,6229.940383238372,False,-0.05811008569959369,9,1.0910000000000002,41552,388,0,0.0,9870.073985510913,False,-0.06882525103147935,0.5,177895,0.0,0.0,7,0,0,10,7,6.25,12,22,15,181.0,78.0,12,6,15,916,1.0299565499881282,21.21410190901952
13,15,0,0,0,10.0,11,10.0,32.72523424800283,1,34.0,26.635038549420393,70,34.142857142857146,43.00000000000001,20,43.0,0,0.2,24976,0,2,0.0,65.45046849600566,False,0.0203478267747043,0,0.398,26976,6,23,1.0,812.6803877040651,False,0.11719054238482386,4,0.798,33140,0,3,0.3,79.90511564826119,False,-0.05784273056125933,54,5.996000000000001,7362.0,66,0,0.0,2159.8654603681866,False,-0.7602881355543035,2,0.337,41931,288,10,1.0,8100.891102233073,False,-0.07895267609886153,8,1.1620000000000001,41453,388,0,0.0,10334.394957175113,False,-0.06615793364606379,0.3833333333333333,175838,0.0,0.0,7,0,0,10,5,4.3,10,20,17,150.0,60.0,10,5,17,1016,1.1406553839915432,22.354757293011062
14,17,0,0,0,10.0,10,10.0,32.67733836575974,13,32.30769230769231,27.3617202343119,47,34.4468085106383,43.00000000000001,20,43.0,0,0.2,25010,0,1,0.0,32.67733836575974,False,0.021066449171068063,0,0.398,27262,6,21,1.0,746.2241056809545,False,0.12750355172747774,44,1.234,32733,0,2,0.2,54.7234404686238,False,-0.06975717067795917,0,5.942000000000002,6988.0,77,0,0.0,2516.1550541634997,False,-0.7658495179293594,0,0.3350000000000001,40942,321,10,1.0,9213.11219521412,False,-0.08762381872870094,10,1.254,41104,392,0,0.0,10725.794331850264,False,-0.06922866883149785,0.3666666666666667,174039,0.0,0.0,9,0,0,11,5,4.930232558139535,10,21,18,168.0,93.0,11,6,18,950,1.3651633019908331,23.719920595001895
15,18,0,0,0,10.0,6,10.0,32.476581839637205,1,12.0,28.051990033701024,60,33.28333333333333,43.0,10,43.0,0,0.2,25010,0,1,0.0,32.476581839637205,False,0.021062353770698358,0,0.398,27214,2,30,1.0,994.2974551891161,False,0.13060582323927206,4,1.2300000000000002,32865,0,1,0.1,28.051990033701024,False,-0.06638765383147777,54,6.482000000000002,6174.0,77,0,0.0,2500.696801652065,False,-0.7891828264523941,0,0.3350000000000001,39245,365,20,1.0,11098.976362300873,False,-0.10272843817177577,10,1.3440000000000003,40670,398,0,0.0,11164.692033413008,False,-0.07352631018355256,0.35000000000000003,171178,0.0,0.0,3,0,0,9,6,5.666666666666666,13,22,19,201.0,93.0,12,6,19,72,1.560261820035521,25.280182415037416
16,19,0,0,0,10.0,8,10.0,32.426027041626924,11,32.0,28.062987889808902,62,28.14516129032258,43.00000000000001,12,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.398,27452,0,30,1.0,972.7808112488077,False,0.13987720953179938,0,1.2260000000000002,32853,0,2,0.1,56.125975779617804,False,-0.06632981265042988,62,7.048000000000001,3660.0,87,0,0.0,2821.064352621542,False,-0.8560203260836877,0,0.3350000000000001,37826,398,30,1.0,12459.069180143943,False,-0.11753030486805742,12,1.4540000000000002,40148,417,0,0.0,11702.265950050312,False,-0.07859838200778893,0.35000000000000003,166983,0.0,0.0,5,0,0,7,6,6.0,14,21,18,180.0,132.0,10,9,18,432,1.7869093790068291,27.067091794044245
