index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,32.0,0,,43.0,0,,0,0.2,14758,11,0,0.0,110.0,False,-0.003699219800914716,0,0.2,14778,9,0,0.0,90.0,False,-0.003026634382566586,0,0.2,21311,0,0,0.0,0.0,False,0.0,0,0.2,21311,0,0,0.0,0.0,False,0.0,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0.0,203492,0.0,0.0,10,0,0,0,0,0.0,481,481,98,0.0,0.0,0,0,98,200,1.6960066594183445,1.6960066594183445
1,98,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,32.0,0,,43.0,0,,0,0.2,14628,24,0,0.0,240.0,False,-0.008071025020177562,0,0.2,14708,16,0,0.0,160.0,False,-0.0053806833467850415,0,0.2,21311,0,0,0.0,0.0,False,0.0,0,0.2,21311,0,0,0.0,0.0,False,0.0,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0.0,203292,0.0,0.0,11,0,0,55,0,0.0,49,104,61,1259.0,95.0,83,15,61,200,4.3274788139387965,6.023485473357141
2,61,0,0,0,10.0,20,10.0,13.288135593220339,14,1.3571428571428572,24.0,0,,32.0,0,,43.0,0,,9,0.29000000000000004,14328,35,0,0.0,350.0,False,-0.024549367769706752,5,0.25,14518,25,0,0.0,250.0,False,-0.01513317191283293,0,0.2,21301,0,5,0.5,120.0,False,0.0023462061845995028,0,0.2,21302,0,9,0.9,216.0,False,0.0046454882455070155,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0.175,202783,0.0,0.0,10,0,0,18,3,3.0,29,47,45,353.0,119.0,26,35,45,200,1.8636856935918331,7.887171166948974
3,45,0,0,0,10.0,20,10.0,10.724292101341282,14,1.0,24.26086956521739,1,36.0,30.5,5,17.0,43.0,0,,3,0.31100000000000005,14178,44,0,0.0,440.0,False,-0.03161151466236212,11,0.35500000000000004,14156,36,0,0.0,360.0,False,-0.035781544256120526,0,0.2,21287,4,15,1.0,406.810211883626,False,0.00841842738218819,0,0.2,21338,0,8,0.0,194.08695652173913,False,0.005820631517097656,5,0.25,29397,0,1,0.1,30.5,False,-0.004257227977520482,0,0.2,29538,0,0,0.0,0.0,False,0.0,0,0.2,36129,0,0,0.0,0.0,False,0.0,0,0.2,36044,0,5,0.5,215.0,False,0.0006227684131860832,0.2,202067,0.0,0.0,11,0,0,11,6,6.0,25,36,49,250.0,88.0,18,27,49,236,1.885326985269785,9.772498152218759
4,49,0,0,0,10.0,20,10.0,8.608428553876399,21,2.5238095238095237,23.320675105485236,6,16.833333333333332,28.583333333333332,9,19.0,43.0,20,43.0,13,0.43800000000000006,13776,56,0,0.0,560.0,False,-0.054613935969868174,8,0.42400000000000004,13919,44,0,0.0,440.0,False,-0.04903147699757869,0,0.2,21384,0,17,0.8,396.451476793249,False,0.012727030096974538,0,0.2,21289,7,18,1.0,480.03115177586903,False,0.010230189849745844,8,0.32500000000000007,29163,0,6,0.6,171.5,False,-0.009792470715688267,0,0.2,29538,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,35813,9,0,0.0,257.25,False,-0.005186276952032993,6,0.26,36190,0,0,0.0,0.0,False,0.0016883943646378255,0.3,201072,0.0,0.0,14,0,0,14,16,15.88888888888889,25,39,45,246.0,93.0,19,30,45,516,1.650921300984919,11.423419453203678
5,45,0,0,0,10.0,20,10.0,7.790609121812352,10,1.8,23.611085661933124,1,36.0,28.15017985611511,7,25.142857142857142,43.0,20,43.0,0,0.42500000000000004,13706,63,0,0.0,630.0,False,-0.05696798493408663,10,0.516,13577,57,0,0.0,570.0,False,-0.0676620930858219,0,0.2,21419,0,17,0.1,401.38845625286314,False,0.01448520614360804,0,0.2,21272,6,28,1.0,707.8540532650017,False,0.014777674751654086,1,0.32700000000000007,29265,0,1,0.1,28.15017985611511,False,-0.008765824025727625,0,0.2,29538,0,0,0.0,0.0,False,0.0,10,0.38100000000000006,35468,16,0,0.0,450.40287769784175,False,-0.01206229237319276,10,0.35400000000000004,36022,0,0,0.0,0.0,False,-0.0029616097871515957,0.15000000000000002,200267,0.0,0.0,13,0,0,12,16,15.5,21,33,42,213.0,99.0,14,31,42,362,1.265517883002758,12.688937336206436
6,42,0,0,0,10.0,20,10.0,7.365802574634757,5,1.0,24.211120259601884,2,36.0,27.763586956521742,7,25.0,43.0,20,43.0,5,0.4750000000000001,13516,72,0,0.0,720.0,False,-0.06672047350013452,0,0.506,13467,68,0,0.0,680.0,False,-0.07136131288673661,0,0.2,21455,0,16,0.0,387.37792415363015,False,0.015845758625912258,0,0.2,21303,1,37,1.0,903.1772521799045,False,0.020815007559004894,6,0.38600000000000007,29140,0,2,0.2,55.527173913043484,False,-0.012534241080759694,0,0.2,29538,0,0,0.0,0.0,False,0.0,11,0.4810000000000001,35099,23,0,0.0,638.5625000000001,False,-0.019671697251515404,9,0.43400000000000005,35892,0,0,0.0,0.0,False,-0.006559827285560076,0.15,199410,0.0,0.0,13,0,0,12,12,11.857142857142858,20,32,49,163.0,122.0,11,31,49,272,1.3387118447571993,14.027649180963635
7,49,0,0,0,10.0,20,10.0,6.553748646036002,17,3.1176470588235294,25.091662807546946,3,36.0,27.795461439935288,8,28.0,43.0,20,43.0,10,0.5700000000000001,13201,82,0,0.0,820.0,False,-0.08454398708635996,7,0.5760000000000001,13250,78,0,0.0,780.0,False,-0.08259348937315039,0,0.2,21443,2,25,1.0,640.3990674807457,False,0.02121906685469342,0,0.2,21370,0,41,0.6,1028.7581751094249,False,0.026905311226817743,6,0.44000000000000006,29028,0,3,0.3,83.38638431980587,False,-0.015854384448510308,0,0.2,29538,0,0,0.0,0.0,False,0.0,11,0.5800000000000001,34679,31,0,0.0,861.659304637994,False,-0.028209204452960223,9,0.5150000000000001,35756,0,0,0.0,0.0,False,-0.010324116360818179,0.23750000000000002,198265,0.0,0.0,14,0,0,12,17,16.75,20,32,48,178.0,123.0,14,35,48,308,1.3283819975331426,15.356031178496778
8,48,0,0,0,10.0,20,10.0,5.760925131052381,19,2.4210526315789473,25.66355633590524,2,36.0,27.795461439935288,0,,43.0,20,43.0,11,0.6700000000000002,12881,91,0,0.0,910.0,False,-0.10304008609093356,8,0.6490000000000001,12976,89,0,0.0,890.0,False,-0.09732311003497444,0,0.2,21487,1,33,1.0,852.6582842159254,False,0.02826376716756431,0,0.2,21352,0,51,1.0,1308.8413731311673,False,0.032632006314372075,0,0.43400000000000005,28956,0,5,0.2,138.97730719967643,False,-0.017350915647645827,0,0.2,29538,0,0,0.0,0.0,False,0.0,11,0.679,34493,31,0,0.0,861.659304637994,False,-0.03335742333529851,9,0.5960000000000001,35617,0,0,0.0,0.0,False,-0.014171441224501093,0.275,197300,0.0,0.0,14,0,0,13,16,16.0,28,41,38,235.0,98.0,17,31,38,272,1.235323323868215,16.591354502364993
9,38,0,0,0,10.000000000000002,20,10.0,5.075149895524439,15,1.0,26.494163579210706,3,36.0,27.454941359945966,7,24.857142857142858,43.00000000000001,20,43.0,0,0.659,12751,104,0,0.0,1040.0000000000002,False,-0.10741189131019639,15,0.7910000000000001,12542,96,0,0.0,960.0000000000002,False,-0.12415926822706484,0,0.2,21518,0,38,0.6,1006.7782160100069,False,0.03333438637346918,0,0.2,21414,0,59,1.0,1563.1556511734316,False,0.04150803930302263,2,0.45400000000000007,28946,0,3,0.3,82.3648240798379,False,-0.018647761797010026,0,0.2,29538,0,0,0.0,0.0,False,0.0,8,0.7480000000000002,34252,37,0,0.0,1015.8328303180008,False,-0.037894311628913026,12,0.7070000000000001,35342,0,1,0.1,43.00000000000001,False,-0.021187965346397632,0.25,196303,0.0,0.0,14,0,0,16,15,14.333333333333332,21,37,39,229.0,74.0,16,22,39,356,1.4740527560934424,18.065407258458436
