index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,37.0,0,,51.0,0,,0,0.2,51524,9,0,0.0,90.0,False,-0.0008718564730499477,0,0.2,51504,1,10,1.0,200.0,False,-0.00019374588289998839,0,0.2,77270,0,0,0.0,0.0,False,0.0,0,0.2,77270,0,0,0.0,0.0,False,0.0,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0.125,698718,0.0,0.0,7,0,0,1,0,0.0,946,947,220,0.0,0.0,0,0,220,200,7.087641205638647,7.087641205638647
1,220,0,0,0,10.0,20,10.0,18.4375,3,10.0,28.0,0,,37.0,0,,51.0,0,,3,0.23,51415,16,0,0.0,160.0,False,-0.002305576006509862,0,0.2,51374,4,20,1.0,408.75,False,-0.0006902197078312086,0,0.2,77240,0,3,0.3,84.0,False,0.00015529959880936973,0,0.2,77270,0,0,0.0,0.0,False,0.0,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0.1625,698449,0.0,0.0,8,0,0,29,1,1.0,45,74,57,1080.0,1230.0,60,160,57,200,13.289549628272653,20.3771908339113
2,57,0,0,0,10.0,20,10.0,17.88961038961039,3,10.0,28.0,0,,37.0,0,,51.0,0,,3,0.257,51284,25,0,0.0,250.0,False,-0.003971790599449762,0,0.2,51264,5,30,1.0,586.6883116883117,False,-0.0010976836547418247,0,0.2,77220,0,5,0.2,140.0,False,0.0002588326646822829,0,0.2,77260,0,1,0.1,28.0,False,5.176653293645658e-05,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0.1625,698178,0.0,0.0,7,0,0,16,2,2.0,15,31,74,213.0,199.0,16,41,74,200,2.6365852672606707,23.01377610117197
3,74,0,0,0,10.0,20,10.0,18.834848976940563,20,20.8,27.1875,3,15.0,37.0,0,,51.0,0,,8,0.334,51056,35,0,0.0,350.0,False,-0.007420467315069555,0,0.2,51500,5,28,1.0,577.3757713543357,False,0.003384505864245466,0,0.2,77140,0,13,0.8,353.4375,False,0.0006046169276562703,2,0.22000000000000003,76901,2,10,1.0,309.54469795388115,False,-0.002772455688146222,0,0.2,94227,0,3,0.3,111.0,False,0.00011137983706720978,0,0.2,94272,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0,0.2,126303,0,0,0.0,0.0,False,0.0,0.38749999999999996,697702,0.0,0.0,9,0,0,13,5,4.666666666666667,20,33,60,297.0,255.0,19,55,60,536,2.981988404877484,25.995764506049454
4,60,0,0,0,10.0,20,10.0,18.678263797809365,1,10.0,26.154661016949152,4,15.0,38.125,3,55.0,51.0,20,51.0,1,0.336,50923,47,0,0.0,470.0,False,-0.00883481226023947,0,0.2,51420,3,38,1.0,739.7740243167559,False,0.0034077384461265355,0,0.2,77140,0,13,0.0,340.010593220339,False,0.0005177338761507028,0,0.21800000000000003,76951,0,9,0.3,235.39194915254237,False,-0.0026052028655846717,0,0.2,94392,0,0,0.0,0.0,False,0.0012729124236252546,0,0.2,94212,0,4,0.4,152.5,False,0.00017237355736591988,11,0.31000000000000005,125932,0,3,0.3,153.0,False,-0.0023316944173930945,9,0.29000000000000004,126150,0,0,0.0,0.0,False,-0.0012113726514809625,0.25,697120,0.0,0.0,8,0,0,19,8,8.0,15,34,58,222.0,213.0,19,41,58,425,3.015518721193075,29.01128322724253
5,58,0,0,0,10.0,20,10.0,20.211953642493068,10,28.0,27.928601516427968,5,43.0,40.18292682926829,6,55.0,51.0,20,51.0,0,0.3350000000000001,50853,54,0,0.0,540.0,False,-0.009512922850389429,0,0.2,51570,6,38,1.0,828.0542384147366,False,0.007169123090777126,0,0.2,77140,0,13,0.0,363.07181971356357,False,0.0006669588437528927,0,0.21800000000000003,76886,0,14,1.0,391.00042122999156,False,-0.0024394951389285443,3,0.23,94210,0,5,0.5,200.91463414634146,False,0.0004079399723478301,0,0.2,94377,0,1,0.0,40.18292682926829,False,0.0013269206489162425,14,0.43900000000000006,125421,0,6,0.6,306.0,False,-0.005771834398232821,3,0.31100000000000005,126120,0,0,0.0,0.0,False,-0.001448896700790955,0.3875,696577,0.0,0.0,11,0,0,18,8,7.25,10,28,56,159.0,168.0,13,45,56,860,3.0524305421859026,32.06371376942843
6,56,0,0,0,10.0,20,10.0,21.276536734206246,10,27.1,31.154286822251986,14,41.0,42.01073985680191,6,55.5,50.99999999999999,20,51.0,1,0.34500000000000003,50740,64,0,0.0,640.0,False,-0.010733521912659355,0,0.2,51731,6,39,1.0,889.7849326340436,False,0.010886435198144268,0,0.2,77140,0,13,0.0,405.0057286892758,False,0.0009383054787710903,0,0.21800000000000003,77189,0,10,1.0,311.54286822251987,False,0.0009676644766566418,0,0.227,93801,4,12,1.0,628.7460255706309,False,-0.0016614369825046717,2,0.22000000000000003,94457,0,0,0.0,0.0,False,0.001962406653088934,6,0.48500000000000004,125313,0,6,0.6,305.99999999999994,False,-0.006626920975748795,8,0.388,125990,0,0,0.0,0.0,False,-0.0024781675811342565,0.45,696361,0.0,0.0,11,0,0,15,7,6.166666666666666,14,29,58,195.0,151.0,15,41,58,1353,2.4400843549519777,34.50379812438041
7,58,0,0,0,10.0,20,10.0,20.32858966450342,28,18.357142857142858,32.76678382149665,10,41.0,40.94760007710596,17,38.11764705882353,50.99999999999999,20,51.0,28,0.6240000000000001,50479,72,0,0.0,720.0,False,-0.0150153059247491,0,0.2,51611,8,49,1.0,1076.1008935606674,False,0.010366382120748885,0,0.2,77140,0,13,0.0,425.9681896794565,False,0.0010739497196807595,0,0.21800000000000003,77085,18,10,1.0,693.582452176028,False,0.002093842708528681,0,0.227,93932,0,15,0.9,614.2140011565893,False,-0.00034891589678487015,11,0.32800000000000007,94003,0,5,0.5,204.7380003855298,False,-0.001767555581797769,2,0.49900000000000005,125263,0,6,0.6,305.99999999999994,False,-0.007022794391265449,12,0.5,125431,1,10,1.0,550.9476000771059,False,-0.0047229772844781595,0.625,694944,0.0,0.0,13,0,0,24,11,10.5,11,35,49,329.0,166.0,21,37,49,1150,2.7086327904835343,37.212430914863944
8,49,0,0,0,10.0,20,10.0,20.32858966450342,0,,34.3422659058284,10,43.0,42.539775447605315,20,47.0,51.0,20,51.0,0,0.5960000000000001,50389,81,0,0.0,810.0,False,-0.015887162397799047,0,0.2,51501,9,59,1.0,1289.3867902057018,False,0.010301340626629359,0,0.2,77140,0,13,0.0,446.4494567757692,False,0.0012064802431458826,0,0.21800000000000003,77515,8,10,1.0,506.05137637431136,False,0.006445265797685531,5,0.277,94222,0,10,1.0,425.39775447605314,False,0.0017258451845513856,0,0.31700000000000006,94003,0,5,0.0,212.69887723802657,False,-0.0017253326690956582,3,0.5270000000000001,125169,0,10,1.0,510.0,False,-0.006959454644782784,1,0.4980000000000001,125361,1,10,1.0,552.5397754476053,False,-0.005270897067181303,0.625,695300,0.0,0.0,15,0,0,13,3,1.5,12,25,47,156.0,137.0,12,37,47,1612,2.1966405548155308,39.409071469679475
9,47,0,0,0,10.000000000000002,20,10.0,20.909441180228953,34,22.235294117647058,36.66406054691403,23,42.56521739130435,39.79852610122166,22,31.272727272727273,51.00000000000001,20,51.0,23,0.8260000000000001,50167,94,0,0.0,940.0000000000001,False,-0.018928972759328866,0,0.2,51750,6,58,1.0,1272.7475884532791,False,0.014964424269125393,0,0.2,77527,0,4,0.0,146.65624218765612,False,0.004274985390110384,4,0.258,77215,32,10,1.0,1035.7427232364666,False,0.005990311396638227,0,0.272,94003,0,16,0.9,636.7764176195466,False,0.0005238905381213337,14,0.4570000000000001,93179,4,10,1.0,544.6415031998727,False,-0.008705440092498956,0,0.524,125577,0,2,0.0,102.00000000000001,False,-0.005344291109474835,2,0.5170000000000001,125161,13,10,1.0,1027.3808393158818,False,-0.004974621191436928,0.6125,694579,0.0,0.0,17,0,0,12,8,6.311111111111111,13,25,49,150.0,153.0,10,37,49,2081,2.2559901839122176,41.66506165359169
10,49,0,0,0,10.000000000000002,20,10.0,20.293071037834828,27,18.0,37.18450735754263,10,41.0,40.20113335526098,31,41.25806451612903,51.00000000000001,20,51.0,27,1.0730000000000004,49863,104,0,0.0,1040.0000000000002,False,-0.02385011818498857,0,0.2,51650,6,68,1.0,1439.9288305727682,False,0.014646499308063391,0,0.2,77527,0,4,0.0,148.7380294301705,False,0.004288456253592493,0,0.254,77139,49,10,1.0,1366.2055544293328,False,0.007145111650247996,4,0.31200000000000006,94642,0,0,0.0,0.0,False,0.003924813306177868,1,0.45300000000000007,93189,4,10,1.0,550.7493629827803,False,-0.008566969179699272,10,0.6240000000000001,124605,14,10,1.0,1072.8158669736538,False,-0.009196868376152354,0,0.5150000000000001,125178,10,12,1.0,1014.0113335526099,False,-0.004892950549264085,0.625,693793,0.0,0.0,17,0,0,22,8,6.125,14,36,42,223.0,109.0,21,28,42,1705,2.934693076647818,44.59975473023951
11,42,0,0,0,10.000000000000002,20,10.0,20.853605850417104,43,22.348837209302324,37.423033255636284,5,41.0,41.49692953657622,20,48.05,51.0,20,51.0,25,1.2960000000000003,49693,111,0,0.0,1110.0000000000002,False,-0.02646568760413841,0,0.2,52006,9,60,1.0,1341.2163510250261,False,0.020587595914141752,0,0.2,77527,0,4,0.0,149.69213302254514,False,0.004294630082972432,0,0.254,76383,82,15,1.0,2271.3411785687467,False,0.003218203562629413,5,0.35800000000000004,94481,0,5,0.5,207.48464768288108,False,0.0033174465784266164,5,0.5020000000000001,93644,0,4,0.4,165.98771814630487,False,-0.005781209064482061,2,0.6340000000000001,124872,8,10,1.0,841.9754362926097,False,-0.00799674023462381,0,0.5150000000000001,124848,16,14,1.0,1377.9508725852195,False,-0.006064975208090044,0.6125,693454,0.0,0.0,17,0,0,14,7,5.7,13,27,32,222.0,124.0,14,28,32,2043,2.399240519851446,46.99899525009096
12,32,0,0,0,10.000000000000002,20,10.0,21.332777109947305,18,25.11111111111111,37.423033255636284,0,,41.49692953657622,0,,51.0,20,51.0,0,1.2710000000000004,49583,122,0,0.0,1220.0000000000002,False,-0.02753128996008835,0,0.2,52368,8,52,1.0,1189.30440971726,False,0.02612958121553506,0,0.2,77527,0,4,0.0,149.69213302254514,False,0.004294630082972432,0,0.254,75931,90,25,1.0,2855.5257712861644,False,0.001148736710794383,0,0.35300000000000004,94481,0,5,0.0,207.48464768288108,False,0.0033174465784266164,0,0.4970000000000001,93644,0,4,0.0,165.98771814630487,False,-0.005781209064482061,0,0.6320000000000001,125382,0,8,0.8,408.0,False,-0.005676824778508824,0,0.5150000000000001,125358,6,14,1.0,962.9815772194573,False,-0.003669819492729901,0.475,694274,0.0,0.0,15,0,0,16,0,0.0,9,25,36,149.0,102.0,13,19,36,1672,2.361316315829754,49.36031156592071
13,36,0,0,0,10.000000000000002,20,10.0,21.806120169844608,11,28.0,38.03987495151757,15,41.0,45.42799117879241,50,54.0,51.0,20,51.0,0,1.2710000000000004,49483,132,0,0.0,1320.0000000000002,False,-0.02850001937458829,0,0.2,52576,8,51,1.0,1192.112128662075,False,0.030186694779149807,0,0.2,77527,0,4,0.0,152.15949980607027,False,0.004310595960955487,0,0.254,76238,91,20,1.0,2745.1544344862104,False,0.004407625433455449,25,0.6030000000000002,94631,0,0,0.0,0.0,False,0.0038081296673455533,16,0.6570000000000001,93295,5,10,1.0,644.479286545512,False,-0.0069454382714617844,3,0.6620000000000001,123595,30,10,1.0,1872.8397353637724,False,-0.014026429556844315,0,0.5150000000000001,125277,6,15,1.0,1037.5679470727546,False,-0.004015866816018769,0.625,692622,0.0,0.0,13,0,0,17,7,5.433333333333333,12,29,31,230.0,138.0,15,21,31,1786,2.760411568917334,52.120723134838045
14,31,0,0,0,10.000000000000002,20,10.0,21.806120169844608,0,,38.764329060077806,20,41.6,45.98762964068246,8,56.0,51.0,20,51.0,0,1.2710000000000004,49363,144,0,0.0,1440.0000000000002,False,-0.02966249467198822,0,0.2,52496,6,61,1.0,1390.173330360521,False,0.030555404835514728,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,0,0.254,76902,81,14,1.0,2308.9963405985027,False,0.010178570859314763,8,0.6580000000000001,94355,0,8,0.8,367.90103712545965,False,0.0028317052630975788,0,0.641,92803,7,20,1.0,1191.1028962341938,False,-0.009265195942410286,0,0.659,123728,24,13,1.0,1766.703111376379,False,-0.01339357295006302,0,0.5150000000000001,125716,0,12,1.0,612.0,False,-0.0022248085952035978,0.725,693058,0.0,0.0,19,0,0,15,2,2.0,12,27,32,189.0,114.0,13,18,32,2052,2.680700280703604,54.80142341554165
15,32,0,0,0,10.000000000000002,20,10.0,22.22057791363539,10,28.0,38.99094237561289,5,43.0,44.0431574901173,11,20.0,51.0,20,51.0,0,1.2710000000000001,49253,155,0,0.0,1550.0000000000002,False,-0.030728097027938155,0,0.2,52686,5,61,1.0,1405.4552527317587,False,0.034384617087725784,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,0,0.254,76837,81,19,1.0,2540.6947161411113,False,0.010836642397703653,0,0.6500000000000001,94355,0,8,0.0,352.3452599209384,False,0.0027492005045025394,0,0.6410000000000001,92808,2,19,1.0,914.8018770634544,False,-0.010677603757937318,0,0.6590000000000001,124018,25,13,1.0,1764.0789372529325,False,-0.011107895547798051,0,0.5150000000000001,126226,0,2,0.0,102.0,False,-0.00020585417606866027,0.5,693878,0.0,0.0,17,0,0,20,0,0.0,9,29,33,225.0,95.0,15,17,33,1935,2.6692417338490486,57.4706651493907
16,33,0,0,0,10.000000000000002,20,10.0,22.55595367211227,7,29.0,39.49271252341066,28,41.0,42.73719329963252,16,31.9375,51.00000000000001,20,51.0,0,1.2710000000000001,49153,165,0,0.0,1650.0000000000002,False,-0.0316968264424381,0,0.2,52789,5,64,1.0,1493.5810350151853,False,0.03723390005633344,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,9,0.3440000000000001,77476,78,10,1.0,2154.291511658864,False,0.016606001757854733,2,0.6700000000000002,93873,4,10,1.0,585.3427830899678,False,-0.0011278917224098353,0,0.6410000000000001,92565,6,23,1.0,1219.9117210320119,False,-0.011637009286787034,0,0.6590000000000001,124394,26,11,1.0,1672.1670257904457,False,-0.00849478228628602,6,0.5750000000000001,125967,0,5,0.5,255.00000000000003,False,-0.0016507921427044488,0.6875,693912,0.0,0.0,15,0,0,19,5,3.342857142857143,10,29,26,177.0,102.0,14,19,26,1920,2.26449943613261,59.73516458552331
17,26,0,0,0,10.000000000000002,20,10.0,22.297057866747572,10,19.0,39.586882650388304,23,40.0,42.73719329963252,0,,51.000000000000014,20,51.0,10,1.3710000000000002,49023,174,0,0.0,1740.0000000000002,False,-0.033343666447088,0,0.2,52679,6,74,1.0,1709.9822821393204,False,0.03719903787866971,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,13,0.4650000000000001,77764,78,10,1.0,2135.0393401101937,False,0.020208614857708068,0,0.6680000000000001,93873,0,14,0.4,598.3207061948553,False,-0.0010590593909387265,0,0.6410000000000001,91645,19,33,1.0,2162.478149245251,False,-0.016396819048894368,0,0.659,124955,16,10,1.0,1193.7950927941206,False,-0.005946829874214734,4,0.6090000000000002,126172,0,0,0.0,0.0,False,-0.0010371883486536345,0.55,693806,0.0,0.0,11,0,0,15,4,3.0652173913043477,9,24,30,154.0,108.0,10,16,30,914,1.9520003758370876,61.687164961360395
18,30,0,0,0,10.000000000000002,20,10.0,21.89845380904144,17,19.0,39.586882650388304,0,,46.269831663765444,61,54.0,51.00000000000001,20,51.0,17,1.5310000000000001,48865,183,0,0.0,1830.0000000000002,False,-0.03553299492385787,0,0.2,52569,7,84,1.0,1909.4701199594808,False,0.03700033053008375,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,0,0.45200000000000007,77441,85,20,1.0,2653.106226776288,False,0.019380783142075125,0,0.6680000000000001,94575,0,1,0.0,46.269831663765444,False,0.0034595098845031096,15,0.7910000000000001,93577,9,10,1.0,818.9802604911492,False,-0.0030285755023170277,1,0.6690000000000002,124159,30,10,1.0,1898.0949499129633,False,-0.009460998749384619,9,0.6950000000000001,124034,27,10,1.0,1759.285454921667,False,-0.011000192177059701,0.625,692915,0.0,0.0,11,0,0,15,6,5.125,14,29,33,226.0,107.0,14,16,33,2657,2.0137285999953747,63.70089356135577
19,33,0,0,0,10.000000000000002,20,10.0,21.675025069519823,33,20.818181818181817,39.586882650388304,0,,48.23793352027455,40,56.85,51.00000000000001,20,51.0,22,1.7339999999999998,48542,193,0,0.0,1930.0000000000005,False,-0.04082225752702755,0,0.2,52788,7,83,1.0,1869.0270807701452,False,0.04085158174884862,0,0.2,77695,0,0,0.0,0.0,False,0.005500194124498512,0,0.45200000000000007,76754,108,30,1.0,3528.50918701979,False,0.01615445313200323,2,0.6880000000000001,94652,0,0,0.0,0.0,False,0.004030889341479973,27,1.046,94175,0,9,0.9,434.141401682471,False,0.0012736623901182561,0,0.6680000000000001,122560,57,10,1.0,3259.5622106556493,False,-0.016731343631364044,0,0.6860000000000002,124379,20,10,1.0,1474.758670405491,False,-0.00939503150991867,0.6125,691545,0.0,0.0,16,0,0,16,5,4.166666666666667,10,26,32,201.0,122.0,12,21,32,1539,2.3549289824441075,66.05582254379988
