index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,37.0,0,,0,0.2,25722,0,9,0.9,180.0,False,0.0,0,0.2,25702,11,0,0.0,110.0,False,-0.0021307918797458547,0,0.2,40412,0,0,0.0,0.0,False,0.0,0,0.2,40412,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0.15,238238,0.0,0.0,13,0,0,0,0,0.0,464,464,84,0.0,0.0,0,0,84,200,1.5293810149887577,1.5293810149887577
1,84,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,37.0,0,,0,0.2,25662,0,15,0.6,300.0,False,0.0,0,0.2,25562,25,0,0.0,250.0,False,-0.0048427088176042155,0,0.2,40412,0,0,0.0,0.0,False,0.0,0,0.2,40412,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0.09999999999999999,238038,0.0,0.0,12,0,0,16,0,0.0,27,43,44,378.0,474.0,21,63,44,200,3.4683746899827383,4.997755704971496
2,44,0,0,0,10.0,20,10.0,17.864406779661017,14,11.0,27.0,0,,37.0,0,,0,0.2,25542,2,25,1.0,466.6101694915254,False,-0.001421622317303446,14,0.34,25251,33,0,0.0,330.0,False,-0.015341701534170154,0,0.2,40258,4,10,1.0,341.45762711864404,False,0.00041395658614567333,0,0.2,40412,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0,0.2,52995,0,0,0.0,0.0,False,0.0,0.3333333333333333,237453,0.0,0.0,11,0,0,15,2,2.0,25,40,35,315.0,178.0,20,24,35,200,1.7713841740041971,6.769139878975693
3,35,0,0,0,10.0,20,10.0,15.849521203830369,20,10.5,27.0,0,,37.0,20,37.0,0,0.2,25497,2,30,1.0,495.4856361149111,False,-0.00260565558432291,15,0.4760000000000001,24871,43,0,0.0,430.0,False,-0.02812645281264528,0,0.2,40258,0,14,0.4,378.0,False,0.0008660793823616747,0,0.2,40202,10,10,1.0,428.4952120383037,False,0.00010510754278815136,8,0.28,52898,0,0,0.0,0.0,False,-0.0018303613548447967,12,0.32000000000000006,52808,0,0,0.0,0.0,False,-0.003528634776865742,0.39999999999999997,236534,0.0,0.0,11,0,0,15,14,14.0,21,36,38,243.0,133.0,16,19,38,255,1.8013710170052946,8.570510895980988
4,38,0,0,0,10.0,20,10.0,17.210969005645815,21,21.476190476190474,27.0,0,,37.0,20,37.0,0,0.2,25708,5,29,1.0,549.1181011637286,False,0.006607742545400025,10,0.5610000000000002,24646,50,0,0.0,500.0,False,-0.035487370215403685,0,0.2,40258,0,14,0.0,378.0,False,0.0008660793823616747,0,0.2,39751,21,20,1.0,901.4303491185622,False,-0.005203524335363797,14,0.41200000000000003,52654,0,0,0.0,0.0,False,-0.006434569298990471,6,0.36800000000000005,52740,0,0,0.0,0.0,False,-0.004811774695726012,0.3333333333333333,235757,0.0,0.0,11,0,0,19,13,13.0,25,44,29,304.0,114.0,20,18,29,541,2.083044406026602,10.65355530200759
5,29,0,0,0,10.0,20,10.0,16.44931960822145,10,10.5,27.0,0,,37.0,20,37.0,0,0.2,25648,1,39,1.0,651.5234647206366,False,0.0062669197412179994,10,0.6510000000000001,24346,64,0,0.0,640.0,False,-0.044397954439795446,0,0.2,40258,0,14,0.0,378.0,False,0.0008660793823616747,0,0.2,39646,21,30,1.0,1155.4357117726504,False,-0.0046590652309629966,12,0.518,52463,0,0,0.0,0.0,False,-0.0100386828946127,8,0.44200000000000006,52642,0,0,0.0,0.0,False,-0.00666100575525993,0.3333333333333333,235003,0.0,0.0,12,0,0,16,12,12.0,20,36,23,240.0,57.0,15,14,23,200,1.5896256839623675,12.243180985969957
6,23,0,0,0,10.0,20,10.0,16.44931960822145,0,,28.3,5,40.0,37.0,20,37.0,0,0.2,25538,2,49,1.0,826.0166608028511,False,0.005385414938843409,0,0.6410000000000001,24256,73,0,0.0,730.0,False,-0.04614132961413296,0,0.2,40258,0,14,0.0,396.2,False,0.001091260021775674,0,0.2,39846,11,35,1.0,1171.442515690436,False,0.0004880049946851508,12,0.6260000000000001,52274,0,0,0.0,0.0,False,-0.013605057080856684,8,0.514,52343,5,0,0.0,141.5,False,-0.010968015850551939,0.3333333333333333,234515,0.0,0.0,12,0,0,9,9,9.0,23,32,26,149.0,60.0,13,10,26,400,1.3051082320162095,13.548289217986166
7,26,0,0,0,10.0,20,10.0,16.44931960822145,0,,28.14,30,27.9,37.00000000000001,20,37.0,0,0.2,25448,1,59,1.0,980.5098568850656,False,0.004891326841877155,0,0.6410000000000001,24146,84,0,0.0,840.0,False,-0.048272121493878814,0,0.2,40708,0,3,0.0,84.42,False,0.008369048797386893,0,0.2,40233,1,26,1.0,748.0893196082214,False,0.004826404528459591,11,0.7240000000000002,52108,0,0,0.0,0.0,False,-0.016737428059250874,9,0.5960000000000001,51385,35,0,0.0,984.9,False,-0.021087838475327917,0.3333333333333333,234028,0.0,0.0,16,0,0,5,11,11.0,30,35,21,183.0,75.0,11,15,21,1037,1.184717797965277,14.733007015951443
8,21,0,0,0,10.0,20,10.0,22.066738180368567,83,27.433734939759034,28.822448979591833,6,36.5,37.00000000000001,20,37.0,0,0.2,27155,0,10,1.0,220.66738180368566,False,0.056304575038813094,24,0.881,23940,95,0,0.0,950.0,False,-0.05412211374554471,0,0.2,40708,0,3,0.0,86.4673469387755,False,0.008394379725561443,0,0.2,38175,74,30,1.0,2497.612094735029,False,-0.024452983089985298,14,0.8530000000000002,51637,0,6,0.6,222.00000000000006,False,-0.023530521747334655,6,0.6470000000000001,51317,35,0,0.0,1008.7857142857141,False,-0.022145620206758088,0.43333333333333335,232932,0.0,0.0,16,0,0,5,13,13.0,27,32,18,165.0,93.0,10,11,18,2216,1.1585946009727195,15.891601616924163
9,18,0,0,0,10.000000000000002,20,10.0,21.9272171881669,36,21.36111111111111,30.42160210111621,10,41.0,37.00000000000001,20,37.0,1,0.21000000000000002,27350,0,10,1.0,219.272171881669,False,0.0638321744127086,25,1.1070000000000002,23590,105,0,0.0,1050.0000000000002,False,-0.06574461490779482,0,0.2,40708,0,3,0.0,91.26480630334864,False,0.008453736591895423,0,0.2,37816,100,30,1.0,3105.3697818501764,False,-0.02581696300789144,6,0.8990000000000002,51590,0,5,0.5,185.00000000000003,False,-0.02476648740447212,8,0.7210000000000003,51022,40,0,0.0,1216.8640840446485,False,-0.02574899439527648,0.4166666666666667,232076,0.0,0.0,17,0,0,4,9,8.09090909090909,28,32,19,104.0,67.0,8,10,19,832,1.0464635760290548,16.938065192953218
10,19,0,0,0,10.000000000000002,20,10.0,22.82520173340009,18,31.0,32.02037750600323,21,37.23809523809524,37.00000000000001,20,37.0,8,0.28900000000000003,27636,0,8,0.8,182.6016138672007,False,0.07420195284881448,0,1.082,23470,117,0,0.0,1170.0000000000002,False,-0.06806911514024484,0,0.2,40748,0,2,0.0,64.04075501200646,False,0.009106710321340195,0,0.2,38000,108,20,1.0,3105.5293373272743,False,-0.021261885859060768,3,0.9230000000000003,51422,0,10,1.0,370.00000000000006,False,-0.026191150108500802,12,0.8330000000000002,50391,51,0,0.0,1633.0392528061648,False,-0.033729226787374625,0.4666666666666666,231667,0.0,0.0,17,0,0,5,7,6.444444444444445,24,29,21,129.0,63.0,8,11,21,1167,0.9826047529932112,17.92066994594643
11,21,0,0,0,10.000000000000002,20,10.0,23.31342467536894,29,26.06896551724138,30.42969189524702,33,26.545454545454547,37.00000000000001,20,37.0,8,0.361,27820,2,10,1.0,253.13424675368938,False,0.08269669624116087,13,1.212,23338,125,0,0.0,1250.0000000000002,False,-0.07163334883000155,0,0.2,40788,0,1,0.0,30.42969189524702,False,0.009680660347115287,12,0.32000000000000006,37648,127,10,1.0,3265.1018527243255,False,-0.027997848996284165,2,0.9400000000000002,51183,12,10,1.0,735.1563027429643,False,-0.027255813730135244,8,0.9010000000000002,50009,62,0,0.0,1886.6408975053153,False,-0.03854475990654477,0.5,230786,0.0,0.0,20,0,0,8,10,9.0,27,35,16,186.0,87.0,12,9,16,1253,1.024574737995863,18.945244683942292
12,16,0,0,0,10.000000000000002,20,10.0,21.095854172413574,37,10.702702702702704,29.001144491301297,27,23.59259259259259,37.00000000000001,20,37.0,0,0.35300000000000004,27690,5,20,1.0,471.91708344827146,False,0.08189828536045778,37,1.5690000000000002,22211,132,0,0.0,1320.0000000000002,False,-0.11393925306059197,0,0.2,40788,0,1,0.0,29.001144491301297,False,0.009662985554925469,17,0.4780000000000001,37220,154,10,1.0,3538.7729874647034,False,-0.03520274933850459,0,0.9380000000000002,51322,5,13,1.0,626.0057224565066,False,-0.025662744386673177,13,1.0230000000000001,49269,86,0,0.0,2494.0984262519114,False,-0.04677706928717893,0.5,228500,0.0,0.0,17,0,0,7,16,15.666666666666668,24,31,15,84.0,39.0,8,8,15,576,0.9966500790324062,19.941894762974698
13,15,0,0,0,10.000000000000002,20,10.0,20.589461434791474,10,11.0,32.53257162837009,55,40.0,37.00000000000001,20,37.0,0,0.35300000000000004,27685,1,25,1.0,524.7365358697868,False,0.08272773391968437,5,1.5820000000000003,22006,146,0,0.0,1460.0000000000002,False,-0.11916937858360452,0,0.2,40828,0,0,0.0,0.0,False,0.010293972087498762,44,0.901,37862,154,10,1.0,3496.102777241588,False,-0.019844318800831637,0,0.9380000000000002,49532,49,13,1.0,2075.0960097901348,False,-0.04576756288527087,10,1.1100000000000003,49088,87,0,0.0,2830.333731668198,False,-0.047020155376278884,0.5,227001,0.0,0.0,17,0,0,5,8,7.814814814814815,23,28,22,111.0,54.0,7,8,22,665,1.0728270870167762,21.014721849991474
