index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,39.0,0,,54.0,0,,0,0.2,24275,8,0,0.0,80.0,False,-0.001642373229316362,0,0.2,24235,2,10,1.0,230.0,False,-0.00020529665366454526,0,0.2,32808,0,0,0.0,0.0,False,0.0,0,0.2,32808.0,0,0,0.0,0.0,False,0.0,0,0.2,48209,0,0,0.0,0.0,False,0.0,0,0.2,48209,0,0,0.0,0.0,False,0.0,0,0.2,64612,0,0,0.0,0.0,False,0.0,0,0.2,64612,0,0,0.0,0.0,False,0.0,0.125,339768,0.0,0.0,11,0,0,133,0,0.0,418,551,120,0.0,0.0,0,0,120,200,1.7826079230289906,1.7826079230289906
1,120,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,36.30769230769231,7,19.0,54.0,0,,0,0.2,24145,21,0,0.0,210.0,False,-0.0043112297269554505,0,0.2,24165,0,19,0.9,399.0,False,0.000390063641962636,0,0.2,32808,0,0,0.0,0.0,False,0.0,0,0.2,32808.0,0,0,0.0,0.0,False,0.0,7,0.27,48013,0,0,0.0,0.0,False,-0.004065630898794831,0,0.2,48209,0,0,0.0,0.0,False,0.0,0,0.2,64612,0,0,0.0,0.0,False,0.0,0,0.2,64479,0,7,0.7,378.0,False,0.000866712065870117,0.2,339239,0.0,0.0,8,0,0,37,1,1.0,58,95,70,1260.0,319.0,75,45,70,200,6.4932993989787064,8.275907322007697
2,70,0,0,0,10.0,20,10.0,19.75,3,1.0,20.666666666666668,18,2.3333333333333335,36.30769230769231,0,,54.0,0,,3,0.23,23973,31,0,0.0,310.0,False,-0.009320468076370355,0,0.2,24065,0,29,1.0,572.75,False,-0.0001488400739067953,0,0.2,32805,0,3,0.3,62.0,False,0.000853450377956596,18,0.38000000000000006,32117.0,0,0,0.0,0.0,False,-0.021061936113143137,0,0.263,47971,18,0,0.0,372.0,False,-0.0010786367690680163,0,0.2,48209,0,0,0.0,0.0,False,0.0,0,0.2,64612,0,0,0.0,0.0,False,0.0,0,0.2,64479,0,7,0.0,378.0,False,0.000866712065870117,0.1625,338231,0.0,0.0,10,0,0,16,4,4.0,30,46,49,380.0,208.0,28,42,49,200,2.786949631990865,11.062856953998562
3,49,0,0,0,10.0,20,10.0,19.32579185520362,1,1.0,20.098807495741056,2,4.0,32.089171974522294,16,19.75,54.0,0,,1,0.23700000000000002,23869,39,0,0.0,390.0,False,-0.011948265243276534,0,0.2,23945,2,39,1.0,773.7058823529411,False,-0.0009504027437293334,0,0.2,32804,0,4,0.1,80.39522998296422,False,0.0011033167212717765,2,0.382,32057.0,0,0,0.0,0.0,False,-0.022890758351621555,16,0.42300000000000004,47377,18,0,0.0,361.778534923339,False,-0.013505999554820205,0,0.2,48201,0,2,0.2,64.17834394904459,False,0.0004996820505407612,0,0.2,64296,6,10,1.0,732.5350318471337,False,0.0007779904030763008,0,0.2,64479,0,7,0.0,378.0,False,0.000866712065870117,0.2875,337028,0.0,0.0,10,0,0,13,5,5.0,24,37,40,218.0,145.0,19,30,40,200,2.090365762996953,13.153222716995515
4,40,0,0,0,10.0,20,10.0,20.45332945623728,29,22.0,19.73992609537216,4,15.0,28.27354472314245,28,20.571428571428573,54.0,8,54.0,12,0.3560000000000001,23502,48,0,0.0,480.0,False,-0.02516936973927325,0,0.2,24396,3,32,1.0,684.506542599593,False,0.015736122820767657,0,0.2,32293,12,10,1.0,442.83921442856894,False,-0.008948439185129114,0,0.38000000000000006,31990.0,7,0,0.0,143.17330619366098,False,-0.02275095546522706,28,0.687,46082,18,0,0.0,355.3186697166989,False,-0.040435202247332484,0,0.2,48141,0,6,0.4,169.6412683388547,False,0.0003489106633496652,0,0.2,64152,24,12,1.0,1326.565073355419,False,0.0031462040592724356,0,0.2,64479,0,7,0.0,378.0,False,0.000866712065870117,0.425,335035,0.0,0.0,16,0,0,16,7,7.0,20,36,34,167.0,105.0,14,26,34,1253,1.6989738349802792,14.852196551975794
5,34,0,0,0,10.0,20,10.0,23.09565420925334,15,34.0,17.32970944345987,16,9.625,26.816235538301882,28,22.857142857142858,54.0,7,54.0,0,0.3440000000000001,23392,59,0,0.0,590.0,False,-0.027427632929583248,0,0.2,24816,2,27,1.0,643.5826636498401,False,0.03214088818825372,0,0.2,32293,2,20,1.0,392.78549728770406,False,-0.009711267110343468,16,0.54,30954.0,22,0,0.0,508.1043926035735,False,-0.04876700206346667,26,0.9190000000000003,44850,29,0,0.0,502.5615738603362,False,-0.06446346559915848,0,0.2,48172,0,9,0.5,241.34611984471695,False,0.0017356315194747712,0,0.2,63890,42,15,1.0,1936.281892608679,False,0.003809523715476046,0,0.2,64479,0,7,0.0,378.0,False,0.000866712065870117,0.4375,332846,0.0,0.0,15,0,0,11,9,9.0,15,26,28,104.0,88.0,9,25,28,1204,2.0242510159732774,16.87644756794907
6,28,0,0,0,10.0,20,10.0,18.65945207318999,41,11.170731707317072,17.647847714348433,12,19.25,27.067438099287514,7,30.428571428571427,54.0,8,54.0,41,0.754,22180,70,0,0.0,700.0,False,-0.07493327858755902,0,0.2,24726,1,37,1.0,700.3997267080296,False,0.02961198371398125,0,0.2,32071,21,25,1.0,833.0446863957006,False,-0.009768277761587051,7,0.5940000000000001,30695.0,34,0,0.0,634.4213704884596,False,-0.05473632390745457,5,0.9430000000000001,44706,33,0,0.0,582.3789745734983,False,-0.06662263296714828,0,0.2,48063,0,15,0.8,406.0115714893127,False,0.0011824718568038972,0,0.2,64109,39,17,1.0,1973.6300858722132,False,0.00748800598861055,0,0.2,64479,0,7,0.0,378.0,False,0.000866712065870117,0.475,331029,0.0,0.0,16,0,0,15,8,8.0,14,29,31,110.0,124.0,10,18,31,965,1.8865620750002563,18.763009642949328
7,31,0,0,0,10.0,20,10.0,21.762457796285826,37,30.08108108108108,18.348576913522795,21,20.523809523809526,27.5555668584029,14,30.714285714285715,54.0,12,54.0,13,0.8430000000000002,21941,79,0,0.0,790.0,False,-0.08289878874974338,0,0.2,25540,2,23,1.0,520.536529314574,False,0.05934174767634107,0,0.2,32323,23,25,1.0,959.2509521526439,False,-0.0001638174812143809,11,0.6970000000000001,29387.0,59,0,0.0,1283.9850099808637,False,-0.08470517846286178,10,1.0380000000000003,44174,49,0,0.0,899.0802687626169,False,-0.07437324702065369,0,0.2,48080,0,16,0.5,440.8890697344464,False,0.001896835339194412,0,0.2,64443,41,15,1.0,1939.778241194519,False,0.012395361861531316,0,0.2,64363,0,9,0.2,486.0,False,-9.286200705751254e-05,0.4625,330251,0.0,0.0,22,0,0,19,5,5.0,16,35,34,151.0,112.0,14,17,34,2424,1.8517170869745314,20.61472672992386
8,34,0,0,0,10.0,20,10.0,26.5439939317309,55,37.2,19.634884085581362,35,22.485714285714284,27.78619625295681,8,30.5,53.999999999999986,9,54.0,2,0.8500000000000001,21825,89,0,0.0,890.0,False,-0.08560870457811538,30,0.5,26398,2,10,1.0,285.439939317309,False,0.08974419912373861,0,0.2,32381,24,25,1.0,1127.9279565010756,False,0.004174712821584372,25,0.9360000000000002,27000.0,103,0,0.0,2734.0313749682828,False,-0.13536284785771333,6,1.0880000000000003,44013,54,0,0.0,1060.2837406213935,False,-0.07604094940134212,0,0.2,47416,20,24,1.0,1059.5663917825907,False,-0.0054599100605427645,0,0.2,64685,39,16,1.0,1947.6616538653154,False,0.016201801939773598,0,0.2,64363,0,9,0.0,485.9999999999999,False,-9.286200705751254e-05,0.5,328081,0.0,0.0,19,0,0,18,8,7.294117647058823,18,36,34,255.0,129.0,16,18,34,1566,1.7627792669809423,22.3775059969048
9,34,0,0,0,10.000000000000002,20,10.0,26.5439939317309,0,,20.674054443291322,7,35.714285714285715,27.354596267229812,16,24.875,53.99999999999999,11,54.0,0,0.8480000000000001,21715,100,0,0.0,1000.0000000000002,False,-0.08786696776842537,0,0.4700000000000001,26308,1,20,1.0,540.879878634618,False,0.09129295583318858,0,0.2,32628,14,29,1.0,971.1634938996809,False,0.00931424490824931,1,0.921,26969.0,103,0,0.0,2734.0313749682828,False,-0.13630773934759383,14,1.2220000000000002,43478,55,0,0.0,1137.0729943810227,False,-0.0863420420006531,0,0.2,47326,16,32,1.0,1206.131951644015,False,-0.0058066756036838285,0,0.2,64881,45,15,1.0,2040.9568320253416,False,0.019957258961379818,0,0.2,64363,0,9,0.0,485.99999999999994,False,-9.286200705751254e-05,0.5,327668,0.0,0.0,19,0,0,18,4,4.0,18,36,28,229.0,129.0,16,18,28,1159,2.0579701340175234,24.435476130922325
