index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,32.0,0,,38.0,0,,48.0,0,,0,0.2,35741,7,0,0.0,70.0,False,-0.0009773533271899696,0,0.2,35681,13,0,0.0,130.0,False,-0.0018150847504956578,0,0.2,58080,0,0,0.0,0.0,False,0.0,0,0.2,58080,0,0,0.0,0.0,False,0.0,0,0.2,81245,0,0,0.0,0.0,False,0.0,0,0.2,81245,0,0,0.0,0.0,False,0.0,0,0.2,94785,0,0,0.0,0.0,False,0.0,0,0.2,94785,0,0,0.0,0.0,False,0.0,0.0,539642,0.0,0.0,10,0,0,0,0,0.0,910,910,100,0.0,0.0,0,0,100,200,2.7942456420278177,2.7942456420278177
1,100,0,0,0,10.0,20,10.0,15.639344262295081,16,9.0,32.0,0,,38.0,0,,48.0,0,,8,0.28,35527,18,0,0.0,180.0,False,-0.005417329870710117,8,0.28,35487,22,0,0.0,220.0,False,-0.005975817486247243,0,0.2,57936,6,10,1.0,413.8360655737705,False,0.0010832994625840507,0,0.2,58080,0,0,0.0,0.0,False,0.0,0,0.2,81245,0,0,0.0,0.0,False,0.0,0,0.2,81245,0,0,0.0,0.0,False,0.0,0,0.2,94785,0,0,0.0,0.0,False,0.0,0,0.2,94785,0,0,0.0,0.0,False,0.0,0.125,539090,0.0,0.0,9,0,0,34,2,2.0,90,124,45,1782.0,18.0,99,1,45,200,11.22686930600321,14.021114948031027
2,45,0,0,0,10.0,20,10.0,14.794912559618442,8,9.0,28.413793103448278,13,16.0,36.2,5,20.0,48.0,0,,0,0.272,35457,25,0,0.0,250.0,False,-0.006394683197900087,8,0.35200000000000004,35253,35,0,0.0,350.0,False,-0.010695037837535953,0,0.2,57864,4,20,1.0,627.4555123074393,False,0.0016826404296439287,13,0.33000000000000007,57706,0,0,0.0,0.0,False,-0.006439393939393939,1,0.21000000000000002,81220,0,0,0.0,0.0,False,-0.0003077112437688473,4,0.24000000000000002,80931,13,0,0.0,369.3793103448276,False,-0.001591609881562923,0,0.2,94725,0,3,0.3,144.0,False,0.00012660231049216647,0,0.2,94745,0,2,0.2,96.0,False,8.440154032811098e-05,0.1875,537901,0.0,0.0,10,0,0,15,8,8.0,50,65,44,756.0,9.0,42,3,44,200,5.568729173974134,19.58984412200516
3,44,0,0,0,10.0,20,10.0,12.293344041762875,43,9.0,27.151202749140893,6,16.166666666666668,33.017857142857146,11,20.0,48.0,0,,28,0.552,34746,34,0,0.0,340.0,False,-0.024992320795286363,15,0.49400000000000005,34899,46,0,0.0,460.0,False,-0.019044427689815978,0,0.2,57738,8,30,1.0,912.8828348083298,False,0.0019704100792728428,6,0.3770000000000001,57304,29,0,0.0,356.5069772111234,False,-0.01029177877745251,7,0.279,80924,6,0,0.0,162.90721649484536,False,-0.002948444725861008,4,0.276,80831,13,0,0.0,352.9656357388316,False,-0.0029234683011949637,0,0.2,94665,0,6,0.3,288.0,False,0.00025320462098433295,0,0.2,94585,0,10,0.8,480.0,False,0.0004220077016405549,0.2625,535692,0.0,0.0,11,0,0,19,11,11.0,45,64,15,720.0,12.0,40,4,15,200,3.307717139017768,22.89756126102293
4,15,0,0,0,10.0,20,10.0,11.896747677256895,14,9.357142857142858,25.67373302418019,8,16.0,28.97869318181818,20,18.8,48.0,20,48.0,9,0.6140000000000001,34529,44,0,0.0,440.0,False,-0.029655692385021363,5,0.5290000000000001,34739,56,0,0.0,560.0,False,-0.022116109575270167,0,0.2,57738,0,38,0.8,975.6018549188473,False,0.0025103465471663635,8,0.45100000000000007,56969,43,0,0.0,511.5601501220465,False,-0.014724860966580133,4,0.31200000000000006,80696,14,0,0.0,359.43226233852266,False,-0.004545311943267134,16,0.43200000000000005,80315,13,0,0.0,333.75852931434247,False,-0.009392833224725616,1,0.21000000000000002,94784,0,8,0.8,384.0,False,0.00201508677533365,3,0.23,94816,2,10,1.0,537.9573863636364,False,0.003164832971269963,0.325,534586,0.0,0.0,20,0,0,16,10,9.5,19,35,18,198.0,27.0,11,4,18,920,1.4116164929582737,24.309177753981203
5,18,0,0,0,10.0,20,10.0,11.451108393797517,19,9.263157894736842,23.59849050344198,18,17.333333333333332,24.598482077542062,46,18.565217391304348,48.0,20,48.0,14,0.7450000000000001,34231,52,0,0.0,520.0,False,-0.03686018262545028,5,0.5740000000000001,34559,68,0,0.0,680.0,False,-0.02546703526849292,0,0.2,57738,0,38,0.0,896.7426391307952,False,0.001831462113729307,18,0.6230000000000001,56307,62,0,0.0,709.968720415446,False,-0.024414869831134237,31,0.6180000000000001,79012,26,0,0.0,613.5607530894915,False,-0.023708777444215078,15,0.5660000000000001,79738,19,0,0.0,448.3713195653976,False,-0.015789455846111158,1,0.21900000000000003,94861,6,10,1.0,627.5908924652524,False,0.004112417009364674,1,0.23700000000000002,94731,22,10,1.0,1021.1666057059253,False,0.004817041756110773,0.25,531177,0.0,0.0,20,0,0,17,13,12.5,17,34,13,237.0,12.0,14,4,13,1016,1.5429370830534026,25.852114837034605
6,13,0,0,0,10.0,20,10.0,11.252760630431547,16,10.0,21.417269868631024,24,15.5,24.09875570528146,12,20.0,48.00000000000001,20,48.0,8,0.8110000000000002,34045,61,0,0.0,610.0,False,-0.04079752031498701,8,0.6490000000000001,34353,79,0,0.0,790.0,False,-0.02968361676579822,0,0.2,57738,0,38,0.0,813.8562550079789,False,0.001117908531404791,24,0.8450000000000002,55375,78,0,0.0,877.7153291736607,False,-0.039017602193752915,4,0.627,78604,46,0,0.0,985.1944139570271,False,-0.0264435078222842,8,0.6310000000000001,79442,23,0,0.0,492.59720697851355,False,-0.01916058091588094,0,0.21800000000000003,95293,0,7,0.6,336.00000000000006,False,0.007131930157725379,1,0.24600000000000002,94962,24,10,1.0,1058.370136926755,False,0.007450388441877753,0.2,529812,0.0,0.0,22,0,0,17,9,8.5,15,32,12,111.0,33.0,7,6,12,1064,1.291601226956118,27.143716063990723
7,12,0,0,0,10.0,20,10.0,10.955734391068303,16,9.0,20.216182277676516,20,15.4,22.940145695404873,31,19.225806451612904,48.00000000000001,20,48.0,8,0.883,33811,74,0,0.0,740.0,False,-0.04551674066627572,8,0.7210000000000001,34179,86,0,0.0,860.0,False,-0.03356510569378124,0,0.2,57738,0,38,0.0,768.2149265517077,False,0.000724990758881778,20,1.0210000000000001,54599,94,0,0.0,1029.8390327604204,False,-0.05106887885020305,7,0.6930000000000002,78161,62,0,0.0,1253.403301215944,False,-0.030245533256102318,24,0.8630000000000002,78380,27,0,0.0,545.836921497266,False,-0.03190450537573219,3,0.24800000000000003,95336,3,10,1.0,548.8204370862147,False,0.008708236730950163,0,0.24500000000000002,95106,32,10,1.0,1214.084662252956,False,0.009791025279595663,0.25,527310,0.0,0.0,20,0,0,17,13,12.2,13,30,8,147.0,9.0,9,3,8,824,1.0890837869956158,28.23279985098634
8,8,0,0,0,10.0,20,10.0,10.668383046797281,29,9.586206896551724,23.18331088001013,46,29.0,22.940145695404873,0,,48.00000000000001,20,48.0,6,0.935,33613,86,0,0.0,860.0,False,-0.04937030521348189,23,0.9430000000000001,33667,94,0,0.0,940.0,False,-0.046745413420457405,0,0.2,58670,0,18,0.0,417.29959584018235,False,0.013750857402205476,26,1.2610000000000001,53479,123,0,0.0,1312.2111147560656,False,-0.0679217362710394,0,0.6860000000000002,78097,66,0,0.0,1530.0985180806686,False,-0.029330429453623852,0,0.8390000000000002,77110,69,0,0.0,1599.648450720699,False,-0.04105084343208378,0,0.24500000000000002,95624,0,7,0.3,336.00000000000006,False,0.01062404388880097,4,0.28500000000000003,95538,22,10,1.0,984.6832052989073,False,0.013138593687286516,0.1625,525798,0.0,0.0,22,0,0,11,10,9.666666666666668,14,25,11,54.0,30.0,3,5,11,1852,0.9874549140222371,29.220254765008576
9,11,0,0,0,10.000000000000002,20,10.0,10.51008254939596,19,9.473684210526315,20.526079984411968,64,15.4375,22.797123300598717,6,20.0,48.00000000000001,20,48.0,0,0.9290000000000003,33483,99,0,0.0,990.0000000000002,False,-0.05118538996397755,19,1.11,33279,101,0,0.0,1010.0000000000002,False,-0.05660271983468767,0,0.2,58670,0,18,0.0,369.46943971941545,False,0.013339096416317241,64,1.8750000000000002,49259,142,0,0.0,1492.4317220142264,False,-0.13902865253086927,6,0.7460000000000002,77007,126,0,0.0,2586.286078035908,False,-0.03624662392740526,0,0.8390000000000002,77046,73,0,0.0,1498.4038388620736,False,-0.04246166632493025,2,0.265,95862,0,4,0.4,192.00000000000003,False,0.012375375850609273,1,0.29100000000000004,95969,14,10,1.0,799.1597262083822,False,0.01670707245982168,0.175,520575,0.0,0.0,22,0,0,13,12,11.0,16,29,11,126.0,27.0,7,4,11,872,1.0839273000019602,30.304182065010536
