index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,15,10.0,24.0,0,,38.0,0,,48.0,0,,58.0,0,,0,0.2,55829,0,5,0.5,120.0,False,0.0001789581059074071,0,0.2,55779,0,10,1.0,240.0,False,0.0003579162118148142,0,0.2,92789,0,0,0.0,0.0,False,0.0,0,0.2,92789.0,0,0,0.0,0.0,False,0.0,0,0.2,124552,0,0,0.0,0.0,False,0.0,0,0.2,124552,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0.1875,860094,0.0,0.0,5,0,0,132,0,0.0,409,541,278,0.0,0.0,0,0,278,150,10.372808824293315,10.372808824293315
1,278,0,0,0,10.0,20,10.0,24.0,0,,38.0,0,,48.0,0,,58.0,0,,0,0.2,55759,0,12,0.7,288.0,False,0.000429499454177777,0,0.2,55649,3,20,1.0,510.0,False,0.00044739526476851767,0,0.2,92789,0,0,0.0,0.0,False,0.0,0,0.2,92789.0,0,0,0.0,0.0,False,0.0,0,0.2,124552,0,0,0.0,0.0,False,0.0,0,0.2,124552,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0.2125,859894,0.0,0.0,6,0,0,47,0,0.0,36,83,63,1185.0,1042.0,72,206,63,200,21.204991188831627,31.577800013124943
2,63,0,0,0,9.999999999999998,15,10.0,24.0,0,,36.875,3,20.0,48.0,0,,58.0,0,,0,0.2,55709,0,17,0.5,408.0,False,0.000608457560085184,0,0.2,55549,3,30,1.0,750.0,False,0.0008053114765833319,2,0.22000000000000003,92737,0,0,0.0,0.0,False,-0.0005604112556445268,1,0.21000000000000002,92764.0,0,0,0.0,0.0,False,-0.0002694284882906379,0,0.2,124532,0,1,0.1,48.0,False,3.211510052026463e-05,0,0.2,124512,0,2,0.2,96.0,False,6.423020104052926e-05,0,0.2,156902,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0.225,859607,0.0,0.0,4,0,0,20,3,3.0,33,53,76,538.0,150.0,42,21,76,150,5.960022676736116,37.53782268986106
3,76,0,0,0,9.999999999999996,17,10.0,25.1,5,35.0,35.44491525423729,4,20.0,48.0,0,,58.0,0,,0,0.2,55814,0,19,0.7,476.90000000000003,False,0.0031040283469639237,0,0.2,55449,3,40,1.0,1034.0,False,0.0015569355213944415,2,0.23800000000000002,92685,0,0,0.0,0.0,False,-0.0011208225112890537,2,0.229,92537.0,5,0,0.0,125.5,False,-0.002039573656360129,0,0.2,124492,0,3,0.2,144.0,False,9.634530156079389e-05,0,0.2,124472,0,4,0.2,192.0,False,0.00012846040208105853,0,0.2,156902,0,0,0.0,0.0,False,0.0,0,0.2,156902,0,0,0.0,0.0,False,0.0,0.2625,859253,0.0,0.0,6,0,0,28,4,4.0,22,50,32,607.0,294.0,38,38,32,345,5.587751901708543,43.1255745915696
4,32,0,0,0,9.999999999999996,16,10.0,23.89,5,13.0,34.75044964028777,2,20.0,48.0,0,,58.0,20,58.0,0,0.2,55734,0,27,0.8,645.03,False,0.0031767748170153263,0,0.2,55434,1,45,1.0,1085.05,False,0.0017452889278620136,2,0.256,92570,0,5,0.5,173.75224820143885,False,-0.0014239174460257578,0,0.227,92537.0,5,0,0.0,119.45,False,-0.0020721745034432333,0,0.2,124492,0,3,0.0,144.0,False,9.634530156079389e-05,0,0.2,124432,0,6,0.2,288.0,False,0.00019269060312158777,10,0.30000000000000004,156704,0,0,0.0,0.0,False,-0.0012619342009662082,10,0.30000000000000004,156700,0,0,0.0,0.0,False,-0.0012874278211877479,0.3125,858603,0.0,0.0,5,0,0,11,7,7.0,14,25,30,191.0,107.0,13,19,30,225,4.048837697133422,47.174412288703024
5,30,0,0,0,9.999999999999996,12,10.0,25.000999999999998,5,35.0,29.49468085106383,19,18.42105263157895,40.857142857142854,18,23.0,58.0,20,58.0,0,0.2,55909,0,22,0.0,550.0219999999999,False,0.005458419084092389,0,0.2,55314,3,55,1.0,1405.0549999999998,False,0.0024611660910180302,0,0.254,92435,0,8,0.5,235.95744680851064,False,-0.0025436342303046737,17,0.397,92022.0,5,0,0.0,125.005,False,-0.007592467857181322,15,0.35000000000000003,123836,0,4,0.4,163.42857142857142,False,-0.005092537368213358,0,0.2,124162,5,16,1.0,801.1876899696048,False,8.505559914576708e-05,6,0.35000000000000003,156611,0,0,0.0,0.0,False,-0.001854660871117003,14,0.43000000000000005,155933,18,0,0.0,735.4285714285713,False,-0.0038322374111592595,0.3625,856222,0.0,0.0,5,0,0,11,10,9.666666666666666,12,23,31,191.0,107.0,13,17,31,335,4.088547163642943,51.26295945234597
6,31,0,0,0,9.999999999999996,12,10.0,30.567474226804123,52,35.38461538461539,29.15022637895256,2,20.0,44.871961102106965,5,90.4,57.99999999999999,20,58.0,0,0.2,55909,0,22,0.0,672.4844329896907,False,0.006554201336724778,0,0.2,57034,5,13,1.0,447.3771649484536,False,0.024672749735575577,0,0.254,91525,16,18,1.0,1013.783662450012,False,-0.008159460375421628,2,0.4,91042.0,31,0,0.0,947.5917010309278,False,-0.013721498771239399,1,0.34500000000000003,124191,0,2,0.2,89.74392220421393,False,-0.002538120936619983,0,0.2,124162,0,21,0.5,942.3111831442462,False,0.0006515799952800883,13,0.47400000000000003,155834,5,0,0.0,224.35980551053484,False,-0.006091828639817995,7,0.4860000000000001,155828,18,0,0.0,807.6952998379254,False,-0.004271152375884588,0.3375,855525,0.0,0.0,8,0,0,11,8,7.333333333333333,18,29,27,283.0,54.0,18,13,27,2148,4.372821734286845,55.63578118663281
7,27,0,0,0,9.999999999999996,8,10.0,31.254022265246856,16,35.0,33.74353138871229,62,37.41935483870968,48.633300712987555,16,61.6875,58.0,20,58.0,0,0.2,55909,0,22,0.0,687.5884898354309,False,0.006689351006956343,3,0.23,57427,3,10,1.0,342.5402226524686,False,0.030767732266616034,0,0.254,91005,22,26,1.0,1564.9203059419506,False,-0.010793734677914665,60,0.9980000000000002,88912.0,31,0,0.0,968.8746902226526,False,-0.0365621211015172,3,0.374,123310,22,10,1.0,1228.690697681546,False,-0.005039298053497587,0,0.2,123539,20,20,1.0,1647.536642033997,False,-0.001519298598039433,10,0.5610000000000002,154647,21,0,0.0,1021.2993149727387,False,-0.011117451291338823,10,0.5790000000000002,155626,18,0,0.0,875.399412833776,False,-0.0053428273290531845,0.5,850375,0.0,0.0,4,0,0,10,10,8.7875,14,24,29,163.0,81.0,13,14,29,637,9.715713665820658,65.35149485245347
8,29,0,0,0,9.999999999999996,8,10.0,32.90054825707248,41,36.63414634146342,34.39141943751723,33,36.36363636363637,50.38940859362612,5,73.0,58.0,20,58.0,0,0.2,56301,0,11,0.0,361.9060308277973,False,0.010790332958963103,20,0.42700000000000005,57787,1,10,1.0,339.0054825707248,False,0.03717859555978739,0,0.254,90370,31,33,1.0,2154.8338374073155,False,-0.014458428060398749,30,1.2380000000000002,87895.0,53,0,0.0,1743.7290576248415,False,-0.04334711518808884,0,0.37100000000000005,123310,12,20,1.0,1420.4852051227292,False,-0.004269360567783997,0,0.2,122704,43,25,1.0,2738.566250653894,False,-0.0038435101377180645,10,0.6510000000000001,154456,21,0,0.0,1058.1775804661486,False,-0.012217251595052502,10,0.669,155065,23,0,0.0,1158.9563976534007,False,-0.008014695804854678,0.5,847888,0.0,0.0,6,0,0,15,9,8.333333333333332,14,29,32,228.0,85.0,17,12,32,897,4.301896918565035,69.6533917710185
9,32,0,0,0,9.999999999999996,10,10.0,33.940805734869066,41,37.0,35.09082887189155,66,36.36363636363637,51.92995658320251,17,57.588235294117645,58.0,20,58.0,0,0.2,56301,0,11,0.0,373.3488630835597,False,0.010892722338298499,31,0.7170000000000001,57954,1,10,1.0,349.40805734869065,False,0.04026027718238235,0,0.254,90534,49,10,1.0,2014.0077697274996,False,-0.013449828267749963,33,1.5380000000000003,86958.0,66,0,0.0,2240.0931785013586,False,-0.050770602234632596,0,0.37100000000000005,122263,32,29,1.0,2628.8752648134023,False,-0.007824542099631496,0,0.2,122330,69,19,1.0,3407.9363672413647,False,-0.004159160963929223,12,0.7610000000000001,153228,38,0,0.0,1973.3383501616954,False,-0.01712744786503143,8,0.7390000000000001,154935,23,0,0.0,1194.3890014136578,False,-0.008730325294089125,0.5,844503,0.0,0.0,8,0,0,15,10,9.333333333333332,15,30,32,265.0,94.0,18,14,32,2279,3.7537791449576616,73.40717091597617
