index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,31.0,0,,0,0.2,34866,0,9,0.9,153.0,False,-0.0003861997940267765,0,0.2,34846.0,11,0,0.0,110.0,False,-0.0015734065682572378,0,0.2,43462,0,0,0.0,0.0,False,0.0,0,0.2,43462,0,0,0.0,0.0,False,0.0,0,0.2,61056,0,0,0.0,0.0,False,0.0,0,0.2,61056,0,0,0.0,0.0,False,0.0,0.15,278748,0.0,0.0,8,0,0,1,0,0.0,603,604,82,0.0,0.0,0,0,82,200,1.872524278005585,1.872524278005585
1,82,0,0,0,10.0,20,10.0,14.272727272727273,10,2.0,22.0,0,,31.0,0,,0,0.2,34756,1,19,1.0,281.1818181818182,False,-0.0016995391609191059,10,0.30000000000000004,34566.0,20,0,0.0,200.0,False,-0.008296143723538162,0,0.2,43442,0,10,1.0,220.0,False,0.0020707744696516497,0,0.2,43462,0,0,0.0,0.0,False,0.0,0,0.2,61056,0,0,0.0,0.0,False,0.0,0,0.2,61056,0,0,0.0,0.0,False,0.0,0.3333333333333333,278338,0.0,0.0,8,0,0,30,1,1.0,21,51,39,597.0,201.0,35,47,39,200,2.853381243010517,4.725905521016102
2,39,0,0,0,10.0,20,10.0,12.716814159292035,7,1.7142857142857142,22.0,0,,31.0,0,,0,0.2,34646,2,29,1.0,388.78761061946904,False,-0.0033071917464888084,7,0.36000000000000004,34336.0,29,0,0.0,290.0,False,-0.013588511271312506,0,0.2,43432,0,15,0.5,330.0,False,0.0031061617044774747,0,0.2,43460,0,2,0.2,44.0,False,0.00046017210436703326,0,0.2,61056,0,0,0.0,0.0,False,0.0,0,0.2,61056,0,0,0.0,0.0,False,0.0,0.2833333333333333,277986,0.0,0.0,8,0,0,9,2,2.0,16,25,39,107.0,81.0,10,29,39,200,1.5896561950212345,6.315561716037337
3,39,0,0,0,10.0,20,10.0,14.340314136125656,16,19.5,22.0,0,,31.0,20,31.0,0,0.2,34875,0,26,1.0,372.848167539267,False,0.003015908106466252,3,0.38300000000000006,34156.0,41,0,0.0,410.0,False,-0.017021398329328297,0,0.2,43432,0,15,0.0,330.0,False,0.0031061617044774747,0,0.2,43148,6,12,1.0,350.04188481675396,False,-0.003197714269744133,11,0.31000000000000005,60925,0,0,0.0,0.0,False,-0.002145571278825996,9,0.29000000000000004,60961,0,0,0.0,0.0,False,-0.0015559486373165619,0.3333333333333333,277497,0.0,0.0,10,0,0,14,9,9.0,14,28,41,81.0,96.0,12,27,41,509,1.5439720310387202,7.859533747076057
4,41,0,0,0,10.0,20,10.0,14.108074893370926,9,12.555555555555555,20.49056603773585,8,12.0,31.0,20,31.0,0,0.2,34794,0,34,0.9,479.6745463746115,False,0.0022267213979660816,8,0.4600000000000001,33970.0,52,0,0.0,520.0,False,-0.020768966700995536,0,0.2,43432,0,15,0.0,307.35849056603774,False,0.002845686928420679,0,0.2,43131,5,14,1.0,357.40829899515654,False,-0.003504115100603324,10,0.399,60821,0,0,0.0,0.0,False,-0.003848925576519916,10,0.38100000000000006,60751,0,8,0.8,248.0,False,-0.0029644916142557653,0.45,276899,0.0,0.0,11,0,0,13,10,10.0,13,26,34,93.0,135.0,11,30,34,305,1.5994766139774583,9.459010361053515
5,34,0,0,0,10.0,20,10.0,14.48417253551052,26,15.384615384615385,20.49056603773585,0,,31.0,20,31.0,0,0.2,34967,2,31,1.0,469.0093486008261,False,0.007023248492402254,13,0.5820000000000001,33706.0,60,0,0.0,600.0,False,-0.027177022542625013,0,0.2,43432,0,15,0.0,307.35849056603774,False,0.002845686928420679,0,0.2,42731,21,24,1.0,795.9412081513813,False,-0.007662541896928496,6,0.44900000000000007,60767,0,0,0.0,0.0,False,-0.004733359538784067,6,0.43100000000000005,60943,0,0,0.0,0.0,False,-0.0018507599580712788,0.3333333333333333,276546,0.0,0.0,12,0,0,17,10,9.5,10,27,34,93.0,114.0,11,23,34,710,1.6217678200337104,11.080778181087226
6,34,0,0,0,10.0,20,10.0,13.563184133115097,34,11.411764705882353,20.49056603773585,0,,31.0,20,31.0,0,0.2,35222,0,27,0.9,366.2059715941076,False,0.012847665230491391,21,0.7790000000000001,33198.0,73,0,0.0,730.0,False,-0.03985009726513331,0,0.2,43432,0,15,0.0,307.35849056603774,False,0.002845686928420679,0,0.2,42343,45,34,1.0,1307.0225312731982,False,-0.01071024652255772,8,0.523,60694,0,0,0.0,0.0,False,-0.0059289832285115305,12,0.5450000000000002,60782,0,0,0.0,0.0,False,-0.004487683438155136,0.31666666666666665,275671,0.0,0.0,7,0,0,18,8,8.0,10,28,25,155.0,93.0,13,21,25,525,1.446129258023575,12.5269074391108
7,25,0,0,0,10.0,20,10.0,14.245759017210323,42,15.904761904761905,23.514683153013912,17,32.0,31.0,20,31.0,0,0.2,35622,0,17,1.0,242.1779032925755,False,0.022516562296781235,22,0.9780000000000002,32734.0,83,0,0.0,830.0,False,-0.05169355761528779,0,0.2,43182,0,25,1.0,587.8670788253478,False,0.0003205913076405964,0,0.2,42469,67,27,1.0,1589.3622992844673,False,-0.0045630401352392755,13,0.645,60518,0,0,0.0,0.0,False,-0.008811582809224318,7,0.6030000000000002,60172,7,10,1.0,474.6027820710974,False,-0.010591892835502634,0.6666666666666666,274697,0.0,0.0,11,0,0,11,10,10.0,10,21,22,69.0,78.0,6,19,22,1244,1.2619165239739232,13.788823963084724
8,22,0,0,0,10.0,20,10.0,15.156664759565798,12,25.0,24.26474774632295,5,33.0,31.0,20,31.0,0,0.2,35782,4,15,1.0,267.34997139348695,False,0.02745379865249867,0,0.9560000000000002,32674.0,89,0,0.0,890.0,False,-0.05255177937979174,0,0.2,43347,0,20,0.0,485.294954926459,False,0.002936990416069894,0,0.2,42169,69,37,1.0,1943.6055350239892,False,-0.00739030031954361,10,0.7320000000000002,60240,0,5,0.5,155.0,False,-0.012095453354297694,0,0.5960000000000002,60482,0,7,0.7,217.0,False,-0.007624148322851153,0.5333333333333333,274694,0.0,0.0,13,0,0,15,4,4.0,11,26,19,106.0,62.0,11,11,19,975,1.2238774829893373,15.012701446074061
9,19,0,0,0,10.000000000000002,20,10.0,15.520461155329915,30,17.066666666666666,27.071366709033036,32,32.0625,31.0,20,31.0,0,0.2,35948,6,14,1.0,277.2864561746188,False,0.032344754207784425,19,1.1460000000000004,32355.0,97,0,0.0,970.0000000000002,False,-0.060533241789678456,0,0.2,43347,0,20,0.0,541.4273341806608,False,0.00358275429318318,0,0.2,42683,89,15,1.0,1787.391543459858,False,0.0026389897319481414,8,0.802,59324,21,10,1.0,878.4987008896937,False,-0.02117319591121511,0,0.5960000000000001,60666,0,1,0.1,31.0,False,-0.0061337133123689725,0.5166666666666667,274323,0.0,0.0,18,0,0,14,6,6.0,11,25,22,109.0,48.0,8,11,22,1884,1.1597003109636717,16.172401757037733
