index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,42.0,0,,49.0,0,,0,0.2,64612,1,10,1.0,220.0,False,0.0,0,0.2,64632,9,0,0.0,90.0,False,-0.0006952813571892093,0,0.2,98415,0,0,0.0,0.0,False,0.0,0,0.2,98415,0,0,0.0,0.0,False,0.0,0,0.2,130585,0,0,0.0,0.0,False,0.0,0,0.2,130585,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0.125,908566,0.0,0.0,11,0,0,0,0,0.0,1305,1305,107,0.0,0.0,0,0,107,200,5.760882456786931,5.760882456786931
1,107,0,0,0,10.0,20,10.0,21.0,0,,28.5,5,15.0,42.0,0,,49.0,0,,0,0.2,64532,0,19,0.9,399.0,False,0.0001467816198510553,0,0.2,64512,21,0,0.0,210.0,False,-0.0016223231667748216,0,0.2,98415,0,0,0.0,0.0,False,0.0,5,0.25,98310,0,0,0.0,0.0,False,-0.001066910531931108,0,0.2,130510,0,5,0.5,210.0,False,0.00022973542137305205,0,0.2,130585,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0.175,908186,0.0,0.0,11,0,0,21,1,1.0,29,50,25,522.0,384.0,29,78,25,200,7.800485169515014,13.561367626301944
2,25,0,0,0,10.0,20,10.0,21.0,0,,25.560344827586206,13,15.384615384615385,42.0,0,,49.0,0,,0,0.2,64402,3,29,1.0,639.0,False,-7.725348413213436e-06,0,0.2,64442,28,0,0.0,280.0,False,-0.002163097555699762,9,0.29000000000000004,98203,0,0,0.0,0.0,False,-0.0021541431692323324,4,0.28500000000000003,98226,0,0,0.0,0.0,False,-0.0019204389574759945,0,0.2,130310,3,15,1.0,706.6810344827586,False,0.0005999197246343516,0,0.2,130585,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0.25,907490,0.0,0.0,10,0,0,15,3,3.0,20,35,19,216.0,159.0,12,13,19,200,2.4315173905342817,15.992885016836226
3,19,0,0,0,10.0,20,10.0,21.0,0,,25.560344827586206,0,,42.0,0,,49.0,0,,0,0.2,64282,5,39,1.0,869.0,False,-8.497883254534779e-05,0,0.2,64362,36,0,0.0,360.0,False,-0.002781125428756837,0,0.281,98203,0,0,0.0,0.0,False,-0.0021541431692323324,0,0.281,98226,0,0,0.0,0.0,False,-0.0019204389574759945,0,0.2,130310,0,18,0.3,756.0,False,0.0007887582800474787,0,0.2,130585,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0,0.2,160661,0,0,0.0,0.0,False,0.0,0.1625,907290,0.0,0.0,11,0,0,17,0,0.0,12,29,11,162.0,104.0,9,10,11,200,2.3538200417533517,18.346705058589578
4,11,0,0,0,10.0,20,10.0,21.0,0,,25.040760869565215,3,16.0,45.81818181818182,10,63.0,49.0,20,49.0,0,0.2,64212,2,49,1.0,1049.0,False,0.00022403510398318963,0,0.2,64232,49,0,0.0,490.0,False,-0.0037854207224745835,0,0.281,98203,0,0,0.0,0.0,False,-0.0021541431692323324,3,0.31100000000000005,98166,0,0,0.0,0.0,False,-0.002530102118579485,0,0.2,130310,0,18,0.0,824.7272727272727,False,0.001051909762711126,10,0.30000000000000004,130612,0,3,0.3,137.45454545454547,False,0.0007330648445631531,10,0.30000000000000004,160470,0,0,0.0,0.0,False,-0.0011888386104904115,10,0.30000000000000004,159845,0,10,1.0,490.0,False,-0.0035540672596336385,0.2875,906050,0.0,0.0,9,0,0,14,14,14.0,13,27,14,126.0,41.0,7,4,14,200,1.8936018589884043,20.240306917577982
5,14,0,0,0,10.0,20,10.0,22.818181818181817,10,31.0,23.786841192787794,8,16.0,49.89147286821706,15,63.333333333333336,49.0,20,49.0,0,0.2,64482,0,45,0.6,1026.8181818181818,False,0.004224360973225306,0,0.2,64072,65,0,0.0,650.0,False,-0.005021476468588733,4,0.32100000000000006,97813,10,0,0.0,228.18181818181816,False,-0.004957669978246083,4,0.3480000000000001,98086,0,0,0.0,0.0,False,-0.0033429863333841385,0,0.2,130950,0,8,0.0,399.13178294573646,False,0.004323359432345642,2,0.31000000000000005,130694,0,8,0.8,399.13178294573646,False,0.002362950503295709,12,0.41000000000000003,159597,0,10,1.0,490.0,False,-0.005097690167495534,0,0.29000000000000004,159927,0,7,0.5,343.0,False,-0.003501160829323856,0.3625,905621,0.0,0.0,18,0,0,14,8,7.4,14,28,20,108.0,68.0,6,8,20,1542,1.8555688261985779,22.09587574377656
6,20,0,0,0,10.0,20,10.0,25.684563758389263,25,31.36,23.229762841608242,4,16.0,51.81778104335047,10,63.0,49.0,20,49.0,0,0.2,65176,0,29,0.9,744.8523489932886,False,0.012768860271571487,0,0.2,63962,76,0,0.0,760.0,False,-0.0058712647940422115,0,0.31700000000000006,97565,18,0,0.0,462.32214765100673,False,-0.006288054932423953,4,0.384,97470,17,0,0.0,436.6375838926175,False,-0.007383846040275274,0,0.2,131270,0,3,0.0,155.45334313005142,False,0.005840844442815278,0,0.30800000000000005,130940,0,7,0.4,362.7244673034533,False,0.004107380125218935,1,0.40800000000000003,160078,0,0,0.0,0.0,False,-0.003628758690659214,2,0.31000000000000005,159619,0,10,1.0,490.0,False,-0.004960755877281979,0.2875,906080,0.0,0.0,26,0,0,16,4,3.0,17,33,22,183.0,87.0,11,9,22,2349,1.9760939618572593,24.07196970563382
7,22,0,0,0,10.0,20,10.0,26.504218040233617,10,32.0,22.69738755688429,4,16.0,52.73726318967469,5,64.0,49.00000000000001,20,49.0,0,0.2,65366,3,29,1.0,798.6223231667749,False,0.01611988445325224,0,0.2,63892,83,0,0.0,830.0,False,-0.006412039182967151,4,0.35700000000000004,97165,28,0,0.0,742.1181051265413,False,-0.008930965273959535,0,0.38000000000000006,97470,17,0,0.0,450.5717066839715,False,-0.00731305336237384,0,0.2,131270,0,3,0.0,158.21178956902406,False,0.005851406323731679,0,0.30800000000000005,131196,0,6,0.4,316.4235791380481,False,0.005890506486725364,11,0.5170000000000001,159538,0,5,0.5,245.00000000000003,False,-0.006227398061757365,0,0.30800000000000005,160060,0,1,0.0,49.00000000000001,False,-0.003588300832187027,0.2375,905957,0.0,0.0,17,0,0,20,7,7.0,12,32,19,162.0,114.0,9,13,19,1281,1.863396349363029,25.935366054996848
8,19,0,0,0,10.0,20,10.0,27.69884664673217,36,30.0,22.69738755688429,0,,54.35499601410504,10,64.0,49.00000000000001,20,49.0,7,0.27,66171,3,10,1.0,306.9884664673217,False,0.02475965256379075,0,0.2,63792,93,0,0.0,930.0,False,-0.007184574024288496,0,0.35300000000000004,96085,64,0,0.0,1772.726185390859,False,-0.014668870673216119,0,0.38000000000000006,97470,17,0,0.0,470.88039299444694,False,-0.007209874546591269,0,0.2,131270,0,3,0.0,163.06498804231512,False,0.005869988850336127,4,0.3480000000000001,131636,0,0,0.0,0.0,False,0.008048397595435923,3,0.536,159111,0,10,1.0,490.00000000000006,False,-0.008122693124031346,11,0.41800000000000004,159880,0,0,0.0,0.0,False,-0.004861167302581211,0.25,905415,0.0,0.0,13,0,0,18,11,9.355555555555556,14,32,21,147.0,75.0,9,10,21,1256,3.6024773698300123,29.53784342482686
9,21,0,0,0,10.000000000000002,20,10.0,28.38737524518017,38,30.105263157894736,22.190860830059798,4,16.0,55.06776758852737,5,64.0,49.00000000000001,20,49.0,28,0.543,66279,3,10,1.0,313.8737524518017,False,0.026481519054199446,0,0.2,63692,103,0,0.0,1030.0000000000002,False,-0.007957108865609838,0,0.35300000000000004,95451,85,0,0.0,2412.9268958403145,False,-0.017858421501598706,4,0.42000000000000004,96880,34,0,0.0,965.1707583361258,False,-0.010693640408798897,0,0.2,131270,0,3,0.0,165.2033027655821,False,0.00587817629423577,5,0.394,131642,0,4,0.4,220.27107035410947,False,0.008937745799112051,0,0.533,159601,0,0,0.0,0.0,False,-0.006597743073925844,10,0.5070000000000001,159371,0,5,0.5,245.00000000000003,False,-0.007266853810196625,0.2375,904186,0.0,0.0,16,0,0,16,10,9.411764705882353,15,31,22,169.0,62.0,10,11,22,690,1.6798483971506357,31.217691821977496
