index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,40.0,0,,0,0.2,22254,0,9,0.9,180.0,False,0.0,0,0.2,22234,1,10,1.0,210.0,False,-0.00022377372001432152,0,0.2,32470,0,0,0.0,0.0,False,0.0,0,0.2,32470,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.31666666666666665,209558,0.0,0.0,6,0,0,139,0,0.0,375,514,168,0.0,0.0,0,0,168,200,1.7659603219944984,1.7659603219944984
1,168,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,40.0,0,,0,0.2,22144,1,19,1.0,390.0,False,-0.00022377372001432152,0,0.2,22144,0,20,1.0,400.0,False,0.0,0,0.2,32470,0,0,0.0,0.0,False,0.0,0,0.2,32470,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.3333333333333333,209358,0.0,0.0,6,0,0,65,0,0.0,73,138,139,2268.0,441.0,126,42,139,200,10.230177755991463,11.996138077985961
2,139,0,0,0,10.0,20,10.0,18.272727272727273,10,10.5,28.0,0,,40.0,0,,0,0.2,22159,0,19,1.0,347.1818181818182,False,-0.0005106109429418145,0,0.2,22034,1,30,1.0,558.1818181818182,False,-0.0013833284509976683,0,0.2,32365,0,10,1.0,280.0,False,0.0010779180782260547,0,0.2,32470,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.5,209158,0.0,0.0,7,0,0,54,0,0.0,16,70,133,519.0,406.0,58,81,133,305,9.805413876019884,21.801551954005845
3,133,0,0,0,10.0,20,10.0,16.035971223021583,20,10.5,28.0,0,,40.0,8,40.0,1,0.21000000000000002,22275,0,7,0.7,112.25179856115108,False,-0.0005761770819649914,0,0.2,21904,4,40,1.0,681.4388489208634,False,-0.004443276742730376,0,0.2,32260,0,20,1.0,560.0,False,0.0021558361564521095,0,0.2,32365,0,10,1.0,280.0,False,0.0010779180782260547,8,0.28,49977,0,0,0.0,0.0,False,-0.0017577149705383002,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6166666666666667,208846,0.0,0.0,9,0,0,70,3,2.2,6,76,123,716.0,333.0,64,69,123,360,9.164367631019559,30.965919585025404
4,123,0,0,0,10.0,20,10.0,20.42449156209433,53,25.60377358490566,28.0,0,,40.0,12,40.0,9,0.29900000000000004,22323,0,9,0.9,183.82042405884897,False,0.003173568386565648,0,0.2,22777,5,13,1.0,315.5183903072263,False,0.026439276546438076,0,0.2,30958,38,30,1.0,1616.1306793595845,False,-0.02167953989283051,0,0.2,32310,0,15,0.5,420.0,False,0.001539882968894364,12,0.392,49781,0,0,0.0,0.0,False,-0.005672625586737242,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.5666666666666667,208214,0.0,0.0,9,0,0,55,6,5.363636363636363,10,65,125,791.0,331.0,54,69,125,1183,6.420846283028368,37.38676586805377
5,125,0,0,0,10.0,20,10.0,22.032462205554904,24,29.0,26.470588235294116,6,15.0,40.0,6,40.0,5,0.34,22509,0,10,1.0,220.32462205554904,False,0.012314818789284641,0,0.2,22967,5,13,1.0,336.42200867221374,False,0.0354104459513116,0,0.2,30642,42,34,1.0,1825.3634126333059,False,-0.028189661031208724,0,0.2,32020,0,25,1.0,661.7647058823529,False,-0.0036685447200130966,6,0.44000000000000006,49625,0,6,0.6,240.0,False,-0.0063916908019574555,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.7666666666666666,207828,0.0,0.0,8,0,0,48,3,2.357142857142857,14,62,108,845.0,437.0,50,75,108,580,7.337964093952905,44.72472996200668
6,108,0,0,0,10.0,20,10.0,22.032462205554904,0,,26.470588235294116,0,,40.0,8,40.0,0,0.3350000000000001,22429,0,18,0.8,396.58431969998827,False,0.012678668092104925,0,0.2,22847,7,23,1.0,576.7466307277627,False,0.03541771013980855,0,0.2,30642,32,44,1.0,1869.744672930698,False,-0.027506241562508506,0,0.2,32020,0,25,0.0,661.7647058823529,False,-0.0036685447200130966,2,0.45400000000000007,49849,0,0,0.0,0.0,False,-0.004314391291321282,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.4666666666666666,207852,0.0,0.0,7,0,0,41,1,0.6666666666666666,11,52,107,738.0,714.0,41,67,107,400,5.042475209978875,49.76720517198555
7,107,0,0,0,10.0,20,10.0,24.227999560035787,53,29.0,26.470588235294116,0,,40.00000000000001,11,40.0,35,0.685,22624,0,10,1.0,242.27999560035786,False,0.017952917910856566,0,0.2,22747,7,33,1.0,869.523985481181,False,0.03749382352043459,0,0.2,30294,34,54,1.0,2253.1637497470992,False,-0.03231962196262547,0,0.2,30831,31,35,1.0,1677.5385745964036,False,-0.024645232913513993,11,0.562,49681,0,0,0.0,0.0,False,-0.007670028962348947,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,206242,0.0,0.0,7,0,0,45,6,5.6,7,52,96,690.0,710.0,40,67,96,548,4.546454202965833,54.313659374951385
8,96,0,0,0,10.0,20,10.0,25.235241862414338,32,30.0,26.470588235294116,0,,40.00000000000001,7,40.0,6,0.7100000000000002,22854,0,9,0.9,227.11717676172904,False,0.027907204993772982,0,0.2,23133,8,27,1.0,761.3515302851871,False,0.05234853943531123,0,0.2,29334,56,64,1.0,3107.2911913540265,False,-0.048732811959439015,0,0.2,30831,21,45,1.0,1721.116549698936,False,-0.02397418309672106,7,0.621,49605,0,0,0.0,0.0,False,-0.009188055527813842,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.65,205822,0.0,0.0,8,0,0,36,3,2.857142857142857,13,49,85,666.0,300.0,37,59,85,957,4.088339304027613,58.401998678979
9,85,0,0,0,10.000000000000002,20,10.0,25.967807304408485,28,30.285714285714285,26.470588235294116,0,,40.00000000000001,11,40.0,1,0.7140000000000002,23040,0,8,0.8,207.74245843526788,False,0.03579803209889165,0,0.2,23571,10,19,1.0,593.3883387837612,False,0.06819254248979062,0,0.2,29044,56,74,1.0,3413.0207384586397,False,-0.052956255952284585,0,0.2,30273,29,55,1.0,2208.9487647690225,False,-0.0336472318329377,11,0.7240000000000002,49437,0,0,0.0,0.0,False,-0.012543693198841506,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6333333333333333,205430,0.0,0.0,7,0,0,32,4,3.1,16,48,80,633.0,342.0,36,49,80,758,4.083201629982796,62.485200308961794
10,80,0,0,0,10.000000000000002,20,10.0,26.729759778003622,31,31.0,26.470588235294116,0,,40.00000000000001,11,40.0,0,0.7130000000000001,22920,2,18,1.0,501.1356760040652,False,0.03699283199078198,12,0.32000000000000006,24164,8,10,1.0,347.2975977800362,False,0.0892252416259407,0,0.2,28083,77,84,1.0,4281.720914670985,False,-0.069175840550185,0,0.2,30273,19,65,1.0,2228.4536710761863,False,-0.033346879102614885,11,0.8230000000000002,49271,0,0,0.0,0.0,False,-0.015859382802356936,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,204776,0.0,0.0,7,0,0,32,4,3.8,13,45,74,579.0,470.0,33,47,74,696,5.0630130199715495,67.54821332893334
11,74,0,0,0,10.000000000000002,20,10.0,26.28778404589528,5,10.0,26.470588235294116,0,,40.00000000000001,9,40.0,0,0.7130000000000001,22890,0,23,1.0,604.6190330555914,False,0.03796587524739507,0,0.30800000000000005,24044,10,20,1.0,625.7556809179056,False,0.09008583245877881,0,0.2,28083,67,94,1.0,4249.516825192631,False,-0.06967174583934971,0,0.2,30223,14,75,1.0,2353.3230942895925,False,-0.03296391909008947,9,0.9020000000000001,49153,0,0,0.0,0.0,False,-0.018216318785578747,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,204458,0.0,0.0,7,0,0,23,3,3.0,17,40,70,504.0,513.0,28,46,70,250,3.4647403320414014,71.01295366097474
12,70,0,0,0,10.000000000000002,20,10.0,24.165713388882853,39,14.897435897435898,29.069767441860467,10,41.0,40.00000000000001,12,40.0,6,0.7730000000000001,23072,3,10,1.0,271.6571338888285,False,0.03866042637595846,0,0.30800000000000005,24094,7,20,1.0,553.314267777657,False,0.09070252120877319,0,0.2,28027,66,99,1.0,4472.844060410454,False,-0.06795743670448946,0,0.2,30108,34,80,1.0,3147.2156505708545,False,-0.024280633653051196,12,1.0130000000000003,48549,0,10,1.0,400.00000000000006,False,-0.026285828423050037,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,203915,0.0,0.0,13,0,0,32,6,5.2,8,40,58,489.0,202.0,28,42,58,1091,2.95576295099454,73.96871661196928
13,58,0,0,0,10.000000000000002,20,10.0,22.89628332661676,37,16.43243243243243,29.069767441860467,0,,40.00000000000001,11,40.0,22,0.9870000000000001,22792,5,10,1.0,278.9628332661676,False,0.026292580407853716,0,0.30800000000000005,24064,5,25,1.0,622.4070831654191,False,0.09090599452124547,0,0.2,28027,56,109,1.0,4450.796517453329,False,-0.06829694306354588,0,0.2,29500,61,90,1.0,4012.9523526910643,False,-0.029674278523389847,1,1.0110000000000003,48941,0,0,0.0,0.0,False,-0.02245081394187556,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,203389,0.0,0.0,9,0,0,26,6,4.666666666666667,10,36,57,417.0,327.0,24,34,57,610,2.703259024012368,76.67197563598165
14,57,0,0,0,10.000000000000002,20,10.0,22.426570710703608,71,21.08450704225352,29.069767441860467,0,,40.00000000000001,9,40.0,9,1.0550000000000002,22920,4,10,1.0,264.26570710703606,False,0.03169230458080548,27,0.5780000000000001,24320,6,10,1.0,284.26570710703606,False,0.09479649362484414,0,0.2,27650,59,119,1.0,4782.469997512908,False,-0.07480027721723277,0,0.2,28380,109,100,1.0,5351.47295165274,False,-0.04355600628806985,9,1.1,48821,0,0,0.0,0.0,False,-0.024847697992609608,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.6666666666666666,202156,0.0,0.0,6,0,0,24,8,6.269230769230769,12,36,57,432.0,279.0,24,33,57,200,2.537405526963994,79.20938116294565
15,57,0,0,0,10.000000000000002,20,10.0,21.771064683506314,15,11.0,35.95736895069069,59,41.83050847457627,40.000000000000014,7,40.0,5,1.0960000000000003,22855,5,10,1.0,267.71064683506313,False,0.02886033491843585,0,0.5510000000000002,24230,5,20,1.0,485.42129367012626,False,0.09526990005527501,0,0.2,29198,49,93,1.0,4410.817481906044,False,-0.032848514291560764,0,0.2,29135,114,87,1.0,5610.19247262981,False,-0.01631979561703404,7,1.1610000000000003,46277,49,10,1.0,2161.911078583844,False,-0.05407059743749284,0,0.2,50065,0,0,0.0,0.0,False,0.0,0.8333333333333334,201760,0.0,0.0,10,0,0,25,3,3.0,12,37,55,450.0,246.0,25,32,55,2778,2.3923701280145906,81.60175129096024
