index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,47.0,0,,0,0.2,35165,10,0,0.0,100.0,False,-0.001417836381681554,0,0.2,35165,0,10,1.0,180.0,False,-0.0002835672763363108,0,0.2,48313,0,0,0.0,0.0,False,0.0,0,0.2,48313.0,0,0,0.0,0.0,False,0.0,0,0.2,71588,0,0,0.0,0.0,False,0.0,0,0.2,71588,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0.125,489984,0.0,0.0,7,0,0,0,0,0.0,989,989,170,0.0,0.0,0,0,170,200,8.722325266338885,8.722325266338885
1,170,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,47.0,0,,0,0.2,35055,21,0,0.0,210.0,False,-0.0029774564015312634,0,0.2,35075,0,19,0.9,342.0,False,-0.0005387778250389905,0,0.2,48313,0,0,0.0,0.0,False,0.0,0,0.2,48313.0,0,0,0.0,0.0,False,0.0,0,0.2,71588,0,0,0.0,0.0,False,0.0,0,0.2,71588,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0.1125,489784,0.0,0.0,8,0,0,26,0,0.0,39,65,52,729.0,754.0,47,123,52,200,9.859114767052233,18.581440033391118
2,52,0,0,0,10.0,20,10.0,15.307692307692308,20,9.25,17.014492753623188,24,2.0416666666666665,35.0,0,,47.0,0,,15,0.35000000000000003,34710,30,0,0.0,300.0,False,-0.011484474691620587,0,0.2,35010,1,24,1.0,377.3846153846154,False,-0.0018802691707839247,0,0.2,48128,10,10,1.0,323.22185061315497,False,-0.0004841155526135696,24,0.44000000000000006,47358.0,0,0,0.0,0.0,False,-0.019766936435327967,0,0.2,71579,0,9,0.9,315.0,False,0.0020743700061462817,0,0.2,71548,5,10,1.0,435.07246376811594,False,0.00247997194898675,0,0.2,89926,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0.4875,488185,0.0,0.0,11,0,0,23,8,8.0,37,60,45,477.0,67.0,41,11,45,245,3.582657120190561,22.16409715358168
3,45,0,0,0,10.0,20,10.0,14.466666666666667,24,12.416666666666666,15.53690303907381,7,2.4285714285714284,35.0,0,,47.0,0,,14,0.4750000000000001,34424,44,0,0.0,440.0,False,-0.0176095278604849,0,0.2,35050,0,21,0.7,303.8,False,-0.0017893095136820797,0,0.2,47983,15,20,1.0,527.7380607814762,False,-0.0013688027986104127,7,0.4860000000000001,47000.0,9,0,0.0,130.2,False,-0.02582948688758722,0,0.2,71579,0,9,0.0,315.0,False,0.0020743700061462817,0,0.2,71531,2,20,1.0,731.0738060781476,False,0.00430989695254892,0,0.2,89926,0,0,0.0,0.0,False,0.0,0,0.2,89926,0,0,0.0,0.0,False,0.0,0.3375,487419,0.0,0.0,11,0,0,15,4,4.0,30,45,35,285.0,105.0,26,19,35,300,3.073323054239154,25.237420207820833
4,35,0,0,0,10.0,20,10.0,15.604580152671756,24,19.125,14.433787945446548,6,3.0,35.0,0,,47.0,20,47.0,5,0.5110000000000001,34269,53,0,0.0,530.0,False,-0.020728767900184318,0,0.2,35354,1,12,1.0,197.25496183206107,False,0.005320501372920214,0,0.2,47537,29,29,1.0,871.1126748454308,False,-0.007046626427199447,5,0.5290000000000001,46855.0,9,0,0.0,140.4412213740458,False,-0.028724761230165347,0,0.2,71579,0,9,0.0,315.0,False,0.0020743700061462817,0,0.2,71513,0,28,0.8,980.0,False,0.00579706095993742,12,0.32000000000000006,89679,0,0,0.0,0.0,False,-0.0027467028445610836,8,0.28,89800,0,0,0.0,0.0,False,-0.0014011520583590952,0.35,486586,0.0,0.0,13,0,0,12,12,12.0,27,39,20,281.0,65.0,20,15,20,627,3.715315416455269,28.9527356242761
5,20,0,0,0,10.0,20,10.0,16.63585487313256,17,22.0,12.884577128771388,8,1.0,35.0,0,,47.0,20,47.0,6,0.5660000000000001,34089,64,0,0.0,640.0,False,-0.024273358854388204,0,0.2,35572,0,11,1.0,182.99440360445814,False,0.01130007661426998,0,0.2,47179,35,39,1.0,1084.7534285817237,False,-0.012245633384578439,8,0.6040000000000001,46589.0,10,0,0.0,166.35854873132558,False,-0.03396230260249493,0,0.2,71579,0,9,0.0,315.0,False,0.0020743700061462817,0,0.2,71505,0,36,0.8,1260.0,False,0.007640945409845225,8,0.38800000000000007,89554,0,0,0.0,0.0,False,-0.004136734648488757,12,0.392,89556,0,0,0.0,0.0,False,-0.004114494139625915,0.35,485623,0.0,0.0,9,0,0,6,14,14.0,24,30,21,157.0,39.0,11,9,21,508,2.753272606059909,31.70600823033601
6,21,0,0,0,10.0,20,10.0,19.2027484191004,17,33.529411764705884,13.130412378543886,28,13.678571428571429,35.0,0,,47.0,20,47.0,0,0.56,33969,76,0,0.0,760.0,False,-0.025974762512406067,6,0.26,35930,0,8,0.8,153.6219873528032,False,0.021035332303314936,0,0.2,47192,25,48,1.0,1110.3285046476165,False,-0.011711873567697897,27,0.8660000000000001,45389.0,27,0,0.0,518.4742073157107,False,-0.05515622909656086,0,0.2,71579,0,9,0.0,315.0,False,0.0020743700061462817,0,0.2,71122,18,46,1.0,1846.34742281379,False,0.006386178010377388,11,0.49000000000000005,89343,0,0,0.0,0.0,False,-0.006483108333518671,9,0.4700000000000001,89413,0,0,0.0,0.0,False,-0.005704690523319174,0.35,483937,0.0,0.0,11,0,0,4,13,12.428571428571429,24,28,26,114.0,56.0,9,12,26,321,3.331600815989077,35.03760904632509
7,26,0,0,0,10.0,20,10.0,19.2027484191004,0,,16.327162520397835,30,25.0,35.0,0,,47.00000000000001,20,47.0,0,0.56,33899,83,0,0.0,830.0,False,-0.026967247979583157,0,0.254,35800,3,18,1.0,375.6494715438072,False,0.02049694415913515,0,0.2,47942,15,28,1.0,745.2017768576454,False,3.313576943729357e-05,0,0.8390000000000002,45389.0,27,0,0.0,518.4742073157107,False,-0.05515622909656086,0,0.2,71579,0,9,0.0,315.0,False,0.0020743700061462817,0,0.2,70372,38,56,1.0,2580.4321757751177,False,0.0010367112908246966,11,0.5890000000000001,89142,0,0,0.0,0.0,False,-0.008718279474234371,9,0.5510000000000002,89261,0,0,0.0,0.0,False,-0.007394969196895225,0.375,483384,0.0,0.0,10,0,0,12,9,9.0,22,34,28,203.0,41.0,16,10,28,950,2.916987407952547,37.954596454277635
8,28,0,0,0,10.0,20,10.0,18.29643289605329,11,10.0,18.0812924521938,51,21.529411764705884,41.145161290322584,17,57.411764705882355,47.00000000000001,20,47.0,0,0.56,33769,96,0,0.0,960.0,False,-0.028810435275769177,0,0.254,35840,0,17,1.0,311.0393592329059,False,0.02071514758589119,8,0.28,48536,16,10,1.0,473.5558508587906,False,0.009516650289350543,15,0.9890000000000003,45019.0,27,0,0.0,494.00368819343885,False,-0.06306787315843111,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69773,79,58,1.0,3814.84145856202,False,0.0012910086785636835,13,0.7080000000000002,88534,5,0,0.0,205.72580645161293,False,-0.014335532513112969,7,0.6120000000000001,88536,12,0,0.0,493.741935483871,False,-0.012711885686654146,0.375,482063,0.0,0.0,14,0,0,13,13,12.233333333333334,24,37,25,257.0,43.0,20,8,25,1476,2.5186137026175857,40.47321015689522
9,25,0,0,0,10.000000000000002,20,10.0,20.82114678722749,38,27.5,17.865836796950944,5,12.0,41.75,3,53.0,47.00000000000001,20,47.0,8,0.6400000000000001,33557,109,0,0.0,1090.0000000000002,False,-0.032978874237912945,13,0.384,36403,0,7,0.7,145.74802751059244,False,0.034336424606700576,0,0.272,48154,25,15,1.0,788.5162216349514,False,0.0048694577198161604,0,0.9740000000000002,44416.0,46,0,0.0,957.7727522124646,False,-0.07074935574056193,0,0.2,72056,0,0,0.0,0.0,False,0.006537408504218584,0,0.2,69872,74,65,1.0,4035.82192297437,False,0.004217340357143446,11,0.8050000000000002,88327,5,0,0.0,208.75,False,-0.016620610279563196,9,0.6950000000000001,88230,15,0,0.0,626.25,False,-0.015377921846851855,0.3375,481015,0.0,0.0,13,0,0,14,13,12.4,20,34,28,234.0,38.0,18,7,28,811,2.1991348760202527,42.67234503291547
