index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,18,10.0,20.0,0,,31.0,0,,46.0,0,,62.0,0,,0,0.2,31324,0,1,0.1,20.0,False,0.0,0,0.2,31164,7,10,1.0,270.0,False,-0.0011169975106912618,0,0.2,47589,0,0,0.0,0.0,False,0.0,0,0.2,47589,0,0,0.0,0.0,False,0.0,0,0.2,73341,0,0,0.0,0.0,False,0.0,0,0.2,73341.0,0,0,0.0,0.0,False,0.0,0,0.2,100562,0,0,0.0,0.0,False,0.0,0,0.2,100562,0,0,0.0,0.0,False,0.0,0.1375,505472,0.0,0.0,8,0,0,79,0,0.0,275,354,108,0.0,0.0,0,0,108,180,1.8773705996572971,1.8773705996572971
1,108,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,43.8,50,41.82,62.0,0,,0,0.2,31244,0,9,0.8,180.0,False,0.0,0,0.2,31044,9,20,1.0,490.0,False,-0.001436139656603051,0,0.2,47589,0,0,0.0,0.0,False,0.0,0,0.2,47589,0,0,0.0,0.0,False,0.0,0,0.2,73341,0,0,0.0,0.0,False,0.0,50,0.7000000000000002,70248.0,0,0,0.0,0.0,False,-0.04217286374606291,0,0.2,100562,0,0,0.0,0.0,False,0.0,0,0.2,98471,50,0,0.0,2190.0,False,-0.009904337622561207,0.225,500088,0.0,0.0,8,0,0,34,7,7.0,52,86,70,1081.0,456.0,69,39,70,200,5.468356998637319,7.345727598294616
2,70,0,0,0,10.0,15,10.0,20.0,0,,29.096153846153847,7,16.857142857142858,43.8,0,,62.0,0,,0,0.2,31204,0,13,0.4,260.0,False,0.0,0,0.2,30934,10,30,1.0,700.0,False,-0.0015957107295589456,0,0.2,47589,0,0,0.0,0.0,False,0.0,7,0.27,47436,0,0,0.0,0.0,False,-0.0032150286830990357,0,0.2,73325,0,1,0.1,43.8,False,8.04461351766976e-05,0,0.6500000000000001,70146.0,6,0,0.0,174.5769230769231,False,-0.04237345466330609,0,0.2,100562,0,0,0.0,0.0,False,0.0,0,0.2,98471,50,0,0.0,2190.0,False,-0.009904337622561207,0.1875,499667,0.0,0.0,6,0,0,32,2,2.0,35,67,76,732.0,221.0,49,21,76,150,4.654145609587431,11.999873207882047
3,76,0,0,0,9.999999999999998,15,10.0,19.313725490196077,6,14.166666666666666,26.82258064516129,9,15.0,36.07146814404432,95,29.11578947368421,62.0,0,,0,0.2,31204,0,15,0.3,289.70588235294116,False,0.0004740199520160875,0,0.2,30869,12,35,1.0,795.9803921568628,False,-0.0021385652620658064,9,0.29000000000000004,47306,0,6,0.6,160.93548387096774,False,-0.0042558628688250475,0,0.263,47436,0,0,0.0,0.0,False,-0.0032150286830990357,0,0.2,73325,0,1,0.0,36.07146814404432,False,2.7757108193534635e-05,95,1.6000000000000003,58215.0,15,0,0.0,402.33870967741933,False,-0.20349914297816077,0,0.2,99138,52,10,1.0,2495.7163434903046,False,-0.0017515744342281854,0,0.2,97129,83,0,0.0,2993.931855955678,False,-0.01925214367278055,0.3625,484622,0.0,0.0,9,0,0,29,12,12.0,26,55,50,646.0,329.0,39,37,50,235,3.568448254838586,15.568321462720633
4,50,0,0,0,9.999999999999998,18,10.0,21.126656848306332,22,24.90909090909091,24.26804590758079,16,16.25,34.55100496571293,49,29.510204081632654,62.0,20,62.0,0,0.2,31164,0,19,0.4,401.4064801178203,False,0.000979869791884493,0,0.2,31277,16,23,1.0,645.9131075110456,False,0.008487794528484218,0,0.281,46833,12,11,1.0,520.4683871630647,False,-0.010417655475392742,11,0.37300000000000005,47184,0,0,0.0,0.0,False,-0.008510370043497447,0,0.2,73234,0,7,0.6,241.85703475999048,False,0.00018991447321418746,49,1.9950000000000003,54687.0,25,0,0.0,606.7011476895198,False,-0.2502099702234118,2,0.22000000000000003,99008,75,10,1.0,3211.3253724284696,False,0.0005137396453355077,8,0.28,96253,99,0,0.0,3420.54949160558,False,-0.02584202038739496,0.5,479640,0.0,0.0,16,0,0,22,12,12.0,26,48,39,424.0,172.0,28,22,39,1423,2.5918603353202343,18.160181798040867
5,39,0,0,0,9.999999999999998,7,10.0,21.126656848306332,0,,20.234169345814315,53,15.69811320754717,33.84741538394737,40,30.5,62.0,20,62.0,0,0.2,31164,0,19,0.0,401.4064801178203,False,0.000979869791884493,0,0.2,31207,13,33,1.0,827.179675994109,False,0.009146289589489152,3,0.31100000000000005,46932,2,10,1.0,244.59500715475582,False,-0.011235842241329341,39,0.752,45418,0,0,0.0,0.0,False,-0.04561978608501965,0,0.2,72762,19,17,1.0,959.8552790975773,False,-0.0013508455086679594,40,2.3460000000000005,51899.0,49,0,0.0,991.4742979449014,False,-0.28560099877323114,0,0.21800000000000003,99099,85,11,1.0,3559.0303076355267,False,0.0031474627972570128,11,0.382,95226,119,0,0.0,4027.8424306897373,False,-0.033035130413626664,0.5,473707,0.0,0.0,10,0,0,24,17,16.333333333333332,18,42,30,371.0,153.0,23,16,30,703,2.2670378014445305,20.427219599485397
6,30,0,0,0,9.999999999999998,12,10.0,22.99400823867182,19,29.0,19.31359446971054,36,16.72222222222222,33.325967311091716,34,30.147058823529413,62.0,20,62.0,0,0.2,31164,0,19,0.0,436.8861565347646,False,0.0015460227952824653,0,0.2,31638,15,24,1.0,701.8561977281237,False,0.02090151588894046,0,0.30800000000000005,46381,11,20,1.0,639.2059800196008,False,-0.018668116791489626,36,1.0730000000000002,43855,0,0,0.0,0.0,False,-0.0784635104751098,0,0.2,72564,26,26,1.0,1368.6286063008588,False,-0.0012637637453753068,33,2.6360000000000006,49777.0,68,0,0.0,1313.3244239403168,False,-0.31234013427727797,0,0.21800000000000003,99183,100,10,1.0,3952.5967311091717,False,0.005939603086201379,9,0.461,94598,128,0,0.0,4265.72381581974,False,-0.038097274239674316,0.5,469160,0.0,0.0,13,0,0,18,15,15.0,15,33,31,217.0,153.0,14,16,31,1444,1.7393296947702765,22.166549294255674
7,31,0,0,0,9.999999999999998,12,10.0,25.623225006706814,36,30.88888888888889,18.408144171762167,39,15.538461538461538,34.55158339134955,7,72.57142857142857,62.0,20,62.0,0,0.2,31284,0,15,0.0,384.3483751006022,False,0.004537377530806772,8,0.28,32318,17,10,1.0,426.2322500670681,False,0.03820502090488081,4,0.3480000000000001,45611,33,10,1.0,1029.6478669389464,False,-0.03074609818509585,15,1.1870000000000003,43324,4,0,0.0,102.49290002682726,False,-0.08854469625305394,0,0.2,72688,37,31,1.0,1752.2004194870362,False,0.003041957564575232,2,2.6230000000000007,49443.0,86,0,0.0,1583.1003987715465,False,-0.3150550142568853,2,0.23800000000000002,99728,92,10,1.0,3798.7456720041587,False,0.010594189017741054,8,0.532,93979,133,0,0.0,4595.360591049491,False,-0.042613708005760226,0.5,468375,0.0,0.0,15,0,0,19,12,10.8,21,40,29,303.0,156.0,19,12,29,2039,1.776675402186811,23.943224696442485
8,29,0,0,0,9.999999999999998,10,10.0,26.56347932336871,24,30.375,20.54811425807527,38,28.789473684210527,37.372699723778254,48,49.229166666666664,62.0,20,62.0,0,0.2,31611,0,4,0.0,106.25391729347484,False,0.010535742600585268,3,0.30200000000000005,32546,17,10,1.0,435.6347932336871,False,0.045631499221830706,11,0.45400000000000007,45637,34,10,1.0,1108.6394395752889,False,-0.029369818239768784,17,1.3420000000000003,42487,17,0,0.0,451.5791484972681,False,-0.10246507440272676,0,0.2,73694,37,22,1.0,1582.4796214719065,False,0.015601639065951483,29,2.911000000000001,47344.0,114,0,0.0,2342.4850254205808,False,-0.3384976682522697,0,0.23600000000000002,99974,88,10,1.0,3908.797575692486,False,0.013587625423581828,10,0.6240000000000001,91753,175,0,0.0,6540.222451661194,False,-0.05507934184055016,0.5,465046,0.0,0.0,13,0,0,17,18,16.541666666666668,18,35,37,294.0,170.0,17,12,37,2223,1.7142076771706343,25.65743237361312
9,37,0,0,0,9.999999999999998,9,10.0,27.82122836911523,52,30.46153846153846,21.71010171042365,51,25.49019607843137,36.80123945376509,33,32.90909090909091,62.0,20,62.0,0,0.2,31731,0,0,0.0,0.0,False,0.012669943192698027,38,0.6790000000000002,32543,16,10,1.0,438.21228369115227,False,0.04557688586984029,21,0.653,45112,47,10,1.0,1524.6987504526521,False,-0.03603039830157549,20,1.5250000000000001,41005,46,0,0.0,1279.7765049793006,False,-0.12490516185484782,0,0.2,72547,69,32,1.0,2675.6366805397147,False,0.007414929442874562,33,3.2120000000000006,45541.0,123,0,0.0,2670.342510382109,False,-0.36084630349748364,0,0.23600000000000002,99950,96,14,1.0,4400.918987561448,False,0.015795822415830302,14,0.754,90643,190,0,0.0,6992.235496215368,False,-0.0638698738280097,0.5,459072,0.0,0.0,7,0,0,16,19,18.151103565365027,22,38,37,333.0,193.0,21,16,37,582,2.043012817390263,27.700445191003382
