index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,23.0,0,,27.0,0,,0,0.2,32656,11,0,0.0,110.0,False,-0.0016785692486113654,0,0.2,32676,0,9,0.9,126.0,False,-0.0008240249038637612,0,0.2,49276,0,0,0.0,0.0,False,0.0,0,0.2,49276,0,0,0.0,0.0,False,0.0,0,0.2,60617,0,0,0.0,0.0,False,0.0,0,0.2,60617,0,0,0.0,0.0,False,0.0,0.15,285118,0.0,0.0,10,0,0,0,0,0.0,545,545,73,0.0,0.0,0,0,73,200,1.90491677634418,1.90491677634418
1,73,0,0,0,10.0,20,10.0,12.943396226415095,8,7.0,23.0,0,,27.0,0,,8,0.28,32466,22,0,0.0,220.0,False,-0.0057986937679301714,0,0.2,32586,0,18,0.9,232.9811320754717,False,-0.0019382724153776123,0,0.2,49276,0,0,0.0,0.0,False,0.0,0,0.2,49220,0,8,0.8,184.0,False,0.0007305787807451904,0,0.2,60617,0,0,0.0,0.0,False,0.0,0,0.2,60617,0,0,0.0,0.0,False,0.0,0.2833333333333334,284782,0.0,0.0,10,0,0,48,1,1.0,35,83,49,986.0,66.0,66,7,49,200,4.13085849583149,6.03577527217567
2,49,0,0,0,10.0,20,10.0,12.23339317773788,8,8.0,23.0,0,,27.0,0,,8,0.35200000000000004,32274,34,0,0.0,340.0,False,-0.009827259964597448,0,0.2,32506,0,26,0.8,318.0682226211849,False,-0.0030814224711410215,0,0.2,49276,0,0,0.0,0.0,False,0.0,0,0.2,49156,0,16,0.8,368.0,False,0.001298806721324783,0,0.2,60617,0,0,0.0,0.0,False,0.0,0,0.2,60617,0,0,0.0,0.0,False,0.0,0.26666666666666666,284446,0.0,0.0,10,0,0,19,1,1.0,28,47,32,422.0,86.0,30,19,32,200,2.380124463699758,8.415899735875428
3,32,0,0,0,10.0,20,10.0,10.558498602422468,25,7.2,23.0,0,,27.0,20,27.0,15,0.49400000000000005,31964,45,0,0.0,450.0,False,-0.017609717389977415,0,0.2,32486,0,25,0.9,263.96246506056167,False,-0.004517450023491394,0,0.2,49096,15,10,1.0,388.37747903633704,False,0.00028794422270820105,0,0.2,49156,0,16,0.0,368.0,False,0.001298806721324783,6,0.26,60569,0,0,0.0,0.0,False,-0.0007918570697989013,14,0.34,60434,0,0,0.0,0.0,False,-0.003018955078608311,0.31666666666666665,283705,0.0,0.0,12,0,0,15,13,13.0,22,37,33,260.0,74.0,19,13,33,270,1.937792032957077,10.353691768832505
4,33,0,0,0,10.0,20,10.0,11.706570387856905,26,14.692307692307692,22.891304347826086,1,18.0,27.0,20,27.0,13,0.6090000000000002,31717,54,0,0.0,540.0,False,-0.023774644448513703,0,0.2,32662,1,22,1.0,267.54454853285193,False,0.0009086331644517607,0,0.2,48732,31,19,1.0,797.8384646322597,False,-0.00294424806566821,0,0.2,49156,0,16,0.0,366.2608695652174,False,0.0012811598908719875,12,0.374,60428,0,0,0.0,0.0,False,-0.003117937212333174,8,0.406,60351,1,0,0.0,22.891304347826086,False,-0.004199388749461173,0.3333333333333333,283046,0.0,0.0,11,0,0,18,10,10.0,21,39,27,289.0,54.0,20,13,27,504,1.8480759635567665,12.201767732389271
5,27,0,0,0,10.0,20,10.0,11.706570387856905,0,,23.653973509933778,19,25.31578947368421,27.0,20,27.0,0,0.5960000000000002,31577,68,0,0.0,680.0,False,-0.025911005310382713,0,0.2,32602,0,29,0.7,339.4905412478502,False,0.0001753424471686307,0,0.2,48853,21,18,1.0,671.609501323803,False,-0.0017695277485610824,0,0.2,49516,0,8,0.0,189.23178807947022,False,0.006790646441264232,10,0.4620000000000001,60205,1,10,1.0,293.6539735099338,False,-0.004374565109540757,10,0.49800000000000005,59894,9,0,0.0,212.885761589404,False,-0.010171356537032446,0.45,282647,0.0,0.0,10,0,0,18,9,9.0,16,34,20,196.0,51.0,14,13,20,681,1.5099392784759402,13.711707010865211
6,20,0,0,0,10.0,20,10.0,12.895246773670335,11,22.0,20.831387362637365,33,16.181818181818183,27.0,20,27.0,0,0.5960000000000002,31487,77,0,0.0,770.0,False,-0.02728438015015565,0,0.2,32734,1,28,1.0,371.0669096627694,False,0.004685755198418605,12,0.32000000000000006,48660,22,10,1.0,492.00930264712105,False,-0.007508631964372971,0,0.2,49645,0,5,0.0,104.15693681318683,False,0.008545305390181727,2,0.4720000000000001,60212,14,10,1.0,561.6394230769231,False,-0.002048604986415346,8,0.5680000000000001,59555,19,0,0.0,395.79635989010995,False,-0.01425510698409595,0.5,282293,0.0,0.0,15,0,0,15,6,4.82051282051282,16,31,13,175.0,36.0,13,7,13,966,1.443580967374146,15.155287978239357
7,13,0,0,0,10.0,20,10.0,12.838804253718187,1,8.0,19.923427687476917,8,11.0,27.0,20,27.0,1,0.6060000000000001,31378,87,0,0.0,870.0,False,-0.029085027162302386,0,0.2,32634,1,38,1.0,497.8745616412911,False,0.0035688604291230623,0,0.30800000000000005,48740,13,12,1.0,405.98558754805947,False,-0.0067579999639981216,0,0.2,49645,0,5,0.0,99.61713843738458,False,0.008499240385150868,0,0.4700000000000001,60367,12,11,1.0,536.0811322497229,False,0.00029761562144049926,11,0.6700000000000002,59435,19,0,0.0,378.5451260620614,False,-0.016377046653067117,0.5,282199,0.0,0.0,15,0,0,15,6,6.0,11,26,14,74.0,27.0,9,4,14,531,1.2550633987411857,16.410351376980543
8,14,0,0,0,10.0,20,10.0,14.003877030234644,15,20.066666666666666,20.832075321594573,5,35.0,27.0,20,27.0,0,0.6050000000000001,31268,98,0,0.0,980.0,False,-0.03076359641091375,0,0.2,32845,0,33,1.0,462.1279419977433,False,0.00946297903310957,0,0.30800000000000005,48439,18,22,1.0,710.3754436193042,False,-0.009777828520788035,0,0.2,49820,0,0,0.0,0.0,False,0.011039857131260654,2,0.4900000000000001,60479,7,10,1.0,415.824527251162,False,0.001153344171199134,7,0.7290000000000001,59381,19,0,0.0,395.8094311102969,False,-0.01712548104401166,0.5,282232,0.0,0.0,18,0,0,14,4,4.0,13,27,14,110.0,45.0,9,5,14,973,0.9924191227182746,17.402770499698818
9,14,0,0,0,10.000000000000002,20,10.0,13.230554177877933,12,7.833333333333333,20.46982728239554,15,18.666666666666668,26.999999999999996,20,27.0,12,0.7250000000000001,31068,106,0,0.0,1060.0000000000002,False,-0.03564670695232863,0,0.2,32725,2,43,1.0,588.9138296487511,False,0.007735363328583758,0,0.30800000000000005,48625,20,17,1.0,612.5981473582829,False,-0.006995310624256437,0,0.2,49820,0,0,0.0,0.0,False,0.011039857131260654,0,0.4880000000000001,60469,12,10,1.0,515.6379273887464,False,0.0018116858916536885,10,0.8220000000000001,59275,19,0,0.0,388.9267183655152,False,-0.018930937539258647,0.5,281982,0.0,0.0,16,0,0,18,7,7.0,16,34,12,157.0,21.0,12,2,12,750,1.2131204148754478,18.615890914574265
10,12,0,0,0,10.000000000000002,20,10.0,14.438606147462446,18,20.22222222222222,24.3197686225357,26,36.26923076923077,26.999999999999996,20,27.0,2,0.7330000000000003,30918,119,0,0.0,1190.0000000000002,False,-0.03824085942745529,0,0.2,33005,0,36,0.9,519.789821308648,False,0.015225993732964729,9,0.398,48931,28,10,1.0,647.4786583543055,False,-0.0004314609713217109,0,0.2,49820,0,0,0.0,0.0,False,0.011039857131260654,0,0.4880000000000001,60658,2,13,1.0,399.6395372450713,False,0.003972809090230994,13,0.9420000000000002,58170,45,0,0.0,1094.3895880141065,False,-0.03134112882513069,0.48333333333333334,281502,0.0,0.0,17,0,0,13,9,8.428571428571429,15,28,12,91.0,27.0,8,4,12,928,1.039622818119824,19.65551373269409
